variant,outer_fold,image_id,seed,accept_depth_action,selected_delta_psnr,selected_delta_ssim,true_delta_psnr,zero_delta_psnr,shuffle_delta_psnr,normal_delta_psnr,failure_group
l0_a0_sanity,0,1001_0.89_1.66.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1003_0.9_1.06.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1006_0.89_1.55.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1010_0.91_1.13.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1012_0.85_1.28.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1013_0.63_1.83.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1017_0.91_1.44.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1019_0.82_1.87.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1035_0.76_1.14.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1038_0.87_1.29.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1039_0.79_1.79.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1040_0.78_2.0.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1049_0.97_1.09.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,104_0.88_1.76.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1063_0.51_1.61.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1069_0.66_1.4.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1072_0.58_0.58.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1079_0.77_1.21.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,108_0.96_0.98.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1090_0.54_0.58.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1098_0.8_0.51.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1104_0.89_1.59.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1108_0.58_1.2.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1116_0.63_1.62.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1121_0.88_0.92.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1124_0.74_1.17.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1125_0.72_1.76.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1126_0.73_0.82.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1127_0.91_0.61.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1133_0.68_1.41.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1134_0.69_1.2.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1139_0.58_1.05.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,113_0.65_1.81.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1147_0.56_1.1.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1152_0.65_1.76.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1154_0.96_0.62.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1155_0.63_1.27.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1157_0.56_1.98.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1163_0.95_1.89.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1164_0.79_1.96.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1167_0.95_0.68.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
l0_a0_sanity,0,1174_0.74_1.33.png,3407,True,0.0,0.0,0.0,0.0,0.0,0.0,neutral
