name,true_delta_psnr,baseline_delta_psnr,depth_surplus_psnr,normal_delta_psnr,shuffle_delta_psnr,zero_delta_psnr
1001_0.89_1.66.png,0.0,0.0,0.0,0.0,0.0,0.0
1003_0.9_1.06.png,0.0,0.0,0.0,0.0,0.0,0.0
1006_0.89_1.55.png,0.0,0.0,0.0,0.0,0.0,0.0
1010_0.91_1.13.png,0.0,0.0,0.0,0.0,0.0,0.0
1012_0.85_1.28.png,0.0,0.0,0.0,0.0,0.0,0.0
1013_0.63_1.83.png,0.0,0.0,0.0,0.0,0.0,0.0
1017_0.91_1.44.png,0.0,0.0,0.0,0.0,0.0,0.0
1019_0.82_1.87.png,0.0,0.0,0.0,0.0,0.0,0.0
1035_0.76_1.14.png,0.0,0.0,0.0,0.0,0.0,0.0
1038_0.87_1.29.png,0.0,0.0,0.0,0.0,0.0,0.0
1039_0.79_1.79.png,0.0,0.0,0.0,0.0,0.0,0.0
1040_0.78_2.0.png,0.0,0.0,0.0,0.0,0.0,0.0
1049_0.97_1.09.png,0.0,0.0,0.0,0.0,0.0,0.0
104_0.88_1.76.png,0.0,0.0,0.0,0.0,0.0,0.0
1063_0.51_1.61.png,0.0,0.0,0.0,0.0,0.0,0.0
1069_0.66_1.4.png,0.0,0.0,0.0,0.0,0.0,0.0
1072_0.58_0.58.png,0.0,0.0,0.0,0.0,0.0,0.0
1079_0.77_1.21.png,0.0,0.0,0.0,0.0,0.0,0.0
108_0.96_0.98.png,0.0,0.0,0.0,0.0,0.0,0.0
1090_0.54_0.58.png,0.0,0.0,0.0,0.0,0.0,0.0
1098_0.8_0.51.png,0.0,0.0,0.0,0.0,0.0,0.0
1104_0.89_1.59.png,0.0,0.0,0.0,0.0,0.0,0.0
1108_0.58_1.2.png,0.0,0.0,0.0,0.0,0.0,0.0
1116_0.63_1.62.png,0.0,0.0,0.0,0.0,0.0,0.0
1121_0.88_0.92.png,0.0,0.0,0.0,0.0,0.0,0.0
1124_0.74_1.17.png,0.0,0.0,0.0,0.0,0.0,0.0
1125_0.72_1.76.png,0.0,0.0,0.0,0.0,0.0,0.0
1126_0.73_0.82.png,0.0,0.0,0.0,0.0,0.0,0.0
1127_0.91_0.61.png,0.0,0.0,0.0,0.0,0.0,0.0
1133_0.68_1.41.png,0.0,0.0,0.0,0.0,0.0,0.0
1134_0.69_1.2.png,0.0,0.0,0.0,0.0,0.0,0.0
1139_0.58_1.05.png,0.0,0.0,0.0,0.0,0.0,0.0
113_0.65_1.81.png,0.0,0.0,0.0,0.0,0.0,0.0
1147_0.56_1.1.png,0.0,0.0,0.0,0.0,0.0,0.0
1152_0.65_1.76.png,0.0,0.0,0.0,0.0,0.0,0.0
1154_0.96_0.62.png,0.0,0.0,0.0,0.0,0.0,0.0
1155_0.63_1.27.png,0.0,0.0,0.0,0.0,0.0,0.0
1157_0.56_1.98.png,0.0,0.0,0.0,0.0,0.0,0.0
1163_0.95_1.89.png,0.0,0.0,0.0,0.0,0.0,0.0
1164_0.79_1.96.png,0.0,0.0,0.0,0.0,0.0,0.0
1167_0.95_0.68.png,0.0,0.0,0.0,0.0,0.0,0.0
1174_0.74_1.33.png,0.0,0.0,0.0,0.0,0.0,0.0
1178_0.68_0.85.png,0.0,0.0,0.0,0.0,0.0,0.0
1182_0.63_1.77.png,0.0,0.0,0.0,0.0,0.0,0.0
118_0.72_0.71.png,0.0,0.0,0.0,0.0,0.0,0.0
1195_0.65_1.61.png,0.0,0.0,0.0,0.0,0.0,0.0
1199_0.86_0.65.png,0.0,0.0,0.0,0.0,0.0,0.0
1207_0.7_1.43.png,0.0,0.0,0.0,0.0,0.0,0.0
1216_0.65_1.09.png,0.0,0.0,0.0,0.0,0.0,0.0
1217_0.82_0.83.png,0.0,0.0,0.0,0.0,0.0,0.0
1220_0.82_1.9.png,0.0,0.0,0.0,0.0,0.0,0.0
1226_0.82_0.78.png,0.0,0.0,0.0,0.0,0.0,0.0
1232_0.77_0.99.png,0.0,0.0,0.0,0.0,0.0,0.0
1233_0.54_0.63.png,0.0,0.0,0.0,0.0,0.0,0.0
1246_0.62_2.0.png,0.0,0.0,0.0,0.0,0.0,0.0
1267_0.75_1.55.png,0.0,0.0,0.0,0.0,0.0,0.0
1270_0.74_1.52.png,0.0,0.0,0.0,0.0,0.0,0.0
1275_0.54_1.73.png,0.0,0.0,0.0,0.0,0.0,0.0
1284_0.58_1.58.png,0.0,0.0,0.0,0.0,0.0,0.0
1290_0.95_1.76.png,0.0,0.0,0.0,0.0,0.0,0.0
12_0.9_1.75.png,0.0,0.0,0.0,0.0,0.0,0.0
1307_0.92_1.87.png,0.0,0.0,0.0,0.0,0.0,0.0
1310_0.53_1.28.png,0.0,0.0,0.0,0.0,0.0,0.0
1323_0.89_0.88.png,0.0,0.0,0.0,0.0,0.0,0.0
1324_0.55_1.43.png,0.0,0.0,0.0,0.0,0.0,0.0
1333_0.79_1.62.png,0.0,0.0,0.0,0.0,0.0,0.0
1338_0.83_1.25.png,0.0,0.0,0.0,0.0,0.0,0.0
1339_0.65_1.47.png,0.0,0.0,0.0,0.0,0.0,0.0
133_0.75_1.91.png,0.0,0.0,0.0,0.0,0.0,0.0
1348_0.85_0.74.png,0.0,0.0,0.0,0.0,0.0,0.0
1349_0.94_1.22.png,0.0,0.0,0.0,0.0,0.0,0.0
1354_0.79_1.67.png,0.0,0.0,0.0,0.0,0.0,0.0
1357_0.64_1.26.png,0.0,0.0,0.0,0.0,0.0,0.0
1359_0.92_1.46.png,0.0,0.0,0.0,0.0,0.0,0.0
135_0.95_0.78.png,0.0,0.0,0.0,0.0,0.0,0.0
1376_0.65_1.6.png,0.0,0.0,0.0,0.0,0.0,0.0
1381_0.96_0.82.png,0.0,0.0,0.0,0.0,0.0,0.0
1383_0.75_0.81.png,0.0,0.0,0.0,0.0,0.0,0.0
1392_0.87_0.83.png,0.0,0.0,0.0,0.0,0.0,0.0
1395_0.71_1.8.png,0.0,0.0,0.0,0.0,0.0,0.0
1397_0.94_0.79.png,0.0,0.0,0.0,0.0,0.0,0.0
1399_0.81_0.95.png,0.0,0.0,0.0,0.0,0.0,0.0
1401_0.77_1.54.png,0.0,0.0,0.0,0.0,0.0,0.0
140_0.99_1.0.png,0.0,0.0,0.0,0.0,0.0,0.0
1416_0.95_1.15.png,0.0,0.0,0.0,0.0,0.0,0.0
1417_0.88_0.75.png,0.0,0.0,0.0,0.0,0.0,0.0
1418_0.79_1.51.png,0.0,0.0,0.0,0.0,0.0,0.0
1423_0.68_1.59.png,0.0,0.0,0.0,0.0,0.0,0.0
1425_0.84_1.75.png,0.0,0.0,0.0,0.0,0.0,0.0
1428_0.86_1.18.png,0.0,0.0,0.0,0.0,0.0,0.0
1431_0.81_0.84.png,0.0,0.0,0.0,0.0,0.0,0.0
1434_0.83_1.44.png,0.0,0.0,0.0,0.0,0.0,0.0
1436_0.66_1.76.png,0.0,0.0,0.0,0.0,0.0,0.0
1437_0.74_1.01.png,0.0,0.0,0.0,0.0,0.0,0.0
1441_0.58_1.73.png,0.0,0.0,0.0,0.0,0.0,0.0
1442_0.62_0.81.png,0.0,0.0,0.0,0.0,0.0,0.0
1444_0.58_1.95.png,0.0,0.0,0.0,0.0,0.0,0.0
1447_0.8_1.55.png,0.0,0.0,0.0,0.0,0.0,0.0
1463_1.0_1.22.png,0.0,0.0,0.0,0.0,0.0,0.0
1468_0.81_0.54.png,0.0,0.0,0.0,0.0,0.0,0.0
146_0.96_1.51.png,0.0,0.0,0.0,0.0,0.0,0.0
1482_0.59_1.05.png,0.0,0.0,0.0,0.0,0.0,0.0
1484_0.75_0.81.png,0.0,0.0,0.0,0.0,0.0,0.0
1486_0.98_1.1.png,0.0,0.0,0.0,0.0,0.0,0.0
1487_0.99_1.08.png,0.0,0.0,0.0,0.0,0.0,0.0
1505_0.8_0.86.png,0.0,0.0,0.0,0.0,0.0,0.0
1507_0.87_0.95.png,0.0,0.0,0.0,0.0,0.0,0.0
1510_0.72_1.09.png,0.0,0.0,0.0,0.0,0.0,0.0
1551_0.97_1.18.png,0.0,0.0,0.0,0.0,0.0,0.0
1563_0.95_1.85.png,0.0,0.0,0.0,0.0,0.0,0.0
1564_0.56_1.56.png,0.0,0.0,0.0,0.0,0.0,0.0
157_0.81_1.26.png,0.0,0.0,0.0,0.0,0.0,0.0
1587_0.73_1.54.png,0.0,0.0,0.0,0.0,0.0,0.0
1588_0.93_1.69.png,0.0,0.0,0.0,0.0,0.0,0.0
158_0.56_1.42.png,0.0,0.0,0.0,0.0,0.0,0.0
1590_0.78_0.63.png,0.0,0.0,0.0,0.0,0.0,0.0
1594_0.71_0.5.png,0.0,0.0,0.0,0.0,0.0,0.0
1603_0.54_0.74.png,0.0,0.0,0.0,0.0,0.0,0.0
1605_1.0_1.37.png,0.0,0.0,0.0,0.0,0.0,0.0
1611_0.9_1.98.png,0.0,0.0,0.0,0.0,0.0,0.0
1614_0.81_0.78.png,0.0,0.0,0.0,0.0,0.0,0.0
1623_0.78_1.81.png,0.0,0.0,0.0,0.0,0.0,0.0
1626_0.53_1.25.png,0.0,0.0,0.0,0.0,0.0,0.0
1628_0.8_1.49.png,0.0,0.0,0.0,0.0,0.0,0.0
162_0.75_0.98.png,0.0,0.0,0.0,0.0,0.0,0.0
1638_0.83_1.06.png,0.0,0.0,0.0,0.0,0.0,0.0
1643_0.77_0.66.png,0.0,0.0,0.0,0.0,0.0,0.0
1645_0.87_1.02.png,0.0,0.0,0.0,0.0,0.0,0.0
1647_0.89_1.55.png,0.0,0.0,0.0,0.0,0.0,0.0
1653_0.9_1.01.png,0.0,0.0,0.0,0.0,0.0,0.0
1655_0.54_1.38.png,0.0,0.0,0.0,0.0,0.0,0.0
166_0.58_1.66.png,0.0,0.0,0.0,0.0,0.0,0.0
1672_0.86_1.68.png,0.0,0.0,0.0,0.0,0.0,0.0
1678_0.95_0.64.png,0.0,0.0,0.0,0.0,0.0,0.0
1680_0.79_1.69.png,0.0,0.0,0.0,0.0,0.0,0.0
1681_0.98_1.69.png,0.0,0.0,0.0,0.0,0.0,0.0
1684_0.61_1.24.png,0.0,0.0,0.0,0.0,0.0,0.0
1685_0.79_1.99.png,0.0,0.0,0.0,0.0,0.0,0.0
1688_0.94_1.37.png,0.0,0.0,0.0,0.0,0.0,0.0
1693_0.51_1.03.png,0.0,0.0,0.0,0.0,0.0,0.0
1697_0.87_1.23.png,0.0,0.0,0.0,0.0,0.0,0.0
1702_0.69_0.67.png,0.0,0.0,0.0,0.0,0.0,0.0
1712_0.9_0.74.png,0.0,0.0,0.0,0.0,0.0,0.0
1718_0.92_1.01.png,0.0,0.0,0.0,0.0,0.0,0.0
1726_0.54_0.7.png,0.0,0.0,0.0,0.0,0.0,0.0
1729_0.85_0.57.png,0.0,0.0,0.0,0.0,0.0,0.0
1731_0.84_1.3.png,0.0,0.0,0.0,0.0,0.0,0.0
1732_0.87_0.59.png,0.0,0.0,0.0,0.0,0.0,0.0
1735_0.72_0.9.png,0.0,0.0,0.0,0.0,0.0,0.0
1737_0.98_0.6.png,0.0,0.0,0.0,0.0,0.0,0.0
1742_0.9_1.59.png,0.0,0.0,0.0,0.0,0.0,0.0
1747_0.63_1.37.png,0.0,0.0,0.0,0.0,0.0,0.0
1749_0.73_1.97.png,0.0,0.0,0.0,0.0,0.0,0.0
1750_0.82_1.35.png,0.0,0.0,0.0,0.0,0.0,0.0
1752_0.83_1.89.png,0.0,0.0,0.0,0.0,0.0,0.0
1753_0.96_1.66.png,0.0,0.0,0.0,0.0,0.0,0.0
1758_0.81_1.38.png,0.0,0.0,0.0,0.0,0.0,0.0
1762_0.95_0.95.png,0.0,0.0,0.0,0.0,0.0,0.0
1767_0.55_0.58.png,0.0,0.0,0.0,0.0,0.0,0.0
1772_0.62_1.44.png,0.0,0.0,0.0,0.0,0.0,0.0
1786_0.64_1.19.png,0.0,0.0,0.0,0.0,0.0,0.0
