run_id,variant,seed,fold,mean_true_a0,hard_true_a0,dssim,positive_ratio,worst,strong,true_vs_zero,true_vs_shuffle,true_vs_normal,strict_gate_pass,relaxed_flow_pass,matrix_path
v35_fdf_rcs_l0_a0_sanity_seed3407_f0_quick5full,l0_a0_sanity,3407,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,False,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l0_a0_sanity_seed3407_f0_quick5full_fallback_train.json
v35_fdf_rcs_l0_a0_sanity_seed3407_f1_quick5full,l0_a0_sanity,3407,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,False,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l0_a0_sanity_seed3407_f1_quick5full_fallback_train.json
v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3407_f0_quick5full,l1_fdf_lite_s004_g025_bm2,3407,0,0.0611430295308431,0.05732449849446614,1.3766586780548096e-05,0.6183333333333333,87,50,0.08143385569254558,0.06301934560139974,0.06697792053222656,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3407_f0_quick5full_fallback_train.json
v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3407_f1_quick5full,l1_fdf_lite_s004_g025_bm2,3407,1,0.08114658673604329,0.0955636215209961,3.404815991719564e-06,0.6433333333333333,84,56,0.08658417383829752,0.0677300230662028,0.07255009333292643,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3407_f1_quick5full_fallback_train.json
v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3411_f0_quick5full,l1_fdf_lite_s004_g025_bm2,3411,0,0.07892696698506674,0.07573741912841797,1.554479201634725e-05,0.6283333333333333,88,53,0.050633529027303066,0.041319961547851565,0.044018087387084966,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3411_f0_quick5full_fallback_train.json
v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3411_f1_quick5full,l1_fdf_lite_s004_g025_bm2,3411,1,0.06351718266805013,0.09905036926269531,2.8707683086395263e-05,0.6333333333333333,71,51,0.05941975593566895,0.0494205379486084,0.0532034969329834,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l1_fdf_lite_s004_g025_bm2_seed3411_f1_quick5full_fallback_train.json
v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3407_f0_quick5full,l2_fdf_lite_s002_g025_bm2,3407,0,0.04465034484863281,0.04544097900390625,1.6060670216878254e-05,0.6066666666666667,72,46,0.05578798611958821,0.04174401601155599,0.04423856735229492,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3407_f0_quick5full_fallback_train.json
v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3407_f1_quick5full,l2_fdf_lite_s002_g025_bm2,3407,1,0.06486547152201334,0.07796164194742838,7.651448249816895e-06,0.6383333333333333,59,47,0.058557933171590165,0.04454302151997884,0.04767818768819173,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3407_f1_quick5full_fallback_train.json
v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3411_f0_quick5full,l2_fdf_lite_s002_g025_bm2,3411,0,0.05799367904663086,0.058679784138997396,1.4863808949788412e-05,0.6416666666666667,61,44,0.03241063753763834,0.024644095102945962,0.02610234260559082,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3411_f0_quick5full_fallback_train.json
v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3411_f1_quick5full,l2_fdf_lite_s002_g025_bm2,3411,1,0.043313188552856444,0.07718911488850912,2.94266144434611e-05,0.6133333333333333,50,38,0.0360842768351237,0.028075151443481446,0.030214204788208007,False,True,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-dta-v3-5-fdf-rcs-lite/experience_docx/experiment_logs/haze4k_dta_v3_5_fdf_rcs_lite_20260612/train_eval_depth_matrix_v35_fdf_rcs_l2_fdf_lite_s002_g025_bm2_seed3411_f1_quick5full_fallback_train.json
