variant,coverage_target,count,selected_count,coverage,mean_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus,selected_group_counts
l0_a0_sanity,0.05,1200,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 60}"
l0_a0_sanity,0.1,1200,120,0.1,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 120}"
l0_a0_sanity,0.15,1200,180,0.15,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 180}"
l0_a0_sanity,0.2,1200,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 240}"
l0_a0_sanity,0.25,1200,300,0.25,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 300}"
l0_a0_sanity,0.3,1200,360,0.3,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 360}"
l0_a0_sanity,0.35,1200,420,0.35,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 420}"
l0_a0_sanity,0.4,1200,480,0.4,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 480}"
l0_a0_sanity,0.45,1200,540,0.45,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 540}"
l0_a0_sanity,0.5,1200,600,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 600}"
l0_a0_sanity,0.55,1200,660,0.55,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 660}"
l0_a0_sanity,0.6,1200,720,0.6,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 720}"
l0_a0_sanity,0.65,1200,780,0.65,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 780}"
l0_a0_sanity,0.7,1200,840,0.7,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 840}"
l0_a0_sanity,0.75,1200,900,0.75,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 900}"
l0_a0_sanity,0.8,1200,960,0.8,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 960}"
l0_a0_sanity,0.85,1200,1020,0.85,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 1020}"
l0_a0_sanity,0.9,1200,1080,0.9,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 1080}"
l0_a0_sanity,0.95,1200,1140,0.95,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 1140}"
l0_a0_sanity,1.0,1200,1200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.80718994140625,0,0,0.0,0.0,0.0,"{""neutral"": 1200}"
l1_fdf_lite_s004_g025_bm2,0.05,2400,120,0.05,0.03258021513621012,0.009901994069417318,0.04722132364908854,4.178831974665324e-06,0.05,1.0,42.80718994140625,0,0,0.015948115984598797,0.011958481470743815,0.01308780034383138,"{""gain"": 109, ""ssim_regression"": 11}"
l1_fdf_lite_s004_g025_bm2,0.1,2400,240,0.1,0.05552028814951579,0.02764974594116211,0.0772109858194987,7.128392656644185e-06,0.1,1.0,42.80718994140625,0,0,0.029756650924682618,0.021912264823913574,0.02403086026509603,"{""gain"": 213, ""ssim_regression"": 27}"
l1_fdf_lite_s004_g025_bm2,0.15,2400,360,0.15,0.07359044154485067,0.046739867528279626,0.09039447784423828,1.1328558127085368e-05,0.15,1.0,42.80718994140625,0,0,0.0404141894976298,0.029968376954396567,0.0326455283164978,"{""gain"": 325, ""ssim_regression"": 35}"
l1_fdf_lite_s004_g025_bm2,0.2,2400,480,0.2,0.08872344017028809,0.06331858952840169,0.10009751637776693,1.3669182856877646e-05,0.2,1.0,42.80718994140625,0,0,0.04962649583816528,0.036967179775238036,0.04038804451624552,"{""gain"": 429, ""ssim_regression"": 51}"
l1_fdf_lite_s004_g025_bm2,0.25,2400,600,0.25,0.10176365296045939,0.08189684867858887,0.11067269643147787,1.6703406969706218e-05,0.25,1.0,42.80718994140625,0,0,0.058630086580912275,0.043905811309814455,0.04790860970815023,"{""gain"": 538, ""ssim_regression"": 62}"
l1_fdf_lite_s004_g025_bm2,0.3,2400,720,0.3,0.11267903010050456,0.09513695398966471,0.12200003941853842,1.9234890739123027e-05,0.3,1.0,42.80718994140625,0,0,0.06671737432479859,0.05034284591674805,0.054529817899068196,"{""gain"": 638, ""ssim_regression"": 82}"
l1_fdf_lite_s004_g025_bm2,0.35,2400,840,0.35,0.12175598780314127,0.10537659962972006,0.1295925521850586,2.211575706799825e-05,0.35,1.0,42.80718994140625,0,0,0.0740882404645284,0.0558197283744812,0.06034987926483154,"{""gain"": 735, ""ssim_regression"": 105}"
