scope,fold,epoch,loss,l_gt,anchor,hinge,cvar,direction,residual
frozen_probe,0,1,1.0193271487951279,0.006725157654727809,0.0037436481070471928,2.1166030592212337e-05,1.0116197764873505,2.629521357100373e-06,0.003560362514690496
frozen_probe,0,2,0.30513135745422915,0.006084154709242284,0.0017796212086977903,5.026421661114e-06,0.29859284311532974,7.754050077579677e-07,0.0016902785828278866
frozen_probe,0,3,0.10159595496952534,0.005590223445324227,0.001422273926436901,2.8929013069500797e-06,0.09564787149429321,5.993545100224651e-07,0.0012924570837640204
frozen_probe,0,4,0.15606452117208391,0.005603536119451746,0.0013199626373534556,4.43898332491699e-06,0.15011724829673767,1.3201846921218063e-06,0.0012853606203862
frozen_probe,0,5,0.10287019261159003,0.005602477423963137,0.0009694345462776255,1.7121168696121458e-06,0.09702064841985703,5.64970371819129e-07,0.0009385968842252623
frozen_probe,0,6,0.1874535551178269,0.0065089061099570245,0.0016638269680697704,5.520191621144477e-06,0.180514357984066,1.560579622861269e-06,0.0015737646317575127
frozen_probe,0,7,0.18143261031946167,0.006383920845109969,0.0013111324351484654,3.6340520068733895e-06,0.17471183836460114,9.975119255045684e-07,0.0012473063161451137
frozen_probe,0,8,0.17322491307277232,0.006333676486974582,0.0011259666116529843,5.708743486820822e-06,0.16658759862184525,2.0588312121816443e-06,0.0011345980656187749
frozen_probe,0,9,0.044339976040646434,0.005717188207199797,0.000628876574410242,1.448740022169659e-06,0.03845959156751633,5.975581084949333e-07,0.0006307274452410638
frozen_probe,0,10,0.03995738676167093,0.005836350697791204,0.0005409864324974478,1.0851999832084402e-06,0.03398202359676361,4.292538471339924e-07,0.0005299654867485515
frozen_probe,1,1,0.4704039490316063,0.006276089232414961,0.0028575873366207816,1.4238133076105441e-05,0.46336739510297775,2.8243000174121846e-06,0.002927028966951184
frozen_probe,1,2,0.09251897176727653,0.005665355463861488,0.0011551584320841357,2.507549709207524e-06,0.08655501902103424,7.788914047068829e-07,0.0011731112645065878
frozen_probe,1,3,0.09176596121687908,0.00571099812805187,0.0009748598095029593,2.90134354941074e-06,0.0858001708984375,1.0478786380829774e-06,0.0009755879655131139
frozen_probe,1,4,0.0648353902506642,0.0056855580187402666,0.0008009149096324109,2.174929335296838e-06,0.058943264186382294,8.098710860826586e-07,0.0007596955038025044
frozen_probe,1,5,0.17955643209279515,0.005719662964111194,0.0013123276839905884,4.558134321541729e-06,0.17348657548427582,1.591779930976145e-06,0.0014130250310699921
frozen_probe,1,6,0.08839708298910409,0.005956178734777495,0.0011035954503313405,3.0819174980933894e-06,0.08215150237083435,1.171680078293491e-06,0.0011332228896208107
frozen_probe,1,7,0.03177191686700098,0.0059807944926433265,0.00038993424186628545,1.1341770118633576e-06,0.025688134133815765,4.892344690199391e-07,0.00040574546710558934
