cluster_policy,candidate_rows,mean_source_count,oracle_mean,oracle_hard,oracle_easy,oracle_p05,oracle_cvar5,oracle_severe,ranker_mean,ranker_hard,ranker_easy,ranker_p05,ranker_cvar5,ranker_severe
adjacent_cluster_only,1032,49.51470588235294,0.5644109725952149,0.7738245010375977,0.26343593597412107,0.0,0.0,0.0,0.3712233304977417,0.5635025978088379,0.06149215698242187,-0.7361059188842773,-1.0554161071777344,0.2375
physics_distance_threshold,1032,49.51470588235294,0.5644109725952149,0.7738245010375977,0.26343593597412107,0.0,0.0,0.0,0.3712233304977417,0.5635025978088379,0.06149215698242187,-0.7361059188842773,-1.0554161071777344,0.2375
same_bucket_cross_cluster,962,14.595238095238095,0.43927042484283446,0.53396635055542,0.060824012756347655,0.0,0.0,0.0,0.22081408500671387,0.24083518981933594,-0.054813194274902347,-0.7948122024536133,-1.2501912117004395,0.25
same_bucket_same_cluster,964,8.658371040723981,0.4853217601776123,0.8225486755371094,0.18967094421386718,0.0,0.0,0.0,0.26252522468566897,0.5675577163696289,0.010914421081542969,-0.7953397750854492,-0.963681697845459,0.2375
same_cluster_only,1020,20.81595744680851,0.549167251586914,0.821806526184082,0.26954193115234376,0.0,0.0,0.0,0.37062778472900393,0.6647994995117188,0.1052103042602539,-0.768220329284668,-0.9934015274047852,0.2125
