sample_count,positive_rate,auroc,auprc,fold_std,unit,feature_set,label,target_bucket,model
3162,0.45161290322580644,0.7606386845395597,0.6404382926724949,0.05017307633840593,action,legacy_bucket_stage_strength,is_useful_gt_0p10,all,fold_out_linear_ridge
1476,0.5460704607046071,0.6201585126476797,0.6306044425859946,0.26032399814482515,action,legacy_bucket_stage_strength,is_useful_gt_0p10,hard_bottom25,fold_out_linear_ridge
1286,0.43779160186625193,0.8477185793356574,0.70806362149122,0.09604242955584459,action,legacy_bucket_stage_strength,is_useful_gt_0p10,mid_50,fold_out_linear_ridge
400,0.1475,0.755504746756797,0.31092611863136416,0.05991344580003739,action,legacy_bucket_stage_strength,is_useful_gt_0p10,easy_top25,fold_out_linear_ridge
3162,0.35294117647058826,0.7492291979804987,0.5257655352883809,0.028166631703060916,action,legacy_bucket_stage_strength,is_useful_gt_0p30,all,fold_out_linear_ridge
1476,0.45528455284552843,0.5852822938877044,0.5086390040375618,0.20938589529934204,action,legacy_bucket_stage_strength,is_useful_gt_0p30,hard_bottom25,fold_out_linear_ridge
1286,0.3390357698289269,0.8269751753912574,0.6079239694881757,0.09045323303001095,action,legacy_bucket_stage_strength,is_useful_gt_0p30,mid_50,fold_out_linear_ridge
400,0.02,0.7340561224489796,0.039062779758572544,0.07115421589137753,action,legacy_bucket_stage_strength,is_useful_gt_0p30,easy_top25,fold_out_linear_ridge
3162,0.37982289690069576,0.8253626822115346,0.7538696407130774,0.05492648841292679,action,legacy_bucket_stage_strength,is_best_safe_action_family,all,fold_out_linear_ridge
1476,0.37262872628726285,0.8999057529943059,0.8400942753771691,0.08453151956299144,action,legacy_bucket_stage_strength,is_best_safe_action_family,hard_bottom25,fold_out_linear_ridge
1286,0.3584758942457232,0.6971563794123447,0.5592235239811836,0.08626001750727923,action,legacy_bucket_stage_strength,is_best_safe_action_family,mid_50,fold_out_linear_ridge
400,0.475,0.7337844611528822,0.6563018552699894,0.13659787489314817,action,legacy_bucket_stage_strength,is_best_safe_action_family,easy_top25,fold_out_linear_ridge
3162,0.2666034155597723,0.6312636290952506,0.3991818459621368,0.08646787207007522,action,legacy_bucket_stage_strength,is_best_stage_set,all,fold_out_linear_ridge
1476,0.2859078590785908,0.621421890878351,0.41693132531920113,0.10242324048707611,action,legacy_bucket_stage_strength,is_best_stage_set,hard_bottom25,fold_out_linear_ridge
1286,0.24961119751166408,0.6496214872564686,0.4263583085698701,0.14276638879994258,action,legacy_bucket_stage_strength,is_best_stage_set,mid_50,fold_out_linear_ridge
400,0.25,0.5269333333333334,0.28684171118081037,0.15963724869896695,action,legacy_bucket_stage_strength,is_best_stage_set,easy_top25,fold_out_linear_ridge
3162,0.27419354838709675,0.7718720552427045,0.48005026239816234,0.03190173298172698,action,legacy_bucket_stage_strength,is_best_strength_bin,all,fold_out_linear_ridge
1476,0.22764227642276422,0.7618917084377611,0.3897054354884013,0.06379072058172046,action,legacy_bucket_stage_strength,is_best_strength_bin,hard_bottom25,fold_out_linear_ridge
