coverage,mean_gain,hard_gain,easy_gain,p05,CVaR5,severe,strong_reference_regression,noop_rate
0.1,0.025275278091430663,0.10110111236572265,0.0,-0.016964817047119107,-1.0475897789001465,0.05,0.0,0.9
0.2,0.10682978630065917,0.37039527893066404,0.0,-0.20979766845703124,-1.0475897789001465,0.0625,0.0,0.8
0.3,0.1917858600616455,0.4708110809326172,0.0,-0.343519115447998,-1.0687036514282227,0.075,0.0,0.7
0.4,0.24968347549438477,0.5668601989746094,0.00697021484375,-0.4421195983886718,-1.2581634521484375,0.0875,0.0,0.6
0.5,0.34244062900543215,0.6349551200866699,0.010111427307128907,-0.4421195983886718,-1.2581634521484375,0.0875,0.0,0.5
0.6,0.4049396276473999,0.8152445793151856,0.03107032775878906,-0.4421195983886718,-1.2581634521484375,0.1,0.0,0.4
0.8,0.4168938398361206,0.8152445793151856,0.09947719573974609,-0.4421195983886718,-1.2581634521484375,0.1375,0.05,0.2
1.0,0.42338697910308837,0.8152445793151856,0.09947719573974609,-0.4421195983886718,-1.2581634521484375,0.1375,0.05,0.175
