control,mean,hard,easy,p05,CVaR5,severe,gap_to_oracle
real_target_features,0.42338697910308837,0.8152445793151856,0.09947719573974609,-0.4421195983886718,-1.2581634521484375,0.1375,0.25149495601654054
shuffled_target_features,0.388309907913208,0.708709716796875,0.0901865005493164,-0.6758037567138672,-1.0860023498535156,0.2375,0.2865720272064209
shuffled_action_labels,0.3260577440261841,0.6556874275207519,0.07944145202636718,-0.5302488327026367,-0.9216217994689941,0.15,0.3488241910934448
same_bucket_random_action,0.23251163959503174,0.30601301193237307,0.03607654571533203,-0.36128025054931634,-1.001368522644043,0.1125,0.44237029552459717
same_cluster_random_action,0.14318711757659913,0.30381975173950193,0.02127971649169922,-0.3205087661743164,-0.6586565971374512,0.1,0.5316948175430298
no_op_only,0.0,0.0,0.0,0.0,0.0,0.0,0.6748819351196289
GT_selected_oracle,0.6748819351196289,1.2371250152587892,0.15529193878173828,0.0,0.0,0.0,0.0
