split,score_key,bin,order,count,coverage_start_frac,coverage_end_frac,score_min,score_max,bad_rate,mean_gain,hard_bottom25_frac,easy_top25_frac
confirm,pred_abs_mean,1,descending_confidence,102,0.0,0.099609375,0.016142282634973526,0.023403702303767204,0.10784313725490197,0.38955821242986943,0.5686274509803921,0.0392156862745098
confirm,pred_abs_mean,2,descending_confidence,102,0.099609375,0.19921875,0.013156777247786522,0.016142282634973526,0.11764705882352941,0.3016556197521733,0.17647058823529413,0.3137254901960784
confirm,pred_abs_mean,3,descending_confidence,103,0.19921875,0.2998046875,0.011167878285050392,0.013130014762282372,0.11650485436893204,0.11899731460126858,0.11650485436893204,0.3786407766990291
confirm,pred_abs_mean,4,descending_confidence,102,0.2998046875,0.3994140625,0.008932839147746563,0.011167878285050392,0.06862745098039216,0.027152603747797946,0.20588235294117646,0.3235294117647059
confirm,pred_abs_mean,5,descending_confidence,103,0.3994140625,0.5,0.006135018076747656,0.008932839147746563,0.13592233009708737,0.08057809107511946,0.14563106796116504,0.1941747572815534
confirm,pred_abs_mean,6,descending_confidence,102,0.5,0.599609375,0.006135018076747656,0.006135018076747656,0.0,0.07765592313280292,0.4117647058823529,0.35294117647058826
confirm,pred_abs_mean,7,descending_confidence,102,0.599609375,0.69921875,0.006135018076747656,0.006135018076747656,0.08823529411764706,0.06176105200075636,0.29411764705882354,0.19607843137254902
confirm,pred_abs_mean,8,descending_confidence,103,0.69921875,0.7998046875,0.006135018076747656,0.006135018076747656,0.02912621359223301,0.1617786629686078,0.27184466019417475,0.1941747572815534
confirm,pred_abs_mean,9,descending_confidence,102,0.7998046875,0.8994140625,0.006135018076747656,0.006135018076747656,0.0392156862745098,0.08058400247611251,0.0784313725490196,0.3235294117647059
confirm,pred_abs_mean,10,descending_confidence,103,0.8994140625,1.0,0.0030215659644454718,0.006135018076747656,0.08737864077669903,0.07190530276992946,0.23300970873786409,0.18446601941747573
