split,scope,feature,count,bad_count,auc_high_is_bad,best_auc,best_direction_for_bad
confirm,spatial_priors_ridge_10|K16|scale0.25,proxy_score,128,10,0.6728813559322034,0.6728813559322034,high
confirm,spatial_priors_ridge_10|K16|scale0.25,M_safe_mean,128,10,0.6254237288135593,0.6254237288135593,high
confirm,spatial_priors_ridge_10|K16|scale0.25,M_safe_nonzero_frac,128,10,0.5,0.5,high
confirm,spatial_priors_ridge_10|K16|scale0.5,pred_abs_mean,128,14,0.4705513784461153,0.5294486215538847,low
confirm,spatial_priors_ridge_10|K16|scale0.5,pred_abs_max,128,14,0.5031328320802005,0.5031328320802005,high
confirm,spatial_priors_ridge_10|K16|scale0.5,pred_coeff_norm,128,14,0.6334586466165414,0.6334586466165414,high
confirm,spatial_priors_ridge_10|K16|scale0.5,pred_low_energy,128,14,0.4680451127819549,0.5319548872180451,low
confirm,spatial_priors_ridge_10|K16|scale0.5,weighted_residual_norm,128,14,0.6140350877192983,0.6140350877192983,high
confirm,spatial_priors_ridge_10|K16|scale0.5,nn_distance,128,14,0.37406015037593987,0.6259398496240601,low
confirm,spatial_priors_ridge_10|K16|scale0.5,confidence_proxy,128,14,0.6259398496240601,0.6259398496240601,high
confirm,spatial_priors_ridge_10|K16|scale0.5,proxy_score,128,14,0.6259398496240601,0.6259398496240601,high
confirm,spatial_priors_ridge_10|K16|scale0.5,M_safe_mean,128,14,0.5971177944862155,0.5971177944862155,high
confirm,spatial_priors_ridge_10|K16|scale0.5,M_safe_nonzero_frac,128,14,0.5,0.5,high
confirm,spatial_priors_ridge_10|K16|scale0.75,pred_abs_mean,128,16,0.51171875,0.51171875,high
confirm,spatial_priors_ridge_10|K16|scale0.75,pred_abs_max,128,16,0.5424107142857143,0.5424107142857143,high
confirm,spatial_priors_ridge_10|K16|scale0.75,pred_coeff_norm,128,16,0.6495535714285714,0.6495535714285714,high
confirm,spatial_priors_ridge_10|K16|scale0.75,pred_low_energy,128,16,0.5150669642857143,0.5150669642857143,high
confirm,spatial_priors_ridge_10|K16|scale0.75,weighted_residual_norm,128,16,0.6439732142857143,0.6439732142857143,high
confirm,spatial_priors_ridge_10|K16|scale0.75,nn_distance,128,16,0.3755580357142857,0.6244419642857143,low
