low_size,K,mapper,family,candidate_scale,split,index,name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,target_abs_mean,pred_abs_mean,pred_abs_max,pred_coeff_norm,pred_coeff_l1,pred_low_energy,scaled_pred_abs_mean,weighted_residual_norm,residual_mean,residual_std,residual_positive_frac,residual_negative_frac,weighted_den,initial_l1_num,final_l1_num,weighted_field_l1,nn_distance,confidence_proxy,feature_set,rank_group,open_rank_group,eval_target_split
32,16,global_mean_coeff,global_mean,0.25,fit,0,1000_0.74_1.6.png,36.873966217041016,37.039154052734375,38.7684211730957,0.16518783569335938,1.8944549560546875,0.5136370658874512,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.001533754519186914,0.0015275599962930365,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,1028.088623046875,0.010038463608366455,0.0,1.0,global,middle50,open_middle50,False
32,16,global_mean_coeff,global_mean,0.5,fit,0,1000_0.74_1.6.png,36.873966217041016,37.20530319213867,38.7684211730957,0.33133697509765625,1.8944549560546875,0.5136370658874512,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.003067509038373828,0.003055119992586073,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,912.75634765625,0.008912336129251165,0.0,1.0,global,middle50,open_middle50,False
32,16,global_mean_coeff,global_mean,0.75,fit,0,1000_0.74_1.6.png,36.873966217041016,37.372276306152344,38.7684211730957,0.4983100891113281,1.8944549560546875,0.5136370658874512,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.00460126344114542,0.004582679839889231,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,809.5716552734375,0.00790482008811886,0.0,1.0,global,middle50,open_middle50,False
32,16,global_mean_coeff,global_mean,1.0,fit,0,1000_0.74_1.6.png,36.873966217041016,37.53990173339844,38.7684211730957,0.6659355163574219,1.8944549560546875,0.5136370658874512,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.006135018076747656,0.006110239985172146,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,723.0979614257812,0.007060473589858718,0.0,1.0,global,middle50,open_middle50,False
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.25,fit,0,1000_0.74_1.6.png,36.873966217041016,37.20322036743164,38.7684211730957,0.329254150390625,1.8944549560546875,0.8035764098167419,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921768680214882,0.03180169314146042,0.3660334348678589,0.06480962038040161,0.00013253976067062467,0.0024804421700537205,0.002468561890147479,-0.009609782136976719,0.006339702755212784,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,928.3523559570312,0.00906461868374456,0.0,1.0,spatial_priors,middle50,open_middle50,False
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.5,fit,0,1000_0.74_1.6.png,36.873966217041016,37.5411491394043,38.7684211730957,0.6671829223632812,1.8944549560546875,0.8035764098167419,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921768680214882,0.03180169314146042,0.3660334348678589,0.06480962038040161,0.00013253976067062467,0.004960884340107441,0.004937123780294958,-0.009609782136976719,0.006339702755212784,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,721.0457153320312,0.007040435047202282,0.0,1.0,spatial_priors,middle50,open_middle50,False
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.75,fit,0,1000_0.74_1.6.png,36.873966217041016,37.88774108886719,38.7684211730957,1.0137748718261719,1.8944549560546875,0.8035764098167419,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921768680214882,0.03180169314146042,0.3660334348678589,0.06480962038040161,0.00013253976067062467,0.007441326044499874,0.007405686117412072,-0.009609782136976719,0.006339702755212784,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,546.5621337890625,0.005336742345705796,0.0,1.0,spatial_priors,middle50,open_middle50,False
32,16,spatial_priors_ridge_10,spatial_priors_ridge,1.0,fit,0,1000_0.74_1.6.png,36.873966217041016,38.24283981323242,38.7684211730957,1.3688735961914062,1.8944549560546875,0.8035764098167419,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921768680214882,0.03180169314146042,0.3660334348678589,0.06480962038040161,0.00013253976067062467,0.009921768680214882,0.009874247560589916,-0.009609782136976719,0.006339702755212784,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,440.15435791015625,0.004297755470584125,0.0,1.0,spatial_priors,middle50,open_middle50,False
32,16,global_mean_coeff,global_mean,0.25,fit,1,1001_0.89_1.66.png,35.02719497680664,35.092403411865234,36.46269226074219,0.06520843505859375,1.4354972839355469,-0.24215658009052277,1.0,0.9999926090240479,0.15691329538822174,1.0,0.013408035039901733,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.001533754519186914,0.001522391253761506,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,75318.3828125,1029.483154296875,982.048828125,0.013038634015413527,0.0,1.0,global,middle50,open_middle50,False
32,16,global_mean_coeff,global_mean,0.5,fit,1,1001_0.89_1.66.png,35.02719497680664,35.1567497253418,36.46269226074219,0.12955474853515625,1.4354972839355469,-0.24215658009052277,1.0,0.9999926090240479,0.15691329538822174,1.0,0.013408035039901733,0.006135018076747656,0.015552776865661144,0.08207423239946365,0.015228933654725552,4.336384154157713e-05,0.003067509038373828,0.003044782507523012,-0.005602126009762287,0.0034612163435667753,0.062158335000276566,0.9378416538238525,75318.3828125,1029.483154296875,944.1837768554688,0.012535900819935953,0.0,1.0,global,middle50,open_middle50,False
