split,mapper,K,scale,policy,count,open_count,keep_count,open_keep_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions
confirm,global_mean_coeff,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013437793918875427,0.04653488701231014,0.03797481954097748,0.9063203930854797,0.041899994561190326,0.044999897480010986,1.2799328565597534,0.028847813606262207,38.53410720825195,0,0
confirm,global_mean_coeff,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012958311915782648,0.08055604889456351,0.07464155554771423,0.9063203930854797,0.08235669870960788,0.0897071361541748,1.2799328565597534,0.05521500110626221,38.53410720825195,1,0
confirm,global_mean_coeff,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012655521491998138,0.10204023799347245,0.10991379618644714,0.9063203930854797,0.12127476886209776,0.13410186767578125,1.2799328565597534,0.07895100116729736,38.53410720825195,1,0
confirm,global_mean_coeff,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012510927599852811,0.11229975176068545,0.143706277012825,0.9063203930854797,0.15856012742203776,0.17816168069839478,1.2799328565597534,0.09991252422332764,38.53410720825195,2,0
confirm,spatial_priors_ridge_10,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.01287126820861213,0.08673214733700423,0.080731600522995,0.9063203930854797,0.08907622639732524,0.13372623920440674,1.2799328565597534,0.014360904693603516,38.53410720825195,5,1
confirm,spatial_priors_ridge_10,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012314440317373086,0.12624130869489494,0.15408439934253693,0.9063203930854797,0.17001095916861317,0.2650652527809143,1.2799328565597534,0.013578295707702637,38.53410720825195,5,4
confirm,spatial_priors_ridge_10,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012390539028279086,0.12084180142232918,0.21933473646640778,0.9063203930854797,0.24200573896357333,0.3933386206626892,1.2799328565597534,-0.002799510955810547,38.53410720825195,7,6
confirm,spatial_priors_ridge_10,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.01307816897310573,0.07205171229044262,0.27601274847984314,0.9063203930854797,0.30454213607638747,0.5178701877593994,1.2799328565597534,-0.03460419178009033,38.53410720825195,8,6
fit,global_mean_coeff,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.014224222783136299,0.0391280517749066,0.026082023978233337,0.7615474611520767,0.034248717655464556,0.0370216965675354,1.4174764752388,0.011285781860351562,39.58205795288086,0,0
fit,global_mean_coeff,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013776349360983743,0.06938271062432869,0.05130040645599365,0.7615474611520767,0.06736337401530547,0.07325458526611328,1.4174764752388,0.021535158157348633,39.58205795288086,0,0
fit,global_mean_coeff,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013467011782676199,0.09027902292618543,0.07561947405338287,0.7615474611520767,0.09929712580091196,0.10868161916732788,1.4174764752388,0.030681610107421875,39.58205795288086,0,0
fit,global_mean_coeff,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013298782510304068,0.10164321421854494,0.09900487959384918,0.7615474611520767,0.1300048711922348,0.14328497648239136,1.4174764752388,0.03866314888000488,39.58205795288086,1,0
fit,spatial_priors_ridge_10,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.012071727708720332,0.18453298301312182,0.12456491589546204,0.7615474611520767,0.16356815858465207,0.2500251531600952,1.4174764752388,0.03590798377990723,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.009575840535173278,0.3531346709618952,0.251238614320755,0.7615474611520767,0.32990539281777487,0.5062100887298584,1.4174764752388,0.07167017459869385,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.007513636834537581,0.492440256769791,0.3799128383398056,0.7615474611520767,0.4988695488066753,0.768522322177887,1.4174764752388,0.10715413093566895,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.006285850302774141,0.5753794552600402,0.5104173868894577,0.7615474611520767,0.6702371328469707,1.0368112921714783,1.4174764752388,0.1422027349472046,39.58205795288086,0,0
