low_size,K,component,active_count,ridge,coeff_mse,coeff_r2,coeff_corr,truth_std,pred_std,pred_true_norm_ratio
32,8,0,1324,0.001,0.10757596045732498,0.4782609591172071,0.6935331225395203,0.4540784955024719,0.3386320173740387,0.7492381651945553
32,8,1,1324,0.001,0.08029783517122269,0.325498059931039,0.573614239692688,0.3450327515602112,0.2182365506887436,0.6553893712128283
32,8,2,1324,0.001,0.024846971035003662,0.33042015888874254,0.5793022513389587,0.1926351636648178,0.1254422664642334,0.6512906140364991
32,8,3,1324,0.001,0.03127727657556534,0.06972335340713343,0.31245023012161255,0.18336161971092224,0.08791927993297577,0.4371866924307661
32,8,4,1324,0.001,0.01620127074420452,0.22139974889265523,0.4808766841888428,0.14425046741962433,0.08367212116718292,0.6074524848129954
32,8,5,1324,0.001,0.013041311874985695,0.11679530518398129,0.3602357804775238,0.12151501327753067,0.057577941566705704,0.5165964857339249
32,8,6,1324,0.001,0.013446871191263199,0.011557312243223206,0.17966152727603912,0.11663660407066345,0.03772561624646187,0.32736442318648323
32,8,7,1324,0.001,0.007479026447981596,0.1889291063946945,0.44895756244659424,0.0960269495844841,0.05390528216958046,0.5513915944943185
32,16,0,1324,0.001,0.1076013594865799,0.4785160458934449,0.6937137842178345,0.45424315333366394,0.3388170897960663,0.7495444488174465
32,16,1,1324,0.001,0.08033684641122818,0.3252044466820889,0.5733606815338135,0.3450414836406708,0.21816369891166687,0.6549889835446457
32,16,2,1324,0.001,0.02481541596353054,0.3306905103334301,0.5795122981071472,0.19255167245864868,0.12539172172546387,0.651285386052657
32,16,3,1324,0.001,0.031398601830005646,0.06941491760756602,0.31196436285972595,0.18368643522262573,0.08798873424530029,0.4366961974777761
32,16,4,1324,0.001,0.016224293038249016,0.22125519306192265,0.4807415008544922,0.14433954656124115,0.08371473848819733,0.607975012993568
32,16,5,1324,0.001,0.01304330863058567,0.11606380911368164,0.3591870069503784,0.12147402763366699,0.05741948261857033,0.5158209354502644
32,16,6,1324,0.001,0.013459689915180206,0.011652019833661709,0.1797681748867035,0.1166977733373642,0.03773537278175354,0.32746852432616813
32,16,7,1324,0.001,0.007457364350557327,0.19048365243409404,0.45058292150497437,0.09597980231046677,0.05399531498551369,0.552516727480823
32,16,8,1324,0.001,0.00910876039415598,0.02992059209769371,0.2323215901851654,0.09690050035715103,0.03753768280148506,0.40822501023375946
32,16,9,1324,0.001,0.007252790965139866,0.007204931221600264,0.1883092075586319,0.08547178655862808,0.030460231006145477,0.3634973898420276
32,16,10,1324,0.001,0.006816795561462641,0.08319002459718394,0.3153376281261444,0.08622843027114868,0.03816894069314003,0.4542426182758469
32,16,11,1324,0.001,0.005743259098380804,-0.0017434083084189034,0.1628820151090622,0.07571831345558167,0.02503165975213051,0.31753373657848194
32,16,12,1324,0.001,0.005260917358100414,0.036696437295885787,0.2617363929748535,0.07390080392360687,0.03250139579176903,0.42791479906534546
32,16,13,1324,0.001,0.005222133826464415,-0.00863321077138468,0.15129074454307556,0.0719543993473053,0.02365897409617901,0.3139995023651468
32,16,14,1324,0.001,0.004291710909456015,0.03452934612585212,0.23445945978164673,0.06667234003543854,0.02514934539794922,0.3685046811861763
32,16,15,1324,0.001,0.004229632206261158,0.049636488336603946,0.2649388313293457,0.0667123794555664,0.027239318937063217,0.42090152976508427
32,32,0,1324,0.001,0.10762683302164078,0.47860424281182823,0.6937755942344666,0.4543353319168091,0.33890366554260254,0.7497196163015477
32,32,1,1324,0.001,0.08033008873462677,0.3250561372208398,0.5732333064079285,0.3449890613555908,0.21809372305870056,0.6549363743972018
32,32,2,1324,0.001,0.02481180429458618,0.33064547737314776,0.5794662237167358,0.19253116846084595,0.12535837292671204,0.6511398179931731
32,32,3,1324,0.001,0.03142585977911949,0.0690386542832997,0.31149911880493164,0.18372902274131775,0.08797091990709305,0.43642899386667877
32,32,4,1324,0.001,0.01624108850955963,0.22097800970649562,0.48042580485343933,0.14438852667808533,0.08367845416069031,0.6074612006504353
32,32,5,1324,0.001,0.013034770265221596,0.11688323652328325,0.36022382974624634,0.12149059027433395,0.057513199746608734,0.5170656510159581
32,32,6,1324,0.001,0.013462962582707405,0.012111887811770972,0.18077188730239868,0.11673912405967712,0.03782600909471512,0.32833724896816696
32,32,7,1324,0.001,0.007454956416040659,0.19132778775116,0.45145148038864136,0.09601438045501709,0.0540720671415329,0.5527984259739808
32,32,8,1324,0.001,0.00910031609237194,0.029329355043858696,0.23163267970085144,0.09682606905698776,0.037526726722717285,0.4079853432838972
32,32,9,1324,0.001,0.007251685485243797,0.008282969631870918,0.19014102220535278,0.085511714220047,0.03053264319896698,0.3642454649902191
32,32,10,1324,0.001,0.006824682932347059,0.08173034419882941,0.3132493495941162,0.08620969951152802,0.03803027793765068,0.4528620524709146
32,32,11,1324,0.001,0.005751604679971933,-0.0025362351189872623,0.16136808693408966,0.07574333995580673,0.02499285712838173,0.3170277321151595
32,32,12,1324,0.001,0.005254034884274006,0.03696012402891158,0.26207563281059265,0.07386256009340286,0.032491981983184814,0.42864313017581096
32,32,13,1324,0.001,0.005222464445978403,-0.009387032991778677,0.15016743540763855,0.07192980498075485,0.02365390583872795,0.3134885862923666
32,32,14,1324,0.001,0.004279607906937599,0.03391813332691407,0.23322142660617828,0.06655719876289368,0.025031138211488724,0.36749089407347796
32,32,15,1324,0.001,0.004211777821183205,0.04927452018957912,0.2642015814781189,0.06655874848365784,0.02712097577750683,0.42055353106008764
32,32,16,1324,0.001,0.0036415907088667154,0.026658961510292012,0.22654855251312256,0.061166416853666306,0.02344871684908867,0.3607343911659102
32,32,17,1324,0.001,0.0032893484458327293,0.020849133986186374,0.21395300328731537,0.057960234582424164,0.021550776436924934,0.38279900236154346
32,32,18,1324,0.001,0.0033089304342865944,0.0038913549455547036,0.1739346981048584,0.05763555318117142,0.019344432279467583,0.3462914256220564
32,32,19,1324,0.001,0.0027898431289941072,0.01684000924552098,0.20434822142124176,0.0532694011926651,0.019285963848233223,0.36023460431616094
32,32,20,1324,0.001,0.002585384761914611,0.02138567324960816,0.2060776650905609,0.05139924958348274,0.018055004999041557,0.35970515073942655
32,32,21,1324,0.001,0.002451155101880431,0.03678233399810005,0.23702633380889893,0.05044558644294739,0.018983013927936554,0.37370455151862203
32,32,22,1324,0.001,0.0023125801235437393,-0.012982861977630655,0.13589608669281006,0.04778013005852699,0.01495396625250578,0.3052928930708634
32,32,23,1324,0.001,0.002105759223923087,0.016488199109396695,0.1879265159368515,0.04627160727977753,0.015040062367916107,0.3236361842250143
32,32,24,1324,0.001,0.002022861735895276,-0.012548993648234585,0.15558192133903503,0.044696658849716187,0.015519984066486359,0.348109834823611
32,32,25,1324,0.001,0.0019836309365928173,-0.012865495963638951,0.13716216385364532,0.044254206120967865,0.01394566148519516,0.30995412189070176
32,32,26,1324,0.001,0.0018389362376183271,-0.003334892038396209,0.16876301169395447,0.04281149432063103,0.014860090799629688,0.346888106926919
32,32,27,1324,0.001,0.0019103607628494501,0.04191012709355335,0.2447357177734375,0.044653404504060745,0.016914794221520424,0.3844592966424934
32,32,28,1324,0.001,0.0016722151776775718,-0.02320715846583088,0.12083578109741211,0.04042632877826691,0.012742362916469574,0.3138749396116831
32,32,29,1324,0.001,0.0016644465504214168,0.05289642059108057,0.2672998011112213,0.04192144051194191,0.016914380714297295,0.4010375426313973
32,32,30,1324,0.001,0.0015914218965917826,-0.015666055319887073,0.13914057612419128,0.03958377614617348,0.012915119528770447,0.3215305673863085
32,32,31,1324,0.001,0.0015128969680517912,0.025140958901602284,0.2166185826063156,0.03939433395862579,0.01434044074267149,0.35954593188972206
