feature,train_count,mini_val_count,train_mean,mini_val_mean,train_std,mini_val_std,standardized_mean_diff,ks_stat,mmd_rbf,mini_val_nn_distance_mean,mini_val_nn_distance_p50,mini_val_nn_distance_p90
P_benefit,90,114,1.0,1.0,0.0,0.0,0.0,0.0,,,,
proxy_score,90,114,0.9994631409645081,0.9995754361152649,0.0012069323565810919,0.0010079757776111364,0.10193764460685008,0.16900584795321638,,,,
anchor_psnr,90,114,34.96651840209961,36.521202087402344,3.6196718215942383,3.493673324584961,0.4279601802694486,0.21052631578947367,,,,
M_safe_mean,90,114,0.14548318088054657,0.16685248911380768,0.09754389524459839,0.103971928358078,0.210035993637421,0.13450292397660824,,,,
M_safe_nonzero_frac,90,114,1.0,1.0,0.0,0.0,0.0,0.0,,,,
x_mean,90,114,0.6324939131736755,0.6591650247573853,0.07018817961215973,0.07103709131479263,0.37097808850117325,0.191812865497076,,,,
x_std,90,114,0.2056799978017807,0.18940670788288116,0.035282909870147705,0.04068789258599281,-0.414730721548789,0.22514619883040937,,,,
x_min,90,114,0.0,0.0,0.0,0.0,0.0,0.0,,,,
x_max,90,114,1.0,1.0,0.0,0.0,0.0,0.0,,,,
anchor_mean,90,114,0.4621485471725464,0.5291188359260559,0.08540867269039154,0.10182125121355057,0.6657993877691454,0.34502923976608185,,,,
anchor_std,90,114,0.2757161855697632,0.2618368864059448,0.040694575756788254,0.043760791420936584,-0.3228396401092788,0.231578947368421,,,,
anchor_min,90,114,0.0014536294620484114,0.002935709897428751,0.003628995269536972,0.007359526585787535,0.24491674083504333,0.08245614035087723,,,,
anchor_max,90,114,0.9981696009635925,0.9966949224472046,0.005950425285845995,0.008026087656617165,-0.2041960135955808,0.1304093567251462,,,,
absdiff_mean,90,114,0.1815793365240097,0.15176090598106384,0.06857682764530182,0.08532024174928665,-0.3738434860456097,0.2713450292397661,,,,
absdiff_std,90,114,0.10909557342529297,0.0956709012389183,0.03828224912285805,0.04723317176103592,-0.30497155895708783,0.24444444444444446,,,,
absdiff_min,90,114,1.0977188367178314e-06,1.2346396260909387e-06,5.900931228097761e-06,5.100564521853812e-06,0.025037859230272016,0.10292397660818708,,,,
absdiff_max,90,114,0.4787350594997406,0.4250927269458771,0.14065271615982056,0.16860924661159515,-0.33708572610017334,0.19941520467836257,,,,
dark_mean,90,114,0.6074634194374084,0.628147304058075,0.07654567807912827,0.0779322162270546,0.26516906134257223,0.1818713450292398,,,,
dark_std,90,114,0.20251880586147308,0.1870242953300476,0.03757285326719284,0.04260243475437164,-0.37621192305524953,0.21871345029239764,,,,
dark_min,90,114,0.0,0.0,0.0,0.0,0.0,0.0,,,,
dark_max,90,114,0.9774727821350098,0.9540764093399048,0.02662023901939392,0.05219820886850357,-0.5271020347392625,0.308187134502924,,,,
bright_mean,90,114,0.657393753528595,0.6878913640975952,0.06648801267147064,0.06732083857059479,0.4442752237537225,0.19239766081871346,,,,
bright_std,90,114,0.20499679446220398,0.18795163929462433,0.03682667389512062,0.04300549998879433,-0.41298287513279375,0.24619883040935675,,,,
bright_min,90,114,0.03294117748737335,0.05758514627814293,0.025473767891526222,0.056441426277160645,0.5234846671401412,0.23216374269005846,,,,
bright_max,90,114,1.0,1.0,0.0,0.0,0.0,0.0,,,,
saturation_mean,90,114,0.04993022233247757,0.059744108468294144,0.03362191841006279,0.03647354245185852,0.27583214162537306,0.1795321637426901,,,,
saturation_std,90,114,0.04172121360898018,0.04696958512067795,0.0260064285248518,0.02018178626894951,0.22737803972182666,0.2368421052631579,,,,
saturation_min,90,114,0.0,0.0,0.0,0.0,0.0,0.0,,,,
saturation_max,90,114,0.39786496758461,0.4164430797100067,0.17618001997470856,0.142086923122406,0.1173555366649689,0.15263157894736845,,,,
gradient_mean,90,114,0.023840580135583878,0.0262850821018219,0.010364316403865814,0.011581175029277802,0.2196863166474176,0.15847953216374266,,,,
gradient_std,90,114,0.03786951303482056,0.04134201630949974,0.01506794709712267,0.014129502698779106,0.2369859503127887,0.18596491228070175,,,,
gradient_min,90,114,1.0000001111620804e-06,1.0000001111620804e-06,1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,,,,
gradient_max,90,114,0.4781815707683563,0.5347291231155396,0.1260831654071808,0.14713618159294128,0.4008578609756494,0.19064327485380117,,,,
m_safe_mean,90,114,0.14548318088054657,0.16685248911380768,0.09754389524459839,0.103971928358078,0.210035993637421,0.13450292397660824,,,,
m_safe_std,90,114,0.010277587920427322,0.011342799291014671,0.007802568841725588,0.008270875550806522,0.1317525421206298,0.09005847953216373,,,,
m_safe_min,90,114,0.02362862415611744,0.027309061959385872,0.01584123820066452,0.01684734970331192,0.22288777924282543,0.13216374269005843,,,,
m_safe_max,90,114,0.18906141817569733,0.21168220043182373,0.13269942998886108,0.13950631022453308,0.16510762713044205,0.1298245614035088,,,,
x_c0_mean,90,114,0.6279326677322388,0.6506969332695007,0.07711867988109589,0.07703779637813568,0.29223208677645046,0.11637426900584791,,,,
