low_size,K,step,train_loss,valid_loss
32,8,1,0.7317756414413452,0.7603151798248291
32,8,100,0.553037166595459,0.7009691596031189
32,8,200,0.42795035243034363,0.6170692443847656
32,8,300,0.3361877202987671,0.5803216695785522
32,8,400,0.28987574577331543,0.5446128845214844
32,8,465,0.2619449198246002,0.5426366329193115
32,16,1,0.7356874346733093,0.7363229393959045
32,16,100,0.5839765071868896,0.7069037556648254
32,16,200,0.46168243885040283,0.6542405486106873
32,16,300,0.3692869544029236,0.630742073059082
32,16,400,0.31932273507118225,0.6157809495925903
32,16,406,0.3098136782646179,0.6246047019958496
32,32,1,0.7290127873420715,0.6851423978805542
32,32,100,0.5909268856048584,0.6582859754562378
32,32,200,0.45514440536499023,0.6367232203483582
32,32,300,0.40646761655807495,0.6399073004722595
32,32,400,0.3650158941745758,0.6461479067802429
32,32,462,0.33616286516189575,0.636557936668396
