low_size,K,mapper,family,index,name,anchor_psnr,oracle_gain,output_gain,P_benefit,proxy_score,M_safe_mean,coeff_mse_norm,coeff_mae_norm,coeff_corr,sign_accuracy,pred_true_coeff_norm_ratio,weighted_field_l1,nn_distance,confidence_proxy,kernel_confidence
32,8,kernel_knn_1,kernel_knn,204,1185_0.94_1.35.png,39.97091293334961,2.5237083435058594,-3.2956466674804688,1.0,1.0,0.28948575258255005,4.180266499807783,2.2281409972860504,-0.9497724771499634,0.125,1.0828551054000854,0.024568313658312458,10.941686630249023,0.083740264751793,1.0
32,8,kernel_knn_1,kernel_knn,206,1187_0.82_1.57.png,40.15753936767578,2.296875,-2.1936302185058594,1.0,1.0,0.270302951335907,2.9431359751628428,1.6432828643882416,-0.17448972165584564,0.5,1.2279983758926392,0.016846357747208565,11.866446495056152,0.07772153720798074,1.0
32,8,kernel_knn_1,kernel_knn,248,1224_0.87_0.77.png,40.241790771484375,0.6631698608398438,-0.62811279296875,1.0,0.9996371269226074,0.08145435154438019,2.43721987724074,1.781150409924134,-0.6421217918395996,0.375,0.7064732313156128,0.018634494288203445,4.515921115875244,0.18129338309823237,1.0
32,8,kernel_knn_1,kernel_knn,245,1221_0.76_0.69.png,39.40924072265625,0.25000762939453125,-0.2573509216308594,1.0,0.9961631298065186,0.030548909679055214,2.248701601159888,1.7514028799038701,-0.6773339509963989,0.375,0.6205430626869202,0.02028105728119131,5.35880708694458,0.15726220127877824,1.0
32,8,kernel_knn_1,kernel_knn,208,1189_0.64_0.88.png,40.080223083496094,0.845367431640625,-0.16808319091796875,1.0,0.9999792575836182,0.09913918375968933,3.0008004451639967,1.4896479196150911,-0.08922495692968369,0.375,1.2626821994781494,0.010666992127217494,10.554165840148926,0.08654887023736113,1.0
32,8,kernel_knn_1,kernel_knn,200,1181_0.57_1.2.png,43.34961700439453,0.4224128723144531,-0.10919189453125,1.0,0.9995423555374146,0.0593438595533371,3.985952628823317,2.32551564796487,-0.23974405229091644,0.5,1.540592074394226,0.010589403957503477,6.214860916137695,0.13860281045241912,1.0
32,8,kernel_knn_1,kernel_knn,213,1193_0.97_1.06.png,39.367794036865234,0.7452163696289062,-0.088043212890625,1.0,0.9999575614929199,0.09147374331951141,3.7594659905275645,1.8394777621834622,-0.7515720725059509,0.375,1.1221296787261963,0.011899709264696214,5.577680587768555,0.1520292733367956,1.0
32,8,kernel_knn_1,kernel_knn,139,1126_0.73_0.82.png,40.25669860839844,0.21416854858398438,-0.011455535888671875,1.0,0.9986003041267395,0.028175506740808487,2.125333779944781,1.5014370566760904,0.5967516899108887,0.625,1.4932032823562622,0.011480960179362521,6.918545246124268,0.1262858225744748,1.0
32,8,kernel_knn_1,kernel_knn,170,1154_0.96_0.62.png,44.20916748046875,0.26007080078125,0.01136016845703125,1.0,0.9955796599388123,0.03663298487663269,3.3098529013027167,1.897568323270871,-0.21836774051189423,0.625,1.2642947435379028,0.011854363089005992,4.624457836151123,0.17779491448447068,1.0
32,8,kernel_knn_1,kernel_knn,203,1184_0.56_0.9.png,43.46466827392578,0.18091583251953125,0.029743194580078125,1.0,0.9974160194396973,0.02416927181184292,5.812701764099622,2.577497650567426,-0.2614431381225586,0.5,1.9883586168289185,0.009801552945870595,7.349582672119141,0.11976646489640637,1.0
32,8,kernel_knn_1,kernel_knn,171,1155_0.63_1.27.png,40.32396697998047,0.34104156494140625,0.034580230712890625,1.0,0.9976379871368408,0.04504396393895149,7.937159782055164,2.93365182091829,-0.4956118166446686,0.125,2.1888468265533447,0.011221952810495824,5.411981582641602,0.15595802750076226,1.0
32,8,kernel_knn_1,kernel_knn,166,1150_0.8_1.27.png,40.397953033447266,2.057445526123047,0.035190582275390625,1.0,0.9999994039535522,0.26060381531715393,1.6369052767053747,1.3746845246412105,-0.2842077314853668,0.5,0.5640947222709656,0.00837698204440334,13.064772605895996,0.0710996208769701,1.0
32,8,kernel_knn_1,kernel_knn,230,1208_0.63_0.83.png,41.218048095703125,0.16279220581054688,0.039119720458984375,1.0,0.9999092817306519,0.02353825233876705,2.8492531418473748,1.5858721429382485,0.6124207973480225,0.375,1.9917845726013184,0.009456401645201937,6.417707920074463,0.13481253384131112,1.0
32,8,kernel_knn_1,kernel_knn,153,1139_0.58_1.05.png,39.92860412597656,0.061126708984375,0.04210662841796875,1.0,0.9986294507980347,0.007366647012531757,3.698688099432683,1.7653746633837135,-0.14889828860759735,0.625,1.5293983221054077,0.009412752869332856,24.765972137451172,0.03881087795428014,1.0
32,8,kernel_knn_1,kernel_knn,191,1173_0.59_1.12.png,39.88703536987305,0.6078910827636719,0.09395217895507812,1.0,0.9999058246612549,0.07560615241527557,4.636758900767922,1.9634175300404213,-0.213918074965477,0.375,1.6803574562072754,0.010793133866868507,4.441847801208496,0.18376111139637633,1.0
