batches,cell,epoch,fold,mean_target_loss,model_seed,schema_version
96,output_linear,1,0,0.8470084505776564,3407,1
96,output_linear,2,0,0.22637935797683895,3407,1
96,output_linear,3,0,0.194411999390771,3407,1
96,output_linear,4,0,0.18860522859419385,3407,1
96,output_linear,5,0,0.18681419656301537,3407,1
96,output_linear,6,0,0.18617621700589856,3407,1
96,output_linear,7,0,0.18591644506280622,3407,1
96,output_linear,8,0,0.18579105536142984,3407,1
96,output_spatial,1,0,0.6687955823726952,3408,1
96,output_spatial,2,0,0.2209049880815049,3408,1
96,output_spatial,3,0,0.21220110449939966,3408,1
96,output_spatial,4,0,0.20797730889171362,3408,1
96,output_spatial,5,0,0.20500768131266037,3408,1
96,output_spatial,6,0,0.20278129866346717,3408,1
96,output_spatial,7,0,0.20104101890077195,3408,1
96,output_spatial,8,0,0.19960087956860662,3408,1
96,context_linear,1,0,0.4974782845626275,3409,1
96,context_linear,2,0,0.219263705269744,3409,1
96,context_linear,3,0,0.19969344325363636,3409,1
96,context_linear,4,0,0.19252488079170385,3409,1
96,context_linear,5,0,0.1890033919674655,3409,1
96,context_linear,6,0,0.1872511732702454,3409,1
96,context_linear,7,0,0.18632339189449945,3409,1
96,context_linear,8,0,0.18578547177215418,3409,1
96,context_spatial,1,0,0.4190844477464755,3410,1
96,context_spatial,2,0,0.22743929037824273,3410,1
96,context_spatial,3,0,0.21883346885442734,3410,1
96,context_spatial,4,0,0.21357844397425652,3410,1
96,context_spatial,5,0,0.21061043301597238,3410,1
96,context_spatial,6,0,0.2079873957360784,3410,1
96,context_spatial,7,0,0.2057739378263553,3410,1
96,context_spatial,8,0,0.20290431287139654,3410,1
96,context_spatial_shuffled,1,0,0.2659468867738421,3410,1
96,context_spatial_shuffled,2,0,0.13420784248349568,3410,1
96,context_spatial_shuffled,3,0,0.12895427306648344,3410,1
96,context_spatial_shuffled,4,0,0.1261727463764449,3410,1
96,context_spatial_shuffled,5,0,0.1255004268605262,3410,1
96,context_spatial_shuffled,6,0,0.12427035726917286,3410,1
96,context_spatial_shuffled,7,0,0.1233942030230537,3410,1
96,context_spatial_shuffled,8,0,0.1230239502619952,3410,1
97,output_linear,1,1,0.8183421550952282,3507,1
97,output_linear,2,1,0.2205515215077351,3507,1
97,output_linear,3,1,0.19354805964784524,3507,1
97,output_linear,4,1,0.18844488324578276,3507,1
97,output_linear,5,1,0.18688678480300708,3507,1
97,output_linear,6,1,0.18633380516902687,3507,1
