stratum,source_groups,nested_variants,mismatch_count,mismatch_rate,global_competence_count,global_competence_rate,low_region_harm_count,low_region_harm_rate,true_imbalance_mean,true_imbalance_median,control_imbalance_median,alignment_separation_median,input_psnr_median,output_psnr_median,output_ssim_median
all,492,500,0,0.0,492,1.0,12,0.024390243902439025,-0.1566381712851536,-0.02101634886213527,0.0033830931908820916,-0.027740928335383164,15.843169971385649,37.930221602040106,0.9950728118419647
variant_count_1,484,484,0,0.0,484,1.0,12,0.024793388429752067,-0.15849447878698453,-0.02108598423913105,0.0035387629636660645,-0.028552530481937455,15.88434001384653,37.916733429221395,0.9950801432132721
variant_count_2,8,16,0,0.0,8,1.0,0,0.0,-0.044331567424380894,-0.015520863590607337,0.0020967395253841947,-0.015869184133452674,13.975425980204944,38.793779557416386,0.9934194982051849
