selector_id,selector_kind,selector_features,selector_signs,deployable,variant,positive_gain_auc_open_direction,positive_gain_auc_best_direction,severe_regression_auc_open_predicts_event,severe_regression_auc_open_avoids_event,severe_regression_auc_best_direction,strong_reference_auc_open_predicts_event_easy_only,strong_reference_auc_open_avoids_event_easy_only,strong_reference_auc_best_direction_easy_only,ub_any_mean_delta,ub_any_hard_mean_delta,ub_any_medium_mean_delta,ub_any_easy_mean_delta,ub_any_strong_reference_regressions,ub_any_selected_count,ub_feasible_mean_delta,ub_feasible_hard_mean_delta,ub_feasible_medium_mean_delta,ub_feasible_easy_mean_delta,ub_feasible_strong_reference_regressions,ub_feasible_selected_count
proxy_baseline_multiscale_consistency_mean,proxy,proxy_baseline_multiscale_consistency_mean,-,True,fam2_only_best,0.5605024250715085,0.5605024250715085,0.4352842050683777,0.5647157949316223,0.5647157949316223,0.5106107660455487,0.48938923395445133,0.5106107660455487,0.22822692489624025,0.6390526428222656,0.2314954948425293,-0.18913593292236328,112,714,0.11232694435119629,0.15358241271972656,0.12557877349853516,0.04456781768798828,25,128
proxy_baseline_multiscale_consistency_mean,proxy,proxy_baseline_multiscale_consistency_mean,-,True,bounded_gamma_best,0.46211718888298814,0.5378828111170119,0.5571033149895178,0.4428966850104822,0.5571033149895178,0.594683321322764,0.405316678677236,0.594683321322764,0.010722532272338867,0.1381339645385742,0.04838048934936524,-0.19200481414794923,22,80,0.0,0.0,0.0,0.0,0,0
proxy_baseline_multiscale_consistency_mean,proxy,proxy_baseline_multiscale_consistency_mean,-,True,bounded_gamma_last,0.3711041768487537,0.6288958231512463,0.6176912643425345,0.3823087356574655,0.6176912643425345,0.477603706972639,0.522396293027361,0.522396293027361,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
proxy_baseline_multiscale_consistency_mean,proxy,proxy_baseline_multiscale_consistency_mean,-,True,conf_gate_best,0.5694560861388079,0.5694560861388079,0.4305010989010989,0.5694989010989011,0.5694989010989011,0.4215516689089628,0.5784483310910372,0.5784483310910372,0.45234449005126953,0.9379619064331055,0.4707047462463379,-0.06999343872070313,121,1000,0.17195307731628418,0.14877694702148436,0.2273881721496582,0.08425901794433593,25,177
proxy_baseline_multiscale_consistency_mean,proxy,proxy_baseline_multiscale_consistency_mean,-,True,conf_gate_last,0.43006334052232925,0.5699366594776707,0.5642466165413533,0.43575338345864667,0.5642466165413533,0.5394871794871795,0.4605128205128205,0.5394871794871795,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
proxy_baseline_residual_abs_mean,proxy,proxy_baseline_residual_abs_mean,-,True,fam2_only_best,0.5325850179122321,0.5325850179122321,0.4657503726748331,0.5342496273251669,0.5342496273251669,0.4377587991718426,0.5622412008281574,0.5622412008281574,0.21734321403503418,0.46787631225585935,0.2943541259765625,-0.18721170806884765,125,768,0.006157114982604981,-0.01510660171508789,0.023162490844726564,-0.006589920043945313,22,84
proxy_baseline_residual_abs_mean,proxy,proxy_baseline_residual_abs_mean,-,True,bounded_gamma_best,0.5172114131221938,0.5172114131221938,0.4664406446540881,0.5335593553459119,0.5335593553459119,0.42061013692049004,0.57938986307951,0.57938986307951,0.13349917221069335,0.5620115661621093,0.44126316833496093,-0.9105412139892578,151,653,8.658218383789062e-05,0.0,-0.0026688079833984374,0.005683944702148437,3,13
proxy_baseline_residual_abs_mean,proxy,proxy_baseline_residual_abs_mean,-,True,bounded_gamma_last,0.43545496697870845,0.5645450330212916,0.5528917237924166,0.4471082762075834,0.5528917237924166,0.3836054721977052,0.6163945278022949,0.6163945278022949,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
proxy_baseline_residual_abs_mean,proxy,proxy_baseline_residual_abs_mean,-,True,conf_gate_best,0.47001864061151216,0.5299813593884879,0.5472747252747253,0.4527252747252747,0.5472747252747253,0.4749183163559485,0.5250816836440515,0.5250816836440515,0.45234449005126953,0.9379619064331055,0.4707047462463379,-0.06999343872070313,121,1000,0.015457210540771484,-0.003277679443359375,0.024830657958984374,0.015445205688476562,24,94
proxy_baseline_residual_abs_mean,proxy,proxy_baseline_residual_abs_mean,-,True,conf_gate_last,0.48478507036279755,0.5152149296372024,0.511895739348371,0.48810426065162904,0.511895739348371,0.36466200466200466,0.6353379953379954,0.6353379953379954,0.018565284729003907,0.0,0.0413019905090332,-0.00834284210205078,6,33,0.018565284729003907,0.0,0.0413019905090332,-0.00834284210205078,6,33
