name,bucket,original_seed_psnr_mean,original_seed_psnr_sample_std,original_seed_psnr_range,original_seed_ssim_mean,original_seed_ssim_sample_std,original_seed3407_psnr,original_seed2027_psnr,original_seed8675_psnr,reference_original_psnr_control,proxy_input_brightness_mean,proxy_input_gray_std,proxy_input_local_contrast_mean,proxy_input_dark_channel_mean,proxy_input_dark_channel_p95,proxy_input_saturation_mean,proxy_input_saturation_std,proxy_baseline_residual_abs_mean,proxy_baseline_residual_abs_p95,proxy_baseline_multiscale_consistency_mean,fam2_only_best_original_psnr,fam2_only_best_delta_psnr,fam2_only_best_original_ssim,fam2_only_best_delta_ssim,bounded_gamma_best_original_psnr,bounded_gamma_best_delta_psnr,bounded_gamma_best_original_ssim,bounded_gamma_best_delta_ssim,bounded_gamma_last_original_psnr,bounded_gamma_last_delta_psnr,bounded_gamma_last_original_ssim,bounded_gamma_last_delta_ssim,conf_gate_best_original_psnr,conf_gate_best_delta_psnr,conf_gate_best_original_ssim,conf_gate_best_delta_ssim,conf_gate_last_original_psnr,conf_gate_last_delta_psnr,conf_gate_last_original_ssim,conf_gate_last_delta_ssim,bounded_gamma_best_mod_gamma_mean,bounded_gamma_best_mod_gamma_abs_mean,bounded_gamma_best_mod_gamma_std,bounded_gamma_best_mod_gamma_min,bounded_gamma_best_mod_gamma_max,bounded_gamma_best_mod_gamma_abs_gt_0.05,bounded_gamma_best_mod_gamma_abs_gt_0.10,bounded_gamma_best_mod_gamma_abs_gt_0.09,bounded_gamma_best_mod_beta_present,bounded_gamma_best_mod_beta_mean,bounded_gamma_best_mod_beta_abs_mean,bounded_gamma_best_mod_beta_std,bounded_gamma_best_mod_beta_min,bounded_gamma_best_mod_beta_max,bounded_gamma_best_mod_beta_abs_gt_0.02,bounded_gamma_best_mod_beta_abs_gt_0.05,bounded_gamma_best_mod_beta_abs_gt_0.1,bounded_gamma_last_mod_gamma_mean,bounded_gamma_last_mod_gamma_abs_mean,bounded_gamma_last_mod_gamma_std,bounded_gamma_last_mod_gamma_min,bounded_gamma_last_mod_gamma_max,bounded_gamma_last_mod_gamma_abs_gt_0.05,bounded_gamma_last_mod_gamma_abs_gt_0.10,bounded_gamma_last_mod_gamma_abs_gt_0.09,bounded_gamma_last_mod_beta_present,bounded_gamma_last_mod_beta_mean,bounded_gamma_last_mod_beta_abs_mean,bounded_gamma_last_mod_beta_std,bounded_gamma_last_mod_beta_min,bounded_gamma_last_mod_beta_max,bounded_gamma_last_mod_beta_abs_gt_0.02,bounded_gamma_last_mod_beta_abs_gt_0.05,bounded_gamma_last_mod_beta_abs_gt_0.1,conf_gate_best_mod_gamma_mean,conf_gate_best_mod_gamma_abs_mean,conf_gate_best_mod_gamma_std,conf_gate_best_mod_gamma_min,conf_gate_best_mod_gamma_max,conf_gate_best_mod_gamma_abs_gt_0.05,conf_gate_best_mod_gamma_abs_gt_0.10,conf_gate_best_mod_gamma_abs_gt_0.09,conf_gate_best_mod_gate_mean,conf_gate_best_mod_gate_std,conf_gate_best_mod_gate_min,conf_gate_best_mod_gate_max,conf_gate_best_mod_gamma_base_abs_mean,conf_gate_best_mod_effective_gamma_abs_mean,conf_gate_best_mod_beta_present,conf_gate_best_mod_beta_mean,conf_gate_best_mod_beta_abs_mean,conf_gate_best_mod_beta_std,conf_gate_best_mod_beta_min,conf_gate_best_mod_beta_max,conf_gate_best_mod_beta_abs_gt_0.02,conf_gate_best_mod_beta_abs_gt_0.05,conf_gate_best_mod_beta_abs_gt_0.1,conf_gate_last_mod_gamma_mean,conf_gate_last_mod_gamma_abs_mean,conf_gate_last_mod_gamma_std,conf_gate_last_mod_gamma_min,conf_gate_last_mod_gamma_max,conf_gate_last_mod_gamma_abs_gt_0.05,conf_gate_last_mod_gamma_abs_gt_0.10,conf_gate_last_mod_gamma_abs_gt_0.09,conf_gate_last_mod_gate_mean,conf_gate_last_mod_gate_std,conf_gate_last_mod_gate_min,conf_gate_last_mod_gate_max,conf_gate_last_mod_gamma_base_abs_mean,conf_gate_last_mod_effective_gamma_abs_mean,conf_gate_last_mod_beta_present,conf_gate_last_mod_beta_mean,conf_gate_last_mod_beta_abs_mean,conf_gate_last_mod_beta_std,conf_gate_last_mod_beta_min,conf_gate_last_mod_beta_max,conf_gate_last_mod_beta_abs_gt_0.02,conf_gate_last_mod_beta_abs_gt_0.05,conf_gate_last_mod_beta_abs_gt_0.1,fam2_positive_gain,fam2_noise_margin_gain,fam2_strong_gain_ge_050,fam2_severe_regression_le_m020,fam2_strong_reference_regression,bounded_gamma_best_severe_regression_le_m020,bounded_gamma_best_positive_gain,bounded_gamma_best_strong_reference_regression,bounded_gamma_last_severe_regression_le_m020,bounded_gamma_last_positive_gain,bounded_gamma_last_strong_reference_regression,conf_gate_best_severe_regression_le_m020,conf_gate_best_positive_gain,conf_gate_best_strong_reference_regression,conf_gate_last_severe_regression_le_m020,conf_gate_last_positive_gain,conf_gate_last_strong_reference_regression,bounded_gated_severe_regression_hits,bounded_gated_stable_regression_ge3,fam2_gain_bounded_gated_regression_overlap_ge2
1000_0.73_1.8.png,medium_middle_50pct,23.442506154378254,0.5918391219027703,1.1459579467773438,0.9666930834452311,0.002750835506190031,24.101058959960938,22.955101013183594,23.271358489990234,24.101058959960938,0.5425153970718384,0.18918195366859436,0.035410378128290176,0.4985450804233551,0.8549019694328308,0.19812609255313873,0.16481700539588928,0.06224110350012779,0.1503559648990631,0.02578512206673622,24.101058959960938,0.10464286804199219,0.9698402881622314,-0.0027086734771728516,24.101058959960938,-0.1318359375,0.9698402881622314,-0.0017354488372802734,24.101058959960938,-5.859703063964844,0.9698402881622314,-0.041461288928985596,24.101058959960938,-0.488006591796875,0.9698402881622314,-0.002274155616760254,24.101058959960938,-0.5512466430664062,0.9698402881622314,-0.0017657876014709473,-0.004179270472377539,0.0254833847284317,0.03297292813658714,-0.09956762194633484,0.0998622477054596,0.1486714780330658,0.0,0.005801595281809568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004642690997570753,0.024681666865944862,0.03173253312706947,-0.09955224394798279,0.09992063790559769,0.1333707720041275,0.0,0.005700073204934597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6129348523463705e-08,3.229332037335553e-07,4.379974711810064e-07,-1.7600654018679052e-06,1.7842646684584906e-06,0.0,0.0,0.0,1.8035472749033943e-05,0.0,1.8035472749033943e-05,1.8035472749033943e-05,0.017905449494719505,3.229332037335553e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.510134736321561e-09,1.638181430507757e-07,2.2381428266271541e-07,-9.821526418818394e-07,1.0002988801716128e-06,0.0,0.0,0.0,1.0152824870601762e-05,0.0,1.0152824870601762e-05,1.0152824870601762e-05,0.01613522879779339,1.638181430507757e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,3,True,True
100_0.5_1.76.png,hard_bottom_25pct,17.872599283854168,1.2860911074737782,2.5306034088134766,0.923658033212026,0.016278411889739438,16.474328994750977,18.13853645324707,19.004932403564453,16.474328994750977,0.433109313249588,0.14609912037849426,0.032792314887046814,0.41277289390563965,0.6196078658103943,0.10295151174068451,0.08769567310810089,0.12439621239900589,0.2251099795103073,0.022469298914074898,16.474328994750977,1.8808956146240234,0.9139453172683716,0.005968153476715088,16.474328994750977,0.2959556579589844,0.9139453172683716,-0.0019268393516540527,16.474328994750977,-0.40164756774902344,0.9139453172683716,0.017625153064727783,16.474328994750977,-0.969273567199707,0.9139453172683716,-0.014481723308563232,16.474328994750977,2.088479995727539,0.9139453172683716,0.03546673059463501,-0.004205434117466211,0.024350862950086594,0.03025696612894535,-0.09972050040960312,0.09988637268543243,0.10500214248895645,0.0,0.0025114703457802534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004640209022909403,0.02279907651245594,0.02830519713461399,-0.0996326133608818,0.09985996037721634,0.08008173853158951,0.0,0.002024272456765175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.510755205610621e-08,1.9151716514898e-06,2.49615868597175e-06,-1.1185489711351693e-05,1.1166826880071312e-05,0.0,0.0,0.0,0.00011395395267754793,0.0,0.00011395395267754793,0.00011395395267754793,0.01680653914809227,1.9151716514898e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.272046538744689e-08,8.8984677404369e-07,1.1677806242005317e-06,-5.869810593139846e-06,5.89462615607772e-06,0.0,0.0,0.0,6.017105988576077e-05,0.0,6.017105988576077e-05,6.017105988576077e-05,0.014788619242608547,8.8984677404369e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2,False,True
101_0.83_1.44.png,hard_bottom_25pct,18.06691042582194,0.6523368655556325,1.3003215789794922,0.9278075893719991,0.009054041393762837,17.447486877441406,18.7478084564209,18.005435943603516,17.447486877441406,0.7648988366127014,0.1792207807302475,0.029763078317046165,0.7536194920539856,0.9254902005195618,0.03483457490801811,0.05094998702406883,0.1611308604478836,0.379776269197464,0.029371488839387894,17.447486877441406,-0.45067405700683594,0.9196130037307739,-0.016563057899475098,17.447486877441406,0.5565109252929688,0.9196130037307739,0.004268229007720947,17.447486877441406,2.465167999267578,0.9196130037307739,0.03900730609893799,17.447486877441406,-0.13590621948242188,0.9196130037307739,-0.007960677146911621,17.447486877441406,3.2912216186523438,0.9196130037307739,0.03386867046356201,-0.004890910815447569,0.025296378880739212,0.03161121904850006,-0.09927143156528473,0.09988441318273544,0.10314508527517319,0.0,0.007186257746070623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005041935946792364,0.024263624101877213,0.03034214675426483,-0.09896492958068848,0.09984787553548813,0.08996148407459259,0.0,0.00470873573794961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.028171810612548e-07,8.721905032871291e-06,1.1490782526379917e-05,-4.958236240781844e-05,5.1898234232794493e-05,0.0,0.0,0.0,0.000523328548297286,0.0,0.000523328548297286,0.000523328548297286,0.016666213050484657,8.721905032871291e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.558195149049425e-07,4.115222964173881e-06,5.476560545503162e-06,-2.5518158508930355e-05,2.7262913135928102e-05,0.0,0.0,0.0,0.0002758660411927849,0.0,0.0002758660411927849,0.0002758660411927849,0.014917468652129173,4.115222964173881e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,0,False,False
102_0.67_1.36.png,hard_bottom_25pct,18.34859784444173,0.4833544219074243,0.9283924102783203,0.9343375563621521,0.005491898756771426,17.962190628051758,18.19301986694336,18.890583038330078,17.962190628051758,0.7318720817565918,0.18123094737529755,0.03286955505609512,0.7186785936355591,0.8941176533699036,0.042406413704156876,0.059658776968717575,0.13201402127742767,0.33952516317367554,0.027387823909521103,17.962190628051758,-0.4890727996826172,0.9280794858932495,-0.010098159313201904,17.962190628051758,0.5367794036865234,0.9280794858932495,0.005044043064117432,17.962190628051758,1.8196773529052734,0.9280794858932495,0.03138172626495361,17.962190628051758,-0.29488563537597656,0.9280794858932495,-0.004812896251678467,17.962190628051758,3.736337661743164,0.9280794858932495,0.033798277378082275,-0.004871119279414415,0.02617807500064373,0.03239217400550842,-0.09900438040494919,0.09986536204814911,0.11059317737817764,0.0,0.006568682845681906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00504912156611681,0.02512790821492672,0.031092891469597816,-0.09894552081823349,0.09984000772237778,0.09654930979013443,0.0,0.004155808128416538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7570796962427266e-07,5.694505489373114e-06,7.385993740172125e-06,-3.088367520831525e-05,3.249817018513568e-05,0.0,0.0,0.0,0.00032820168416947126,0.0,0.00032820168416947126,0.00032820168416947126,0.017350628972053528,5.694505489373114e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6297428828693228e-07,2.7469925498735392e-06,3.59360114998708e-06,-1.620757029741071e-05,1.7402317098458298e-05,0.0,0.0,0.0,0.00017640250734984875,0.0,0.00017640250734984875,0.00017640250734984875,0.01557229831814766,2.7469925498735392e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,1,False,False
103_0.94_0.98.png,hard_bottom_25pct,18.791075388590496,0.8672004442265071,1.6911582946777344,0.9401999314626058,0.007938262525655573,18.05660057067871,18.568866729736328,19.747758865356445,18.05660057067871,0.7041137218475342,0.1951216161251068,0.03295404091477394,0.690937340259552,0.8941176533699036,0.045051731169223785,0.060516782104969025,0.11445252597332001,0.3009353280067444,0.02623053826391697,18.05660057067871,0.35050201416015625,0.9312795400619507,0.0006118416786193848,18.05660057067871,1.1102981567382812,0.9312795400619507,0.012166142463684082,18.05660057067871,1.7360553741455078,0.9312795400619507,0.03107982873916626,18.05660057067871,0.45808982849121094,0.9312795400619507,0.0040978193283081055,18.05660057067871,3.3062572479248047,0.9312795400619507,0.029319584369659424,-0.004888284020125866,0.027576468884944916,0.033868491649627686,-0.0987251028418541,0.09986069053411484,0.13840173184871674,0.0,0.006718201097100973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005072975065559149,0.026400838047266006,0.03242294862866402,-0.09907900542020798,0.09985693544149399,0.1232314258813858,0.0,0.004142445046454668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5266472764305945e-07,5.5253399295907e-06,7.0886508183320984e-06,-2.8059332180419005e-05,2.965495514217764e-05,0.0,0.0,0.0,0.0002997963747475296,0.0,0.0002997963747475296,0.0002997963747475296,0.018430309370160103,5.5253399295907e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5551866283658455e-07,2.7210703592572827e-06,3.5182347346562892e-06,-1.5283372704288922e-05,1.618959504412487e-05,0.0,0.0,0.0,0.00016431215044576675,0.0,0.00016431215044576675,0.00016431215044576675,0.016560371965169907,2.7210703592572827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,0,False,False
104_0.91_1.41.png,hard_bottom_25pct,18.236473719278973,0.8051227426294787,1.59564208984375,0.9261625607808431,0.009519426769566786,17.501113891601562,19.096755981445312,18.11155128479004,17.501113891601562,0.7638772130012512,0.1796337366104126,0.028828080743551254,0.753143846988678,0.9254902005195618,0.033344805240631104,0.0490138866007328,0.16422386467456818,0.38141441345214844,0.029440956190228462,17.501113891601562,-0.3254108428955078,0.917473316192627,-0.01630955934524536,17.501113891601562,0.5370407104492188,0.917473316192627,0.00506436824798584,17.501113891601562,2.3422298431396484,0.917473316192627,0.03968310356140137,17.501113891601562,-0.0192108154296875,0.917473316192627,-0.0075324177742004395,17.501113891601562,3.028850555419922,0.917473316192627,0.032817840576171875,-0.004900651518255472,0.02527516335248947,0.0316244438290596,-0.09925378859043121,0.09988906234502792,0.10456766933202744,0.0,0.007325302343815565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005050217732787132,0.024228012189269066,0.030335068702697754,-0.0989403948187828,0.09985329955816269,0.0914718359708786,0.0,0.004818888381123543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.003386599535588e-07,1.0064532034448348e-05,1.3286407920531929e-05,-5.7131899666273966e-05,5.993614831822924e-05,0.0,0.0,0.0,0.0006042830646038055,0.0,0.0006042830646038055,0.0006042830646038055,0.01665532775223255,1.0064532034448348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0158372510413756e-07,4.821649326913757e-06,6.430471330531873e-06,-2.986053550557699e-05,3.198434569640085e-05,0.0,0.0,0.0,0.0003235700132790953,0.0,0.0003235700132790953,0.0003235700132790953,0.014901410788297653,4.821649326913757e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,0,False,False
105_0.84_0.8.png,medium_middle_50pct,22.461015065511067,0.7260249142250629,1.4307575225830078,0.9673410852750143,0.004096622363462076,23.104873657226562,22.604055404663086,21.674116134643555,23.104873657226562,0.5297302007675171,0.1878500133752823,0.03444548323750496,0.4399736225605011,0.6235294342041016,0.24913297593593597,0.11471915245056152,0.0530782975256443,0.11498377472162247,0.034685369580984116,23.104873657226562,-1.64599609375,0.9712384939193726,-0.012000083923339844,23.104873657226562,0.18441390991210938,0.9712384939193726,0.00290679931640625,23.104873657226562,-2.431825637817383,0.9712384939193726,-0.02435886859893799,23.104873657226562,-0.8018875122070312,0.9712384939193726,-0.00678098201751709,23.104873657226562,-0.8341350555419922,0.9712384939193726,-0.006900012493133545,-0.004156630951911211,0.03160308673977852,0.03757763281464577,-0.09962501376867294,0.09981896728277206,0.20343126356601715,0.0,0.003827879438176751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004577767103910446,0.03002588264644146,0.03572918474674225,-0.09953540563583374,0.09986545890569687,0.17524312436580658,0.0,0.003338153474032879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.177549918158661e-09,5.374553424530859e-08,6.576433975169493e-08,-2.386350956840033e-07,2.3813386462734343e-07,0.0,0.0,0.0,2.4213800315919798e-06,0.0,2.4213800315919798e-06,2.4213800315919798e-06,0.022196240723133087,5.374553424530859e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4100546286144322e-09,3.6304573569623244e-08,4.4813759814132936e-08,-1.787783361351103e-07,1.775052425045942e-07,0.0,0.0,0.0,1.8146191678169998e-06,0.0,1.8146191678169998e-06,1.8146191678169998e-06,0.02000671625137329,3.6304573569623244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,3,True,False
106_0.59_1.07.png,medium_middle_50pct,24.485625584920246,0.7827931914040132,1.4992866516113281,0.9780764977137247,0.0040050355562611184,24.745882034301758,25.105140686035156,23.605854034423828,24.745882034301758,0.49648517370224,0.15622180700302124,0.03350627422332764,0.4127574563026428,0.572549045085907,0.2507217824459076,0.11506502330303192,0.043989576399326324,0.10192178189754486,0.03497990593314171,24.745882034301758,-0.8835277557373047,0.9822303056716919,-0.012879252433776855,24.745882034301758,0.8516311645507812,0.9822303056716919,0.0006241798400878906,24.745882034301758,-4.73756217956543,0.9822303056716919,-0.03169119358062744,24.745882034301758,-1.041189193725586,0.9822303056716919,-0.008271396160125732,24.745882034301758,-2.797029495239258,0.9822303056716919,-0.014511585235595703,-0.004190229810774326,0.028844602406024933,0.03449513018131256,-0.09967998415231705,0.0998198390007019,0.15199486911296844,0.0,0.0030073358211666346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004619756247848272,0.027223356068134308,0.0325772650539875,-0.09960079938173294,0.09986833482980728,0.12401694059371948,0.0,0.0026797684840857983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3875597882371267e-09,7.563073012306631e-08,9.412858048563066e-08,-3.705551705479593e-07,3.691538381644932e-07,0.0,0.0,0.0,3.7575944134005113e-06,0.0,3.7575944134005113e-06,3.7575944134005113e-06,0.0201274324208498,7.563073012306631e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3777120272683305e-09,5.539762071293808e-08,6.977477795544473e-08,-3.0666745942653506e-07,3.031941275821737e-07,0.0,0.0,0.0,3.1055851650307886e-06,0.0,3.1055851650307886e-06,3.1055851650307886e-06,0.017838062718510628,5.539762071293808e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,3,True,False
107_0.89_1.5.png,hard_bottom_25pct,19.88980484008789,0.9371134127404399,1.8437232971191406,0.9537352124849955,0.010039438210005346,20.71445083618164,18.8707275390625,20.08423614501953,20.71445083618164,0.6886621713638306,0.1622081995010376,0.026743309572339058,0.6379797458648682,0.7882353067398071,0.12629657983779907,0.06795250624418259,0.16248929500579834,0.3721191883087158,0.04200650379061699,20.71445083618164,-1.863861083984375,0.9614100456237793,-0.0167161226272583,20.71445083618164,0.2730236053466797,0.9614100456237793,0.002729356288909912,20.71445083618164,0.324066162109375,0.9614100456237793,-0.016699373722076416,20.71445083618164,-0.43060874938964844,0.9614100456237793,-0.006302356719970703,20.71445083618164,-0.40955162048339844,0.9614100456237793,-0.02221161127090454,-0.004721318371593952,0.02709891088306904,0.03383997082710266,-0.0984349474310875,0.09977316111326218,0.1526709645986557,0.0,0.004286907147616148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004991502035409212,0.026314321905374527,0.03261304646730423,-0.09854396432638168,0.09967323392629623,0.13532721996307373,0.0,0.002404929604381323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.850523241539122e-08,1.7003153516270686e-06,2.175815325244912e-06,-8.383703971048817e-06,9.0882867880282e-06,0.0,0.0,0.0,9.26997818169184e-05,0.0,9.26997818169184e-05,9.26997818169184e-05,0.018342172726988792,1.7003153516270686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.445433532396237e-08,8.411438443545194e-07,1.0782772505990579e-06,-4.489642833505059e-06,4.905436526314588e-06,0.0,0.0,0.0,5.035667709307745e-05,0.0,5.035667709307745e-05,5.035667709307745e-05,0.01670372113585472,8.411438443545194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,2,False,False
108_0.73_1.27.png,medium_middle_50pct,23.541980743408203,0.4734574298614818,0.9073104858398438,0.9696685473124186,0.0013452188539081775,24.073863983154297,23.38552474975586,23.166553497314453,24.073863983154297,0.5780685544013977,0.16036854684352875,0.031091179698705673,0.5075624585151672,0.6666666865348816,0.19258815050125122,0.09300938993692398,0.08788996189832687,0.20103523135185242,0.03471904247999191,24.073863983154297,-1.7779045104980469,0.971202552318573,-0.007486581802368164,24.073863983154297,0.30913734436035156,0.971202552318573,0.004327297210693359,24.073863983154297,-3.6661376953125,0.971202552318573,-0.03421163558959961,24.073863983154297,-0.8976020812988281,0.971202552318573,-0.004018008708953857,24.073863983154297,-1.430288314819336,0.971202552318573,-0.010936915874481201,-0.0043299440294504166,0.029054762795567513,0.03511377424001694,-0.0993141382932663,0.09971536695957184,0.16491807997226715,0.0,0.0027552498504519463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004699984565377235,0.02785389870405197,0.033592578023672104,-0.099124476313591,0.09968589246273041,0.1418236792087555,0.0,0.002172707114368677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5631295369189502e-08,3.402865900170582e-07,4.2144088752138487e-07,-1.6513475884494255e-06,1.6614336573184119e-06,0.0,0.0,0.0,1.6997411876218393e-05,0.0,1.6997411876218393e-05,1.6997411876218393e-05,0.020019905641674995,3.402865900170582e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.245573195926227e-09,2.1304175845671125e-07,2.65636373342204e-07,-1.1412015510359197e-06,1.1436502518336056e-06,0.0,0.0,0.0,1.1760572306229733e-05,0.0,1.1760572306229733e-05,1.1760572306229733e-05,0.018114913254976273,2.1304175845671125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,3,True,False
