checkpoint,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,cvar5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_loss_count,severe_rate,mean_dSSIM,strong_reference_cut_psnr,strong_reference_count,strong_reference_regressions
model_5,480,0.08188924789428711,0.11408615112304688,-0.7964680862426757,-0.4386688232421875,-0.6466185251871744,0.1058865229288737,0.020994027455647785,0.6625,67,0.13958333333333334,4.347537954648336e-06,43.16444396972656,120,48
model_10,480,0.03187673886617025,0.02829742431640625,-0.41179397583007815,-0.26928462982177737,-0.3603386878967285,-0.007507642110188802,0.04138024648030599,0.5875,38,0.07916666666666666,-2.119566003481547e-05,43.16444396972656,120,40
model_15,480,0.019127825895945232,0.015363693237304688,-0.29981849670410154,-0.2039102554321289,-0.2731042702992757,0.0018909613291422525,0.031675497690836586,0.5583333333333333,26,0.05416666666666667,-4.101792971293131e-06,43.16444396972656,120,32
model_20,480,0.03074689706166585,0.027776718139648438,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,-0.0055638313293457035,0.05574855804443359,0.5895833333333333,39,0.08125,-1.8833825985590617e-06,43.16444396972656,120,42
Best,480,0.024596921602884927,0.014585494995117188,-0.324660530090332,-0.19548625946044923,-0.2680160204569499,-0.008706283569335938,0.042801984151204425,0.5541666666666667,24,0.05,-6.776551405588786e-06,43.16444396972656,120,33
Final,480,0.03074689706166585,0.027776718139648438,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,-0.0055638313293457035,0.05574855804443359,0.5895833333333333,39,0.08125,-1.8833825985590617e-06,43.16444396972656,120,42
