variant,scope,count,mean_dPSNR,median_dPSNR,p05_dPSNR,p01_dPSNR,cvar5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,mean_dSSIM_proxy
O1_global_final_feature_ll,hard_bottom25,600,1.5912073707580567,1.069467544555664,0.00022468566894531233,0.0,0.0,2.2437428029378257,1.1421586354573567,0.95,0,0.0,150,0,0.0
O1_global_final_feature_ll,easy_top25,600,0.35902647018432615,0.1775665283203125,0.0007963180541992188,0.0,7.89642333984375e-05,0.35607129414876304,0.30869049072265625,0.96,0,0.0,150,0,0.0
O1_global_final_feature_ll,middle50,1200,0.7107908789316814,0.3624248504638672,0.003080558776855469,0.0,0.0007963816324869792,1.069931526184082,0.4159709803263346,0.975,0,0.0,300,0,0.0
O2_spatial_final_feature_ll_grid16,hard_bottom25,600,9.054140736262003,9.05441665649414,4.219272804260254,2.8667405700683593,3.420883305867513,9.813931312561035,7.871726150512695,1.0,0,0.0,150,0,0.0
O2_spatial_final_feature_ll_grid16,easy_top25,600,3.6835689544677734,3.4564075469970703,1.5881032943725586,1.1105529022216798,1.273865000406901,4.203339640299479,2.9047108205159504,1.0,0,0.0,150,0,0.0
O2_spatial_final_feature_ll_grid16,middle50,1200,5.952125425338745,5.697029113769531,2.5565088272094725,1.7667211151123048,2.0809979756673176,7.212131690979004,4.558321151733399,1.0,0,0.0,300,0,0.0
O3_final_feature_ll_grid16,hard_bottom25,600,9.054140736262003,9.05441665649414,4.219272804260254,2.8667405700683593,3.420883305867513,9.813931312561035,7.871726150512695,1.0,0,0.0,150,0,0.0
O3_final_feature_ll_grid16,easy_top25,600,3.6835689544677734,3.4564075469970703,1.5881032943725586,1.1105529022216798,1.273865000406901,4.203339640299479,2.9047108205159504,1.0,0,0.0,150,0,0.0
O3_final_feature_ll_grid16,middle50,1200,5.952125425338745,5.697029113769531,2.5565088272094725,1.7667211151123048,2.0809979756673176,7.212131690979004,4.558321151733399,1.0,0,0.0,300,0,0.0
O3_mid_feature_ll_grid8,hard_bottom25,600,7.623988707860311,7.711109161376953,3.495133399963379,2.3583007431030274,2.8334901173909506,8.273511695861817,6.703443120320638,1.0,0,0.0,150,0,0.0
O3_mid_feature_ll_grid8,easy_top25,600,3.1409213383992514,2.955343246459961,1.229060745239258,0.8716606903076172,0.9570265452067057,3.596854985555013,2.4326053110758465,1.0,0,0.0,150,0,0.0
O3_mid_feature_ll_grid8,middle50,1200,5.065845381418864,4.879142761230469,1.9026538848876953,1.3020832061767578,1.5530213038126628,6.236464729309082,3.8646000035603842,1.0,0,0.0,300,0,0.0
O3_mid_grid8_plus_final_grid16,hard_bottom25,600,10.08895165761312,10.375783920288086,5.516043663024902,3.3527829742431643,4.4452261606852215,11.366913503011068,8.74113894144694,1.0,0,0.0,150,0,0.0
O3_mid_grid8_plus_final_grid16,easy_top25,600,4.078034420013427,3.8766841888427734,1.6826379776000977,0.8089494705200195,1.164626693725586,4.6906909688313805,3.1479588317871094,1.0,0,0.0,150,0,0.0
O3_mid_grid8_plus_final_grid16,middle50,1200,6.581445379257202,6.388517379760742,2.8588401794433596,2.031436004638672,2.3413131713867186,7.9704427210489905,5.054450594584147,1.0,0,0.0,300,0,0.0
O4_rgb_ll_reference,hard_bottom25,600,18.939359436035158,18.902517318725586,14.272337532043457,12.415864562988281,13.207285690307618,21.731830444335937,16.86717170715332,1.0,0,0.0,150,0,0.0
O4_rgb_ll_reference,easy_top25,600,11.853744614919027,11.835596084594727,9.14661693572998,8.108692131042481,8.496247482299804,12.770437927246094,10.46724614461263,1.0,0,0.0,150,0,0.0
O4_rgb_ll_reference,middle50,1200,14.600836261113484,14.49087905883789,11.343679618835449,10.087944450378417,10.50875784556071,15.811571095784505,13.281856282552083,1.0,0,0.0,300,0,0.0
