checkpoint,mean_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,severe_count,severe_rate,strong_reference_regressions
Best,0.024596921602884927,-0.324660530090332,-0.19548625946044923,-0.2680160204569499,24,0.05,33
Final,0.03074689706166585,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,39,0.08125,42
model_10,0.03187673886617025,-0.41179397583007815,-0.26928462982177737,-0.3603386878967285,38,0.07916666666666666,40
model_15,0.019127825895945232,-0.29981849670410154,-0.2039102554321289,-0.2731042702992757,26,0.05416666666666667,32
model_20,0.03074689706166585,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,39,0.08125,42
model_5,0.08188924789428711,-0.7964680862426757,-0.4386688232421875,-0.6466185251871744,67,0.13958333333333334,48
