checkpoint,group,count,mean_dPSNR,mean_preserve_l1_to_a0,regressions_le_-0p05,severe_le_-0p20
Best,hard_bottom25,120,-0.008706283569335938,0.00039590283425544235,40,6
Best,easy_top25,120,0.042801984151204425,0.0003381689234326283,33,10
Best,strong_reference,120,0.042801984151204425,0.0003381689234326283,33,10
Final,hard_bottom25,120,-0.0055638313293457035,0.0004817449381031717,38,7
Final,easy_top25,120,0.05574855804443359,0.0005573187185897647,42,18
Final,strong_reference,120,0.05574855804443359,0.0005573187185897647,42,18
model_10,hard_bottom25,120,-0.007507642110188802,0.0005090844253572869,42,9
model_10,easy_top25,120,0.04138024648030599,0.0005146749024182403,40,17
model_10,strong_reference,120,0.04138024648030599,0.0005146749024182403,40,17
model_15,hard_bottom25,120,0.0018909613291422525,0.00042165994988560367,33,5
model_15,easy_top25,120,0.031675497690836586,0.00030326053650545266,32,11
model_15,strong_reference,120,0.031675497690836586,0.00030326053650545266,32,11
model_20,hard_bottom25,120,-0.0055638313293457035,0.0004817449381031717,38,7
model_20,easy_top25,120,0.05574855804443359,0.0005573187185897647,42,18
model_20,strong_reference,120,0.05574855804443359,0.0005573187185897647,42,18
model_5,hard_bottom25,120,0.1058865229288737,0.0008155085071242259,26,7
model_5,easy_top25,120,0.020994027455647785,0.0009182846998252596,48,33
model_5,strong_reference,120,0.020994027455647785,0.0009182846998252596,48,33
