checkpoint,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,severe_count,severe_rate,positive_ratio,strong_reference_count,strong_reference_regressions,mean_delta_final_l1_vs_a0,mean_delta_lowband_l1_vs_a0,mean_preserve_l1_to_a0,mean_image_action_l1,budget_activation_rate
Best,480,0.024596921602884927,0.014585494995117188,-0.324660530090332,-0.19548625946044923,-0.2680160204569499,-0.008706283569335938,0.042801984151204425,24,0.05,0.5541666666666667,120,33,-1.3158972918366392e-05,-2.8064008802175522e-05,0.00037266566593340634,0.00037266566593340634,0.0
Final,480,0.03074689706166585,0.027776718139648438,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,-0.0055638313293457035,0.05574855804443359,39,0.08125,0.5895833333333333,120,42,-2.616106454903881e-05,-5.559449249024813e-05,0.000516477295908165,0.000516477295908165,0.0
model_10,480,0.03187673886617025,0.02829742431640625,-0.41179397583007815,-0.26928462982177737,-0.3603386878967285,-0.007507642110188802,0.04138024648030599,38,0.07916666666666666,0.5875,120,40,-1.9045782391913235e-05,-4.043617906669776e-05,0.000510744236271421,0.000510744236271421,0.0
model_15,480,0.019127825895945232,0.015363693237304688,-0.29981849670410154,-0.2039102554321289,-0.2731042702992757,0.0018909613291422525,0.031675497690836586,26,0.05416666666666667,0.5583333333333333,120,32,-1.214543202271064e-05,-2.5480352633167058e-05,0.00035875388972878377,0.00035875388972878377,0.0
model_20,480,0.03074689706166585,0.027776718139648438,-0.45404773712158203,-0.26192169189453124,-0.37289969126383465,-0.0055638313293457035,0.05574855804443359,39,0.08125,0.5895833333333333,120,42,-2.616106454903881e-05,-5.559449249024813e-05,0.000516477295908165,0.000516477295908165,0.0
model_5,480,0.08188924789428711,0.11408615112304688,-0.7964680862426757,-0.4386688232421875,-0.6466185251871744,0.1058865229288737,0.020994027455647785,67,0.13958333333333334,0.6625,120,48,-0.00011008436898312842,-0.0002265149344263288,0.0008692071292292288,0.0008692071292292288,0.0
