checkpoint,count,mean_delta_final_l1_vs_a0,mean_delta_lowband_l1_vs_a0,mean_preserve_l1_to_a0,mean_image_action_l1,budget_activation_rate,tail_cvar5_dPSNR
Best,480,-1.3158972918366392e-05,-2.8064008802175522e-05,0.00037266566593340634,0.00037266566593340634,0.0,-0.2680160204569499
Final,480,-2.616106454903881e-05,-5.559449249024813e-05,0.000516477295908165,0.000516477295908165,0.0,-0.37289969126383465
model_10,480,-1.9045782391913235e-05,-4.043617906669776e-05,0.000510744236271421,0.000510744236271421,0.0,-0.3603386878967285
model_15,480,-1.214543202271064e-05,-2.5480352633167058e-05,0.00035875388972878377,0.00035875388972878377,0.0,-0.2731042702992757
model_20,480,-2.616106454903881e-05,-5.559449249024813e-05,0.000516477295908165,0.000516477295908165,0.0,-0.37289969126383465
model_5,480,-0.00011008436898312842,-0.0002265149344263288,0.0008692071292292288,0.0008692071292292288,0.0,-0.6466185251871744
