checkpoint_a,checkpoint_b,count_a,count_b,intersection,union,jaccard,a_in_b_ratio,b_in_a_ratio
model_5,model_5,67,67,67,67,1.0,1.0,1.0
model_5,model_10,67,38,26,79,0.3291139240506329,0.3880597014925373,0.6842105263157895
model_5,model_15,67,26,14,79,0.17721518987341772,0.208955223880597,0.5384615384615384
model_5,model_20,67,39,27,79,0.34177215189873417,0.40298507462686567,0.6923076923076923
model_5,Best,67,24,16,75,0.21333333333333335,0.23880597014925373,0.6666666666666666
model_5,Final,67,39,27,79,0.34177215189873417,0.40298507462686567,0.6923076923076923
model_10,model_5,38,67,26,79,0.3291139240506329,0.6842105263157895,0.3880597014925373
model_10,model_10,38,38,38,38,1.0,1.0,1.0
model_10,model_15,38,26,12,52,0.23076923076923078,0.3157894736842105,0.46153846153846156
model_10,model_20,38,39,22,55,0.4,0.5789473684210527,0.5641025641025641
model_10,Best,38,24,18,44,0.4090909090909091,0.47368421052631576,0.75
model_10,Final,38,39,22,55,0.4,0.5789473684210527,0.5641025641025641
model_15,model_5,26,67,14,79,0.17721518987341772,0.5384615384615384,0.208955223880597
model_15,model_10,26,38,12,52,0.23076923076923078,0.46153846153846156,0.3157894736842105
model_15,model_15,26,26,26,26,1.0,1.0,1.0
model_15,model_20,26,39,15,50,0.3,0.5769230769230769,0.38461538461538464
model_15,Best,26,24,13,37,0.35135135135135137,0.5,0.5416666666666666
model_15,Final,26,39,15,50,0.3,0.5769230769230769,0.38461538461538464
model_20,model_5,39,67,27,79,0.34177215189873417,0.6923076923076923,0.40298507462686567
model_20,model_10,39,38,22,55,0.4,0.5641025641025641,0.5789473684210527
model_20,model_15,39,26,15,50,0.3,0.38461538461538464,0.5769230769230769
model_20,model_20,39,39,39,39,1.0,1.0,1.0
model_20,Best,39,24,14,49,0.2857142857142857,0.358974358974359,0.5833333333333334
model_20,Final,39,39,39,39,1.0,1.0,1.0
Best,model_5,24,67,16,75,0.21333333333333335,0.6666666666666666,0.23880597014925373
Best,model_10,24,38,18,44,0.4090909090909091,0.75,0.47368421052631576
Best,model_15,24,26,13,37,0.35135135135135137,0.5416666666666666,0.5
Best,model_20,24,39,14,49,0.2857142857142857,0.5833333333333334,0.358974358974359
Best,Best,24,24,24,24,1.0,1.0,1.0
Best,Final,24,39,14,49,0.2857142857142857,0.5833333333333334,0.358974358974359
Final,model_5,39,67,27,79,0.34177215189873417,0.6923076923076923,0.40298507462686567
Final,model_10,39,38,22,55,0.4,0.5641025641025641,0.5789473684210527
Final,model_15,39,26,15,50,0.3,0.38461538461538464,0.5769230769230769
Final,model_20,39,39,39,39,1.0,1.0,1.0
Final,Best,39,24,14,49,0.2857142857142857,0.358974358974359,0.5833333333333334
Final,Final,39,39,39,39,1.0,1.0,1.0
