variant,scope,count,mean_dPSNR,median_dPSNR,p05_dPSNR,p01_dPSNR,cvar5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,mean_dSSIM_proxy
O1_global_final_feature_ll,fold0,480,0.7514970580736796,0.3875236511230469,0.0013509750366210937,0.0,0.00019772847493489584,1.3738527456919352,0.37781219482421874,0.9645833333333333,0,0.0,120,0,0.0
O1_global_final_feature_ll,fold1,480,0.948429811000824,0.39812660217285156,0.003324127197265625,0.0,0.000896453857421875,1.8323198159535725,0.3756155331929525,0.975,0,0.0,120,0,0.0
O1_global_final_feature_ll,fold2,480,0.8911226232846577,0.4235420227050781,0.001462554931640625,0.0,0.0001964569091796875,1.7798258622487386,0.3337148984273275,0.9645833333333333,0,0.0,120,0,0.0
O1_global_final_feature_ll,fold3,480,0.7814071774482727,0.37726402282714844,0.001738929748535156,0.0,9.870529174804688e-05,1.2998863379160563,0.3826562563578288,0.95625,0,0.0,120,0,0.0
O1_global_final_feature_ll,fold4,480,0.8423128286997478,0.3912944793701172,0.0028173446655273436,0.0,0.0003479321797688802,1.6740251859029134,0.3255012512207031,0.9645833333333333,0,0.0,120,0,0.0
O2_spatial_final_feature_ll_grid16,fold0,480,6.069873046875,5.6660308837890625,2.080477714538574,1.4705999374389649,1.6576916376749675,8.966465123494466,3.8182741165161134,1.0,0,0.0,120,0,0.0
O2_spatial_final_feature_ll_grid16,fold1,480,6.176469222704569,5.642845153808594,2.038869857788086,1.536814079284668,1.699856122334798,9.118686040242514,3.7239867210388184,1.0,0,0.0,120,0,0.0
O2_spatial_final_feature_ll_grid16,fold2,480,6.195544489224752,5.638265609741211,2.2228618621826173,1.6642340087890626,1.8367336591084797,9.434572505950928,3.4601470947265627,1.0,0,0.0,120,0,0.0
O2_spatial_final_feature_ll_grid16,fold3,480,6.158534185091654,5.737834930419922,2.3263195037841795,1.6158235549926758,1.8408239682515461,8.695901616414387,3.8543046951293944,1.0,0,0.0,120,0,0.0
O2_spatial_final_feature_ll_grid16,fold4,480,6.202029732863108,5.794221878051758,2.20020751953125,1.359237289428711,1.625908374786377,9.065706650416056,3.6925775527954103,1.0,0,0.0,120,0,0.0
O3_final_feature_ll_grid16,fold0,480,6.069873046875,5.6660308837890625,2.080477714538574,1.4705999374389649,1.6576916376749675,8.966465123494466,3.8182741165161134,1.0,0,0.0,120,0,0.0
O3_final_feature_ll_grid16,fold1,480,6.176469222704569,5.642845153808594,2.038869857788086,1.536814079284668,1.699856122334798,9.118686040242514,3.7239867210388184,1.0,0,0.0,120,0,0.0
O3_final_feature_ll_grid16,fold2,480,6.195544489224752,5.638265609741211,2.2228618621826173,1.6642340087890626,1.8367336591084797,9.434572505950928,3.4601470947265627,1.0,0,0.0,120,0,0.0
O3_final_feature_ll_grid16,fold3,480,6.158534185091654,5.737834930419922,2.3263195037841795,1.6158235549926758,1.8408239682515461,8.695901616414387,3.8543046951293944,1.0,0,0.0,120,0,0.0
O3_final_feature_ll_grid16,fold4,480,6.202029732863108,5.794221878051758,2.20020751953125,1.359237289428711,1.625908374786377,9.065706650416056,3.6925775527954103,1.0,0,0.0,120,0,0.0
O3_mid_feature_ll_grid8,fold0,480,5.161847301324209,4.735956192016602,1.6413095474243165,1.1972242736816405,1.3255939483642578,7.613478072484335,3.278985595703125,1.0,0,0.0,120,0,0.0
O3_mid_feature_ll_grid8,fold1,480,5.2637640277544655,4.92082405090332,1.5938922882080078,1.0800390625,1.2203370730082195,7.75868182182312,3.1683430353800457,1.0,0,0.0,120,0,0.0
O3_mid_feature_ll_grid8,fold2,480,5.245127518971761,4.667932510375977,1.5849592208862304,1.1387267684936524,1.3271980285644531,7.8891172726949055,2.96532564163208,1.0,0,0.0,120,0,0.0
O3_mid_feature_ll_grid8,fold3,480,5.2085116624832155,4.973522186279297,1.792399787902832,1.2953928756713866,1.421139399210612,7.319198926289876,3.2552367210388184,1.0,0,0.0,120,0,0.0
O3_mid_feature_ll_grid8,fold4,480,5.241500500837962,4.835002899169922,1.659170150756836,1.0614600372314453,1.2066280047098796,7.493287515640259,3.1502923011779784,1.0,0,0.0,120,0,0.0
O3_mid_grid8_plus_final_grid16,fold0,480,6.729858354727427,6.263675689697266,2.2965330123901366,1.6941325378417968,1.7867800394694011,9.996071608861287,4.2467351913452145,1.0,0,0.0,120,0,0.0
O3_mid_grid8_plus_final_grid16,fold1,480,6.799113233884175,6.347808837890625,2.2979692459106444,1.54693359375,1.755345344543457,10.047492949167887,4.076884301503499,1.0,0,0.0,120,0,0.0
O3_mid_grid8_plus_final_grid16,fold2,480,6.823651711146037,6.395998001098633,2.3190004348754885,1.7420389556884766,1.9075700441996257,10.288903331756591,3.894644006093343,1.0,0,0.0,120,0,0.0
O3_mid_grid8_plus_final_grid16,fold3,480,6.879509385426839,6.648853302001953,2.6044206619262695,1.7418042373657228,2.006442070007324,9.829795455932617,4.261580181121826,1.0,0,0.0,120,0,0.0
O3_mid_grid8_plus_final_grid16,fold4,480,6.9302133599917095,6.514566421508789,2.277459907531738,1.1641186904907226,1.6287500063578289,10.268675502141317,4.0835268020629885,1.0,0,0.0,120,0,0.0
O4_rgb_ll_reference,fold0,480,14.869954391320546,14.39870834350586,10.207760429382324,8.998596839904785,9.46953296661377,18.75996584892273,11.973283704121908,1.0,0,0.0,120,0,0.0
O4_rgb_ll_reference,fold1,480,14.911292815208435,14.49934196472168,10.21055793762207,8.513658142089843,9.310586293538412,18.735009511311848,11.807932345072429,1.0,0,0.0,120,0,0.0
