candidate,selector_type,feature_group,deployable,outer_fold,target,roc_auc,pr_auc,brier_score,ece,positive_count,eval_count,top_features
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,0,severe_regression,0.5979492270772679,0.2048138346209805,0.2243301969892892,0.34780255285151185,206,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,0,strong_regression,0.5550777934936351,0.34992475506970433,0.24405896852743034,0.21076044388882165,505,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,0,ssim_regression,0.508311194182996,0.36900756771558446,0.2486349654071442,0.1612897733121435,602,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,0,good_action,0.5173451836632386,0.5030014244460174,0.24971868858140112,0.014589762628290592,889,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,0,severe_regression,0.5615597324919906,0.5883598420876611,0.10031146215661209,0.00520921105107669,206,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,0,strong_regression,0.5393707710539394,0.44845747379850887,0.2011800279848617,0.008604718260507245,505,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,0,ssim_regression,0.5240641933676837,0.6056700618450946,0.22330705692130842,0.03320782896867469,602,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,0,good_action,0.5115295000858153,0.7618875771895194,0.24978205562805073,0.027613210995148855,889,1800,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,0,severe_regression,0.6148237931076488,0.17454877410081143,0.221300819704758,0.335286979282153,206,1800,input_brightness_mean;airlight_fallback_mean;depth_mean;input_texture_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,0,strong_regression,0.5673213807867273,0.3376498930866481,0.2435387284972109,0.2078404339656926,505,1800,input_brightness_mean;airlight_fallback_mean;depth_mean;input_texture_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,0,ssim_regression,0.5443679665444623,0.38358587732329574,0.24680043743274704,0.16010328416689543,602,1800,input_brightness_mean;airlight_fallback_mean;depth_mean;input_texture_mean;depth_std
