variant,outer_fold,selector_type,feature_group,deployable,coverage_target,threshold,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,false_reject_good_count,false_accept_severe_count,selected_group_counts,backend,calibration_fold,model_train_count,calibration_count,eval_count,top_features
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,1.0,16.60466165304184,9000,9000,1.0,0.06299188666873508,0.05175820117526584,0.05457704501681858,-2.26196911599901e-05,0.6362222222222222,0.6362222222222222,42.76437759399414,699,2469,164.6,928,61.86666666666667,0.06592284785376655,0.0511360445022583,0.05559266270531548,0,928,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 928}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.99,0.5491258839368821,9000,8910,0.99,0.07220148616366916,0.0640127690633138,0.06882397291395399,1.5183455414242215e-05,0.6362222222222222,0.642648709315376,42.76437759399414,651,2379,158.6,838,55.86666666666667,0.06842681588066948,0.05288100666469998,0.05744698058234321,0,838,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 838}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.98,0.440776400017739,9000,8820,0.98,0.07703402370876736,0.06616694810655382,0.07847028435601129,1.5695313612620036e-05,0.6362222222222222,0.6492063492063492,42.76437759399414,606,2289,152.6,748,49.86666666666667,0.07067088254292805,0.05429850345187717,0.058987389458550345,0,748,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 748}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.97,0.37938483566045783,9000,8730,0.97,0.08112655067443848,0.06942672983805338,0.08427222696940104,1.6406847370995415e-05,0.6362222222222222,0.6558991981672394,42.76437759399414,574,2199,146.6,658,43.86666666666667,0.07228873125712076,0.05533227072821723,0.06010341771443685,0,658,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 658}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.96,0.33689367699623124,9000,8640,0.96,0.08469298447502983,0.07193605804443359,0.08932523261176216,1.6974118020799426e-05,0.6362222222222222,0.6627314814814815,42.76437759399414,542,2109,140.6,568,37.86666666666667,0.07380148845248752,0.056235867818196617,0.06115123833550347,0,568,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 568}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.95,0.3061532520651817,9000,8550,0.95,0.08792178069220649,0.07380614980061849,0.09275671725802952,1.7363263501061333e-05,0.6362222222222222,0.6697076023391813,42.76437759399414,518,2019,134.6,478,31.866666666666667,0.0752303532494439,0.05709429931640625,0.06199770058525933,0,478,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 478}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.94,0.2790416464567184,9000,8460,0.94,0.09084645144144694,0.07601659901936848,0.09652839660644531,1.78070863087972e-05,0.6362222222222222,0.6768321513002364,42.76437759399414,489,1929,128.6,388,25.866666666666667,0.07653092702229818,0.057902164883083765,0.06284214613172744,0,388,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 388}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.93,0.2600832699894905,9000,8370,0.93,0.09353750483194986,0.07852728101942275,0.10022847323947483,1.842433214187622e-05,0.6362222222222222,0.6841099163679809,42.76437759399414,458,1839,122.6,298,19.866666666666667,0.07754307047526042,0.058545919842190215,0.06353307215372721,0,298,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 298}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.92,0.2373992468833923,9000,8280,0.92,0.09602037027147081,0.08094456227620443,0.10310248141818576,1.8804695871141222e-05,0.6362222222222222,0.6915458937198068,42.76437759399414,432,1749,116.6,208,13.866666666666667,0.0783696166144477,0.05910657776726617,0.06423882865905761,0,208,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 208}",,,,,,
l3_fdf_lite_s004_g015_bm2,all_oof_oracle,oracle,oracle_dpsnr_leak,False,0.9,0.20453088045120243,9000,8100,0.9,0.10043494033813477,0.08535472276475695,0.1068353746202257,1.969640122519599e-05,0.6362222222222222,0.7069135802469135,42.76437759399414,394,1569,104.6,28,1.8666666666666667,0.07996246655782063,0.06018003887600369,0.06548608250088161,0,28,"{""gain"": 4156, ""neutral"": 542, ""ssim_regression"": 1833, ""strong_regression"": 1541, ""worst_regression"": 28}",,,,,,
