candidate,outer_fold,selector_type,feature_group,risk_bin,count,risk_score_min,risk_score_max,predicted_severe_rate_proxy,observed_severe_rate,observed_strong_rate,observed_positive_rate,mean_dPSNR
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,0,180,0.077401412272329,0.33162250072492105,0.2659484753252874,0.011111111111111112,0.1,0.8333333333333334,0.1408122804429796
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,1,180,0.33167641086729366,0.4170640242584129,0.3761566176642162,0.1,0.25,0.6777777777777778,0.07216913435194228
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,2,180,0.41708756757531756,0.4819432264395225,0.4490890797784387,0.15555555555555556,0.31666666666666665,0.5777777777777777,0.037798160976833764
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,3,180,0.4821387331220982,0.541163712998434,0.5138172233096596,0.15,0.28888888888888886,0.6,0.04456879297892253
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,4,180,0.5412281193040198,0.5942972545193869,0.5667568920981317,0.10555555555555556,0.28888888888888886,0.6277777777777778,0.07362712224324544
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,5,180,0.5944755837806105,0.6591489243466089,0.6284033178984261,0.08333333333333333,0.23333333333333334,0.6722222222222223,0.08965524037679036
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,6,180,0.6595540728703262,0.7259931898336975,0.6927453984635997,0.14444444444444443,0.3111111111111111,0.5777777777777777,0.07008585400051541
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,7,180,0.7266202236071603,0.8141618023504281,0.7696238195011605,0.14444444444444443,0.29444444444444445,0.6444444444444445,0.07619287702772352
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,8,180,0.8158727440745591,0.9291510570926509,0.8688026580977941,0.20555555555555555,0.36666666666666664,0.5666666666666667,0.03888402514987522
l1_fdf_lite_s004_g025_bm2,0,logistic,deployable_all,9,180,0.9298831827620628,1.3437850449682234,1.0598215166191103,0.2722222222222222,0.37777777777777777,0.5555555555555556,0.031156476338704428
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,0,180,0.2004135887482097,0.40246470058632616,0.3409293077034781,0.027777777777777776,0.1,0.8277777777777777,0.16991646024915907
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,1,180,0.4025480588798229,0.47766939294769095,0.44144679345671406,0.09444444444444444,0.2388888888888889,0.6722222222222223,0.08641483518812391
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,2,180,0.4782917186312395,0.5309802934916277,0.5038666757474443,0.10555555555555556,0.2611111111111111,0.65,0.06007262335883246
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,3,180,0.5315241265438728,0.5924006859977969,0.5619288460602395,0.07222222222222222,0.20555555555555555,0.7388888888888889,0.09687528610229493
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,4,180,0.5926721830533755,0.6478966562629254,0.6222439563695101,0.1111111111111111,0.2111111111111111,0.6944444444444444,0.11612713072035048
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,5,180,0.6480000150154028,0.7108514559888385,0.6818445887666912,0.17777777777777778,0.29444444444444445,0.6388888888888888,0.05339544084337022
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,6,180,0.7110428561947756,0.7729553184516326,0.7436242564983648,0.20555555555555555,0.38333333333333336,0.5388888888888889,0.02736003663804796
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,7,180,0.772975163713696,0.8401575863556441,0.806850552050722,0.16666666666666666,0.3333333333333333,0.5722222222222222,0.09406880272759331
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,8,180,0.8403600826100511,0.9431772370644339,0.8858917829036385,0.2611111111111111,0.4222222222222222,0.5388888888888889,0.0210857179429796
l1_fdf_lite_s004_g025_bm2,1,logistic,deployable_all,9,180,0.9432513324004228,1.2624235103539505,1.0501238453289168,0.24444444444444444,0.46111111111111114,0.4722222222222222,0.026836140950520834
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,0,180,-0.07658239666748265,0.4291646815622766,0.36567492507958416,0.027777777777777776,0.15555555555555556,0.7277777777777777,0.07044414944118924
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,1,180,0.4293282373845698,0.504089489605875,0.4673480625265939,0.044444444444444446,0.16666666666666666,0.7333333333333333,0.12038202285766601
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,2,180,0.5042566428190622,0.5677978544020515,0.5381082346506465,0.05555555555555555,0.18888888888888888,0.7222222222222222,0.09267563290066189
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,3,180,0.5683460298545757,0.6303605459889687,0.5987723427635772,0.05555555555555555,0.2611111111111111,0.6722222222222223,0.10443425708346897
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,4,180,0.630554323729074,0.6861007263223389,0.6602322928786126,0.07777777777777778,0.28888888888888886,0.6166666666666667,0.0809562259250217
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,5,180,0.686159669325857,0.7400182882826253,0.7150151259301892,0.08333333333333333,0.25555555555555554,0.6444444444444445,0.10725609461466472
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,6,180,0.7401096494800745,0.795725426523508,0.7665329668152718,0.06111111111111111,0.2111111111111111,0.6833333333333333,0.14241744147406685
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,7,180,0.7960948034647047,0.8605023513962636,0.8266445571436041,0.16666666666666666,0.3111111111111111,0.6,0.09905562930636935
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,8,180,0.8605785244285962,0.9504184055579957,0.9051384514853776,0.25555555555555554,0.42777777777777776,0.5222222222222223,0.03169568379720052
l1_fdf_lite_s004_g025_bm2,2,logistic,deployable_all,9,180,0.9505360732231442,1.549999999994527,1.0523640157308256,0.3055555555555556,0.5166666666666667,0.42777777777777776,-0.16242105695936415
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,0,180,0.11199234615951836,0.35532157334888664,0.2832651750100946,0.011111111111111112,0.16111111111111112,0.6833333333333333,0.06812951829698351
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,1,180,0.3558132200628955,0.43277384995642376,0.39543129644807323,0.06666666666666667,0.24444444444444444,0.6666666666666666,0.08348988427056206
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,2,180,0.4342800825245098,0.507059379103254,0.47155459156877216,0.08333333333333333,0.32222222222222224,0.6166666666666667,0.05865854687160916
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,3,180,0.5070942526650749,0.5740209694082653,0.542572356059284,0.05,0.20555555555555555,0.6666666666666666,0.09197439617580838
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,4,180,0.5740900939135991,0.6377256124413977,0.6052572779809934,0.07777777777777778,0.2388888888888889,0.6833333333333333,0.10364056693183052
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,5,180,0.637941512181142,0.7030787265506314,0.6719507974506387,0.09444444444444444,0.31666666666666665,0.6,0.07591763602362739
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,6,180,0.7034297084431481,0.77593294747453,0.7370868354393821,0.15555555555555556,0.37777777777777777,0.55,0.0439612070719401
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,7,180,0.7767152984678651,0.8582352911177966,0.816827531548623,0.13333333333333333,0.31666666666666665,0.6222222222222222,0.0790077527364095
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,8,180,0.8594076045160145,0.9606523534898354,0.905372184209008,0.15555555555555556,0.35555555555555557,0.6,0.07622764375474718
l1_fdf_lite_s004_g025_bm2,3,logistic,deployable_all,9,180,0.9615611046236223,1.3019485028086564,1.0667502900171533,0.3055555555555556,0.5166666666666667,0.45,-0.024916320376926
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,0,180,0.12989998120291132,0.3446759313389819,0.28120749251958504,0.022222222222222223,0.1388888888888889,0.75,0.10358266830444336
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,1,180,0.3450131006728375,0.4249360561321327,0.38903979657317683,0.1,0.2222222222222222,0.6777777777777778,0.08726872338189019
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,2,180,0.4255745745268048,0.48273281919885835,0.45268343592920957,0.05,0.16111111111111112,0.75,0.12810775968763563
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,3,180,0.48361484464218474,0.5497470729906554,0.5199458726475011,0.08333333333333333,0.23333333333333334,0.7055555555555556,0.07684475580851237
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,4,180,0.5498061243985921,0.6048723431822438,0.5769403351365187,0.08888888888888889,0.21666666666666667,0.6555555555555556,0.1042451646592882
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,5,180,0.6048907183195276,0.6611779017473854,0.6331825126518918,0.1,0.23333333333333334,0.7,0.09129824108547635
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,6,180,0.6617246760937182,0.7280201352736506,0.6928750942625318,0.1111111111111111,0.2777777777777778,0.6444444444444445,0.089719910091824
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,7,180,0.7286473191564173,0.7977488280755116,0.7607939046293846,0.14444444444444443,0.32222222222222224,0.6166666666666667,0.062168640560574
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,8,180,0.7984110262440641,0.9036502570105654,0.8442271273379182,0.15,0.31666666666666665,0.6166666666666667,0.08484143151177301
l1_fdf_lite_s004_g025_bm2,4,logistic,deployable_all,9,180,0.9051907236550173,1.3153455359576876,1.01465168256326,0.16111111111111112,0.3611111111111111,0.5833333333333334,0.050212160746256514
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,0,180,0.08230976260776127,0.32977806961340367,0.26184607365933843,0.03333333333333333,0.10555555555555556,0.8055555555555556,0.10643267101711697
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,1,180,0.33023339449252564,0.41350819675272554,0.3741155429320779,0.1,0.25,0.65,0.043329906463623044
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,2,180,0.41388679815481483,0.48336186180326257,0.4502145880275051,0.08333333333333333,0.2777777777777778,0.6166666666666667,0.040852896372477215
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,3,180,0.4834552361809865,0.5385181027658374,0.510230046793959,0.06666666666666667,0.2833333333333333,0.6111111111111112,0.04966535568237305
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,4,180,0.538916833864417,0.6018566893176274,0.5677658262576295,0.1,0.2777777777777778,0.6111111111111112,0.0464395629035102
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,5,180,0.6026781406157575,0.666510974936676,0.6323346256382215,0.07777777777777778,0.2777777777777778,0.6388888888888888,0.04885658688015408
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,6,180,0.6667568010313105,0.739771255334147,0.7044994463672327,0.07222222222222222,0.29444444444444445,0.5888888888888889,0.04283882776896159
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,7,180,0.7405685303199031,0.8228677473916828,0.7813757976825336,0.1388888888888889,0.25555555555555554,0.6277777777777778,0.04719300799899631
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,8,180,0.8232050573237345,0.9437836931325566,0.8838934974233041,0.15555555555555556,0.36666666666666664,0.5388888888888889,0.015406915876600478
l2_fdf_lite_s002_g025_bm2,0,logistic,deployable_all,9,180,0.9442834528537181,1.3620344624599952,1.0644999288079413,0.16666666666666666,0.35555555555555557,0.5611111111111111,0.025641971164279513
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,0,180,0.12825024780095862,0.3577383825414939,0.3013908969326371,0.06111111111111111,0.17222222222222222,0.7555555555555555,0.10287539164225261
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,1,180,0.3589893999371877,0.42715280666218314,0.3960475138430101,0.07222222222222222,0.22777777777777777,0.6722222222222223,0.04941838582356771
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,2,180,0.42719052488174747,0.4943283297578478,0.45997527861114107,0.03888888888888889,0.2388888888888889,0.6666666666666666,0.07286550733778212
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,3,180,0.49448011266794795,0.5500445912579852,0.5206394495040876,0.06666666666666667,0.19444444444444445,0.6777777777777778,0.06251594755384657
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,4,180,0.5504497382943372,0.6073325493253855,0.5766910493184304,0.1,0.2222222222222222,0.6944444444444444,0.06800951427883573
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,5,180,0.6075950857129823,0.6695008819242462,0.6397839218975191,0.12777777777777777,0.3,0.6,0.03529531690809462
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,6,180,0.6700438082595793,0.736419278497884,0.7037316136883117,0.10555555555555556,0.26666666666666666,0.6166666666666667,0.061833296881781685
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,7,180,0.7367242884410021,0.8019884847571134,0.7691362188621272,0.13333333333333333,0.3111111111111111,0.5611111111111111,0.03666952980889215
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,8,180,0.8022430537742344,0.9156554370303458,0.8552594819885043,0.13333333333333333,0.3277777777777778,0.5666666666666667,0.05556890699598524
l2_fdf_lite_s002_g025_bm2,1,logistic,deployable_all,9,180,0.9172855870952984,1.2667555988322186,1.0290047787778511,0.16666666666666666,0.4166666666666667,0.45,0.00511163075764974
l2_fdf_lite_s002_g025_bm2,2,logistic,deployable_all,0,180,0.25616372647104024,0.44861775248299324,0.383397380579845,0.027777777777777776,0.16111111111111112,0.7333333333333333,0.08628889719645182
l2_fdf_lite_s002_g025_bm2,2,logistic,deployable_all,1,180,0.44879326283478,0.5146955606702129,0.48180101469143327,0.016666666666666666,0.14444444444444443,0.7333333333333333,0.07373268339369032
l2_fdf_lite_s002_g025_bm2,2,logistic,deployable_all,2,180,0.5151395200818292,0.5809179994622012,0.5506919645411067,0.044444444444444446,0.2777777777777778,0.6388888888888888,0.050708399878607854
