cell,epoch,phase,updates,render,anchor,harm,margin,repair,delta_abs,total,cvar,gradient_norm
output_safety_curriculum,1,render_warmup,8,0.0003220874186808942,1.5066916603245772e-09,2.91086507786531e-07,2.270540022664136e-06,0.0016785728294053115,1.5696056493652577e-05,0.0003220874186808942,0.0,8.042550859954645e-06
output_safety_curriculum,2,render_warmup,8,0.0003219770260329824,6.000163921271451e-09,3.027627144547296e-07,2.3124601895574415e-06,0.005731087119784206,5.358994576454279e-05,0.0003219770260329824,0.0,8.14210608268695e-06
output_safety_curriculum,3,render_warmup,8,0.0003218354358978104,1.1748056749638636e-08,3.1756610496813664e-07,2.365793591252441e-06,0.01085943728685379,0.00010153915718547069,0.0003218354358978104,0.0,8.446171818832227e-06
output_safety_curriculum,4,render_warmup,8,0.0003216314344172133,2.0156221580691636e-08,3.3900550988619216e-07,2.442656381163033e-06,0.018184332875534892,0.00017002071035676636,0.0003216314344172133,0.0,9.2281219394863e-06
output_safety_curriculum,5,render_warmup,8,0.00032131504849530756,3.585284957807744e-08,3.730340267793508e-07,2.5636092217951045e-06,0.029532118933275342,0.00027610696270130575,0.00032131504849530756,0.0,1.1039923037969857e-05
output_safety_curriculum,6,render_warmup,8,0.00032081411700346507,6.356913218041882e-08,4.2998362914659083e-07,2.761957972552409e-06,0.047722474206238985,0.00044615605656872503,0.00032081411700346507,0.0,1.4347208548315393e-05
output_safety_curriculum,7,render_warmup,8,0.0003200602004653774,1.0857263532670913e-07,5.240628979663597e-07,3.0773821038110327e-06,0.07592247147113085,0.0007097770139807835,0.0003200602004653774,0.0,1.8768958966575156e-05
output_safety_curriculum,8,render_warmup,8,0.00031903407762001734,1.7309230315731838e-07,6.716701363984612e-07,3.5408393728175724e-06,0.11618604976683855,0.0010861877162824385,0.00031903407762001734,0.0,2.3026730559649877e-05
output_safety_curriculum,9,safety_phase,8,0.0003190492370777065,2.0106051579205086e-07,7.485783726224327e-07,3.677800606283199e-06,0.1257776152342558,0.0011757607135223225,0.00045996041808393784,2.537969976401655e-06,0.0006696768423353205
output_safety_curriculum,10,safety_phase,8,0.0003201227173121879,1.242291318703792e-07,5.666126980941044e-07,3.1384243257548405e-06,0.08038725797086954,0.0007512105003115721,0.0004285683880880242,1.9423605408519506e-06,0.00048451434759044787
output_safety_curriculum,11,safety_phase,8,0.00032096098220790736,6.545167252625106e-08,4.373124511403148e-07,2.743685051598277e-06,0.04573844885453582,0.0004272179285180755,0.0004053988632222172,1.5002410691522527e-06,0.00032806182571221143
output_safety_curriculum,12,safety_phase,8,0.00032149951948667876,3.0900650926923845e-08,3.622741360231885e-07,2.507757891123674e-06,0.024268123554065824,0.00022650245955446735,0.0003919216887879884,1.2427722140273545e-06,0.00022459505908045685
output_safety_curriculum,13,safety_phase,8,0.00032184238443733193,1.2187456377432682e-08,3.18772322316363e-07,2.366170164691539e-06,0.011021145503036678,0.00010269216136293835,0.0003843758095172234,1.0990374903485645e-06,0.00018160549461754272
output_safety_curriculum,14,safety_phase,8,0.000322085263178451,5.7544866649550386e-09,2.899867013184121e-07,2.269464360438178e-06,0.0035634897649288177,3.321369126751961e-05,0.0003795655065914616,1.0040139386546798e-06,0.0001861418604676146
output_safety_curriculum,15,safety_phase,8,0.0003222213163098786,5.236825018073432e-08,2.7261057766736485e-07,2.213046329302415e-06,0.004011808370705694,3.774333163164556e-05,0.0003781969462579582,9.471787052461877e-07,0.00014297067718871403
output_safety_curriculum,16,safety_phase,8,0.0003222722116333898,8.28872543934267e-08,2.650151600391837e-07,2.189220126069813e-06,0.005871534114703536,5.5249645811272785e-05,0.00037788811459904537,9.220721040037461e-07,0.00013531502099795034
