split,beta,independent_scenes,true_rmse_median,true_rmse_q95,permuted_rmse_median,negative_control_improvement_median
definition,0.04,375,0.002172457928175038,0.0026818281543253314,0.017307427005671186,0.015143526677785728
definition,0.06,375,0.0022017442220532758,0.0027855779048021135,0.02444194292764235,0.02202963502650361
definition,0.08,375,0.0022185814021932248,0.002855764410603073,0.03060355066237131,0.02798213136495143
definition,0.10,375,0.002262707454660719,0.0030082708280686748,0.03586498827362219,0.03318117722785652
definition,0.12,375,0.002302714902385005,0.0031703370450673327,0.04028772080399988,0.037623799935928424
definition,0.16,375,0.002373607304485677,0.0034491024754366496,0.047218621654402285,0.044753413062935656
definition,0.20,375,0.0024066333100750932,0.0036210512499497208,0.05218843221975819,0.04971132073165329
validation,0.04,625,0.002170614217554972,0.00265067649952353,0.016937782691344064,0.014762359519567891
validation,0.06,625,0.002205338134672841,0.0027347182556483156,0.023789313895959653,0.021493140547539445
validation,0.08,625,0.002235799998773087,0.002913785531191709,0.02984229868522091,0.027463217191741558
validation,0.10,625,0.002270401424675664,0.003000031868071923,0.0351760338986527,0.032738716180348154
validation,0.12,625,0.002310512840628686,0.0031937440681800567,0.039724746717240376,0.03727750022594822
validation,0.16,625,0.00236412395358014,0.003433021510206692,0.046807498118031615,0.04416364307144871
validation,0.20,625,0.002398532688165986,0.0035947842151372623,0.05179590938643378,0.04854493856679799
