phase,fold,step,loss,train_auc
fold,0,200,0.02421654760837555,0.9999211720327646
fold,0,400,0.006837259512394667,1.0
fold,0,600,0.002923289081081748,1.0
fold,0,800,0.0017524219583719969,1.0
fold,1,200,0.025804772973060608,0.9999478978520021
fold,1,400,0.00813902635127306,0.9999930530469336
fold,1,600,0.004123604856431484,1.0
fold,1,800,0.002094696741551161,1.0
fold,2,200,0.024278365075588226,0.9999674616483232
fold,2,400,0.007240033708512783,0.9999988379160115
fold,2,600,0.0035835611633956432,1.0
fold,2,800,0.002166708465665579,1.0
fold,3,200,0.025652531534433365,0.9999128251621452
fold,3,400,0.008219624869525433,0.9999988376688286
fold,3,600,0.0036907910834997892,1.0
fold,3,800,0.002005687914788723,1.0
fold,4,200,0.02639910951256752,0.9998099357258253
fold,4,400,0.008116851560771465,0.999998841071499
fold,4,600,0.003609884763136506,1.0
fold,4,800,0.002008512383326888,1.0
final,,200,0.02580040507018566,0.9998849376733359
final,,400,0.007843936793506145,0.9999985153248172
final,,600,0.0033783596009016037,1.0
final,,800,0.0019352182280272245,1.0
