stage,scope,mode,seed,fold,run_id,common_count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,worst10_mean_psnr_delta,best10_mean_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,t_l1_mean,spearman_tpred_tgt_mean,spearman_depth_neglogt_mean,stage2_gate_mean_mean,stage3_gate_mean_mean,confidence_mean_mean
oof20,adapter_only,invert,3407,0,oof20_adapter_only_invert_seed3407_f0,600,0.1068943977355957,0.09443283081054688,-0.4483211517333984,0.8098583221435546,0.09915964762369792,0.0910808817545573,-0.5312679290771485,0.8299184799194336,-0.9595924377441406,1.2123394012451172,-0.5312679290771485,0.8299184799194336,-7.501343886057536e-06,0.6433333333333333,42.755948066711426,150,56,102,0.07798391350544989,0.9216847275434381,0.8981349600981571,0.01300160663202405,0.050006773093094425,0.9675909148653349
oof20,adapter_only,invert,3407,1,oof20_adapter_only_invert_seed3407_f1,600,0.06917681694030761,0.07512283325195312,-0.46500511169433595,0.6099855422973632,0.08314192454020182,0.03264045715332031,-0.5221103668212891,0.6453799565633138,-0.8707695007324219,0.899600601196289,-0.5221103668212891,0.6453799565633138,-2.2788445154825846e-05,0.6033333333333334,42.834919929504395,150,62,110,0.07593224375198285,0.9287460622463116,0.9044451581257879,0.013875029881795247,0.05055513353397449,0.9677247477571169
oof20,adapter_only,invert,3407,2,oof20_adapter_only_invert_seed3407_f2,600,0.0918809954325358,0.07901573181152344,-0.41057281494140624,0.6478017807006835,0.034875157674153646,0.09795318603515625,-0.47840127944946287,0.6806600570678711,-0.8272514343261719,0.9352989196777344,-0.47840127944946287,0.6806600570678711,-4.0793120861053466e-05,0.6316666666666667,42.41839599609375,150,52,96,0.07704952206773062,0.9290037312170774,0.9044658710147716,0.017288464362112184,0.04917171357820432,0.9674188711245855
oof20,adapter_only,invert,3407,3,oof20_adapter_only_invert_seed3407_f3,600,0.06668588320414225,0.056255340576171875,-0.4293676376342773,0.5644130706787109,0.031398048400878904,0.050563507080078125,-0.4400145212809245,0.6151024500528971,-0.6481224060058594,0.8389774322509765,-0.4400145212809245,0.6151024500528971,-2.9727319876352946e-05,0.6116666666666667,42.88805866241455,150,55,87,0.07656102471674482,0.9230962991894841,0.9025204951265533,0.014123518106838068,0.05088054652015368,0.9674957032998402
oof20,adapter_only,invert,3407,4,oof20_adapter_only_invert_seed3407_f4,600,0.10651099840799967,0.08743095397949219,-0.3949443817138672,0.6728754043579098,0.09010028839111328,0.08774080912272135,-0.43584858576456703,0.7146841367085774,-0.7114082336425781,0.9770072937011719,-0.43584858576456703,0.7146841367085774,-2.5579929351806642e-05,0.6266666666666667,42.82054328918457,150,51,84,0.07968101441239317,0.9262899438552359,0.9058384844089352,0.008413963143248111,0.05100150045628349,0.9673641234636307
oof20,adapter_only,normal,3407,0,oof20_adapter_only_normal_seed3407_f0,600,0.1060095755259196,0.09638404846191406,-0.4328304290771484,0.7676156997680659,0.10472367604573568,0.08784884134928385,-0.506706428527832,0.7941658655802409,-0.9273078918457032,1.1464046478271483,-0.506706428527832,0.7941658655802409,-4.525880018870036e-06,0.6466666666666666,42.755948066711426,150,56,98,0.08881238616692523,0.9201875705781964,-0.8981336539460556,0.005674921680862705,0.052406742610037325,0.9689578010638555
oof20,adapter_only,normal,3407,1,oof20_adapter_only_normal_seed3407_f1,600,0.06959112803141276,0.07391929626464844,-0.44553985595703127,0.5715152740478514,0.0896624247233073,0.030042343139648438,-0.5108203887939453,0.6212756474812825,-0.8513603210449219,0.8671833038330078,-0.5108203887939453,0.6212756474812825,-2.1690428256988524e-05,0.6133333333333333,42.834919929504395,150,61,108,0.08684637429503103,0.927033795676819,-0.9044446302089721,0.008267405033111573,0.052496967899302645,0.9690788734952609
oof20,adapter_only,normal,3407,2,oof20_adapter_only_normal_seed3407_f2,600,0.09050732294718425,0.08175086975097656,-0.38344879150390626,0.6055879592895507,0.0405841064453125,0.09580123901367188,-0.4594934145609538,0.6484574635823568,-0.7922067642211914,0.9037311553955079,-0.4594934145609538,0.6484574635823568,-4.10844882329305e-05,0.6216666666666667,42.41839599609375,150,48,91,0.08714561373926699,0.928177970017986,-0.9044639488657872,0.016459543147745233,0.05233489935596784,0.9693337713678678
oof20,adapter_only,normal,3407,3,oof20_adapter_only_normal_seed3407_f3,600,0.06729294459025065,0.06031990051269531,-0.40432701110839847,0.5405942916870115,0.039887669881184896,0.049844309488932294,-0.4244672457377116,0.5890738169352213,-0.6238594055175781,0.8059238433837891,-0.4244672457377116,0.5890738169352213,-2.973864475886027e-05,0.62,42.88805866241455,150,55,83,0.08768939131249984,0.9202026695737185,-0.9025178604866199,0.012791099462968608,0.05287923485661546,0.9691680526733398
oof20,adapter_only,normal,3407,4,oof20_adapter_only_normal_seed3407_f4,600,0.10626952171325683,0.09182548522949219,-0.36293468475341795,0.6495401382446289,0.09498956044514974,0.08756446838378906,-0.41784416834513344,0.6847848574320475,-0.6850711822509765,0.9339736938476563,-0.41784416834513344,0.6847848574320475,-2.3164848486582437e-05,0.6333333333333333,42.82054328918457,150,51,83,0.0909813133844485,0.9256005884734417,-0.9058362137144562,0.0005532107314502355,0.05127444174761574,0.9685308236877124
