group,target,feature_count,count,positive,positive_rate,auc,ece,folds
hazy_only,benefit_label,8,2400,2266,0.9441666666666667,0.7991825954077801,0.3147098190697366,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.8392917655032193}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.7932904100304982}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 452, 'auc': 0.8010429835651075}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 459, 'auc': 0.8093163191202407}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 447, 'auc': 0.7727611687343231}]"
internal_only,benefit_label,35,2400,2266,0.9441666666666667,0.8022388059701493,0.3111114235736163,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.8495425279566249}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.8242968485259234}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 452, 'auc': 0.7638274336283186}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 459, 'auc': 0.7876335719472974}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 447, 'auc': 0.7950647413734662}]"
all,benefit_label,43,2400,2266,0.9441666666666667,0.811809223959637,0.29818079538674713,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.8501355472721112}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 454, 'auc': 0.8220942053541173}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 452, 'auc': 0.7936156763590392}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 459, 'auc': 0.8067226890756303}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 447, 'auc': 0.796420581655481}]"
hazy_only,severe_risk_label,8,2400,67,0.027916666666666666,0.8332682920587803,0.3089276586999409,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8476394849785408}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8349172286940527}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 10, 'auc': 0.8221276595744681}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 12, 'auc': 0.8203347578347578}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 17, 'auc': 0.8405539321560157}]"
internal_only,severe_risk_label,35,2400,67,0.027916666666666666,0.8196160219050482,0.29621141796806244,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8553034947884733}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8370631514408339}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 10, 'auc': 0.7785106382978724}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 12, 'auc': 0.8125}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 17, 'auc': 0.809681107864312}]"
all,severe_risk_label,43,2400,67,0.027916666666666666,0.8248939613974704,0.28510401027620474,"[{'fold': 0, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8594420600858369}, {'fold': 1, 'status': 'ok', 'val_count': 480, 'val_positive': 14, 'auc': 0.8545370938074801}, {'fold': 2, 'status': 'ok', 'val_count': 480, 'val_positive': 10, 'auc': 0.8104255319148936}, {'fold': 3, 'status': 'ok', 'val_count': 480, 'val_positive': 12, 'auc': 0.8249643874643875}, {'fold': 4, 'status': 'ok', 'val_count': 480, 'val_positive': 17, 'auc': 0.7865582518104434}]"
