threshold,pred_high_coverage,target_high_recall,target_high_precision,low_context_false_strong_global,low_context_false_strong_per_image_mean,low_context_false_strong_per_image_p90,low_context_false_strong_per_image_p95,high_need_recall_in_low_density_regions,AUPRC_high,AUROC_high_vs_low,AUROC_high_vs_hard_negative,hard_negative_top5_mean
0.05,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.1,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.15,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.2,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.25,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.3,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.35,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.39999999999999997,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.43450769782066345,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.44999999999999996,0.999444580078125,0.9997435887622991,0.42541857761981244,0.9975772027530627,0.9928313374044009,1.0,1.0,0.998786852742935,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.45673292875289917,0.9945389811197917,0.996021798782238,0.4259254334482049,0.9826610602288268,0.9611389592255126,1.0,1.0,0.9812595908796675,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4611879289150238,0.9866035970052084,0.9874559412779995,0.4256587578469215,0.9659788260272182,0.9305055740129012,1.0,1.0,0.9419454717467962,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4641128480434418,0.97824951171875,0.9787724024967566,0.42551866650361503,0.9460417549978163,0.8979658870848148,1.0,1.0,0.9027943126932322,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4662251760562261,0.9700020345052084,0.9708934974875526,0.4256821975294866,0.9245394294312483,0.8636114359202456,1.0,1.0,0.8686677560849746,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.46774929637710255,0.962098388671875,0.9639770913780764,0.42612181337501737,0.9022720099972266,0.8333854890841802,1.0,1.0,0.8395250619021968,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4689226135611534,0.9543815104166666,0.957749551280334,0.42679220699487697,0.8787294341174483,0.8026097716453822,1.0,1.0,0.8140761295170497,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4698835295935472,0.94654541015625,0.9517956440705858,0.4276503183262188,0.8533091903712937,0.7736810337080472,1.0,1.0,0.7901481578721035,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47071269154548645,0.938477783203125,0.9458235584521946,0.4286202367929629,0.8264480198414343,0.7415649364503086,1.0,1.0,0.7658127860288892,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4714470483362675,0.9304378255208333,0.9398438187670064,0.4295907014821721,0.8002531185544827,0.7120163513390257,0.9967479674796748,1.0,0.7411107540072336,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4721134603023529,0.9222733561197917,0.9337664897301559,0.430591212571898,0.7738127496517229,0.6848517999811345,0.9921996879875195,1.0,0.7160511151448761,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47272208059827486,0.9142439778645833,0.9279675773730477,0.4316753351142001,0.7486475371947195,0.6568409595293125,0.9848484848484849,1.0,0.6922272568839317,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47329267859458923,0.90632080078125,0.9224509087290805,0.43286039973529367,0.7237692349380115,0.6317197528768447,0.9808274470232089,1.0,0.669747819277272,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47382447123527527,0.8984549967447917,0.9169428509102598,0.43404272471142996,0.6997484753910745,0.6074782058852458,0.9726159793814433,0.9946550048590865,0.6471552149488713,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4743310809135437,0.8905623372395833,0.9114386201248378,0.43526088732485746,0.6754471814260712,0.5829786751790056,0.9605970149253731,0.984984984984985,0.62482515741491,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4748140871524811,0.8826778157552083,0.9061678383767255,0.4366092909639146,0.6506549522294517,0.5578095565530731,0.9508816120906801,0.9779411764705882,0.6033053736086151,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47527146339416504,0.8747749837239583,0.900899926903662,0.43799256412200493,0.6258595351417177,0.5349546690124473,0.9375,0.9702970297029703,0.5819394965438883,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4757126271724701,0.8667574055989583,0.8957075993402195,0.4394963155055787,0.6010800575095557,0.5135856264820439,0.9188712522045855,0.9642512077294686,0.5610308130349957,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47614359855651855,0.8586140950520833,0.890561196177559,0.44111547629766884,0.5752804547207886,0.4905451910347748,0.8923643054277829,0.9552238805970149,0.5405657430753283,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47656184434890747,0.850400390625,0.8853860902644097,0.4427879407295124,0.5490568624138074,0.4687091280852777,0.8723214285714286,0.9411331861662987,0.5199648730495715,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.476975679397583,0.842154541015625,0.8803057034278738,0.44455782756649703,0.5230627982670624,0.44804677330650877,0.8488664987405542,0.9346590909090909,0.4999026766193026,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4773818850517273,0.833812255859375,0.8752100084577438,0.4464065329642095,0.4967116903155056,0.42712468139657633,0.8216783216783217,0.9154078549848943,0.47997175358625344,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47778502106666565,0.8255672200520834,0.8702903570239457,0.4483304861615623,0.4703860854928639,0.407524729192524,0.7876447876447876,0.9009009009009009,0.4607107775459117,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47818970680236816,0.8171879069010417,0.865362094765001,0.45036276571325,0.4432507563271669,0.3867305822773893,0.7583333333333333,0.8828828828828829,0.4413728481347861,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47859248518943787,0.808758544921875,0.8603850378302251,0.4524394937625937,0.416214251786016,0.3668326866940335,0.7205783456624075,0.8520325203252033,0.4218629053066139,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.47899746894836426,0.8003678385416667,0.855398413311953,0.45453292960186764,0.38919687459155144,0.3468673558144801,0.6849361129791527,0.821078431372549,0.40262456261062046,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4794112741947174,0.791883544921875,0.8503974374184363,0.45671698696851654,0.36202329073248174,0.32781504806515466,0.6569421934089681,0.7894981412639405,0.383617080026979,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4798300266265869,0.78343017578125,0.8452806937646145,0.4588673898568474,0.33473813068440833,0.3081191078387266,0.625,0.7567099567099567,0.36415240388750325,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4802583158016205,0.7751127115885417,0.8403256422718801,0.4610725821649972,0.3081734340281873,0.2876938972096107,0.5796906523201076,0.7207729468599033,0.34547536813134583,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
0.4807004558543364,0.766868896484375,0.8352749149441827,0.463228056882499,0.2820741694746674,0.27018171461355517,0.533678756476684,0.6886617100371747,0.3270518258318886,0.5115595337474456,0.6529132072672377,0.8760735818116293,0.49671629071235657
