split,name,airlight,beta,width,height,spearman_depth_neglogt,spearman_invert_depth_neglogt,pearson_depth_1minus_t,pearson_invert_depth_1minus_t,normal_best_alpha,normal_best_l1,normal_best_rmse,invert_best_alpha,invert_best_l1,invert_best_rmse,best_orientation,best_proxy_l1_full,best_proxy_rmse_full,low_texture_proxy_l1,bright_region_proxy_l1,dense_region_proxy_l1,trans_mean,trans_std,depth_mean,depth_std,depth_path,trans_path
train,1000_0.74_1.6.png,0.74,1.6,400,400,-0.9423523340561673,0.9424061447554937,-0.8550221530428528,0.855022167632704,0.6000000000000001,0.5377547740936279,0.625622034072876,1.3,0.1589488834142685,0.18169410526752472,invert,0.158837229013443,0.181550532579422,0.21914328634738922,0.2503913938999176,0.26016244292259216,0.4244108498096466,0.306395024061203,0.26967373490333557,0.31800487637519836,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1000_0.74_1.6.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1000.png
train,1001_0.89_1.66.png,0.89,1.66,400,400,-0.6075361761682424,0.607529350990737,-0.6945187757174538,0.6945187761894601,3.0,0.336722195148468,0.40318459272384644,1.2000000000000002,0.11271464824676514,0.13924506306648254,invert,0.11233971267938614,0.1389092355966568,0.13714160025119781,0.19591745734214783,0.17342974245548248,0.4436494708061218,0.19034945964813232,0.3007395565509796,0.2257445752620697,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1001_0.89_1.66.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1001.png
train,1002_0.73_1.47.png,0.73,1.47,400,400,-0.6036497209893038,0.6036437534710924,-0.6775510518708787,0.6775510511501424,2.65,0.3257550001144409,0.39979714155197144,1.1,0.11495787650346756,0.14396314322948456,invert,0.11450371146202087,0.14347399771213531,0.14318788051605225,0.18206019699573517,0.18782754242420197,0.46219125390052795,0.19176070392131805,0.2856391370296478,0.2158576399087906,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1002_0.73_1.47.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1002.png
train,1003_0.9_1.06.png,0.9,1.06,400,400,-0.6055175539498069,0.6055117257698626,-0.6618356895731904,0.6618356885922133,1.9500000000000002,0.3040727972984314,0.38133499026298523,1.0,0.1180032417178154,0.14819511771202087,invert,0.1177937239408493,0.14799387753009796,0.14871947467327118,0.22058530151844025,0.19374427199363708,0.5031437277793884,0.19435009360313416,0.29253414273262024,0.21105997264385223,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1003_0.9_1.06.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1003.png
train,1004_0.91_1.17.png,0.91,1.17,400,400,-0.605847014566899,0.6058482086214897,-0.668970615280266,0.66897061776845,2.1,0.3075323700904846,0.3849421739578247,1.05,0.11704597622156143,0.14635036885738373,invert,0.11715880036354065,0.1463785618543625,0.14608041942119598,0.2130882889032364,0.1853335052728653,0.49210497736930847,0.19369086623191833,0.29503777623176575,0.213721364736557,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1004_0.91_1.17.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1004.png
train,1005_0.74_1.81.png,0.74,1.81,400,400,-0.7838335102534858,0.7838323487503793,-0.9174840577037184,0.9174840574792713,5.0,0.33004021644592285,0.41661733388900757,2.0,0.08275102078914642,0.11423353850841522,invert,0.0831511989235878,0.11492133140563965,0.07633073627948761,0.07953397184610367,0.09860442578792572,0.2559807002544403,0.22256852686405182,0.27655935287475586,0.188958078622818,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1005_0.74_1.81.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1005.png
train,1006_0.89_1.55.png,0.89,1.55,400,400,-0.785739858505958,0.785739625760536,-0.9170644125676597,0.9170644131469156,5.0,0.31804776191711426,0.4113311767578125,1.9000000000000001,0.08513175696134567,0.11449086666107178,invert,0.0846858099102974,0.11401332169771194,0.0798034742474556,0.08467383682727814,0.10520441085100174,0.27455925941467285,0.22325532138347626,0.285646915435791,0.19078922271728516,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1006_0.89_1.55.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1006.png
train,1007_0.68_1.25.png,0.68,1.25,400,400,-0.7900203040803363,0.7900195844967307,-0.9149289122634949,0.9149289132343197,5.0,0.3029353618621826,0.40416568517684937,1.8,0.08724107593297958,0.11863511055707932,invert,0.08690834790468216,0.11830545961856842,0.08369392156600952,0.08622490614652634,0.10958623886108398,0.2986240088939667,0.22345374524593353,0.2905913293361664,0.1865401566028595,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1007_0.68_1.25.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1007.png
train,1008_0.52_1.98.png,0.52,1.98,400,400,-0.7825908602972892,0.7825909056269521,-0.9191365080551954,0.9191365084070102,5.0,0.34041181206703186,0.42236316204071045,2.05,0.08340713381767273,0.11589078605175018,invert,0.0837559923529625,0.11649647355079651,0.07505650073289871,0.07787173986434937,0.09652026742696762,0.24340464174747467,0.2220001220703125,0.26858264207839966,0.18637794256210327,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1008_0.52_1.98.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1008.png
train,1009_0.84_0.56.png,0.84,0.56,400,400,-0.9680422629815674,0.968039319255562,-0.8912775422750898,0.8912775337534612,0.6000000000000001,0.4972466230392456,0.5892311930656433,1.4000000000000001,0.13044020533561707,0.14902879297733307,invert,0.1306009441614151,0.14910951256752014,0.14761365950107574,0.1120799109339714,0.18545381724834442,0.43781644105911255,0.2772288918495178,0.3311462998390198,0.35678738355636597,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1009_0.84_0.56.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1009.png
train,100_0.65_1.43.png,0.65,1.43,400,400,-0.9196322419295834,0.919606450400448,-0.9647680213738403,0.9647680217745853,5.0,0.6140214204788208,0.6601991653442383,1.7000000000000002,0.12526358664035797,0.15567439794540405,invert,0.1253351867198944,0.15584900975227356,0.13348053395748138,0.10252199321985245,0.14040377736091614,0.2547798454761505,0.25146666169166565,0.16846129298210144,0.19759491086006165,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/100_0.65_1.43.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/100.png
