split,image_id,candidate,a0_low_l1,candidate_low_l1,delta_low_l1,a0_mid_l1,candidate_mid_l1,delta_mid_l1,a0_high_l1,candidate_high_l1,delta_high_l1,a0_smooth_high_l1,candidate_smooth_high_l1,delta_smooth_high_l1,a0_edge_high_l1,candidate_edge_high_l1,delta_edge_high_l1,candidate_delta_psnr,interaction_delta_psnr,edge_density
trainfit128,1000_0.74_1.6.png,a1,0.011243765242397785,0.010584685951471329,-0.0006590792909264565,0.0021786880679428577,0.002187123289331794,8.435221388936043e-06,0.0018069534562528133,0.0018125911010429263,5.637644790112972e-06,0.0014243252808228135,0.0014244645135477185,1.3923272490501404e-07,0.002598303370177746,0.0026140762493014336,1.5772879123687744e-05,0.5196685791015625,,0.020840922370553017
trainfit128,1000_0.74_1.6.png,a2,0.011243765242397785,0.011118593625724316,-0.00012517161667346954,0.0021786880679428577,0.0021844052243977785,5.717156454920769e-06,0.0018069534562528133,0.001810313668102026,3.3602118492126465e-06,0.0014243252808228135,0.0014246107311919332,2.8545036911964417e-07,0.002598303370177746,0.0026076706126332283,9.367242455482483e-06,0.09484481811523438,,0.020840922370553017
trainfit128,1000_0.74_1.6.png,a3,0.011243765242397785,0.011336919851601124,9.315460920333862e-05,0.0021786880679428577,0.0021756209898740053,-3.0670780688524246e-06,0.0018069534562528133,0.0018088220385834575,1.8685823306441307e-06,0.0014243252808228135,0.0014254702255129814,1.144944690167904e-06,0.002598303370177746,0.002602418651804328,4.115281626582146e-06,0.02878570556640625,-0.5857276916503906,0.020840922370553017
trainfit128,1001_0.89_1.66.png,a1,0.013408392667770386,0.01387245487421751,0.0004640622064471245,0.0023160201963037252,0.0023243161849677563,8.295988664031029e-06,0.002201853320002556,0.0022036817390471697,1.8284190446138382e-06,0.0019258211832493544,0.0019258998800069094,7.869675755500793e-08,0.002856719773262739,0.00286293076351285,6.210990250110626e-06,-0.2587394714355469,,0.015409408137202263
trainfit128,1001_0.89_1.66.png,a2,0.013408392667770386,0.01346544735133648,5.7054683566093445e-05,0.0023160201963037252,0.002318314043805003,2.2938475012779236e-06,0.002201853320002556,0.002203670796006918,1.8174760043621063e-06,0.0019258211832493544,0.0019261633278802037,3.421446308493614e-07,0.002856719773262739,0.002861849730834365,5.1299575716257095e-06,-0.051494598388671875,,0.015409408137202263
trainfit128,1001_0.89_1.66.png,a3,0.013408392667770386,0.013780176639556885,0.000371783971786499,0.0023160201963037252,0.002320040948688984,4.020752385258675e-06,0.002201853320002556,0.0022025350481271744,6.817281246185303e-07,0.0019258211832493544,0.001925335149280727,-4.860339686274529e-07,0.002856719773262739,0.0028602287638932467,3.508990630507469e-06,-0.20573043823242188,0.10450363159179688,0.015409408137202263
trainfit128,1002_0.73_1.47.png,a1,0.015563338994979858,0.01565702073276043,9.368173778057098e-05,0.0018234137678518891,0.0018325407290831208,9.12696123123169e-06,0.001836551004089415,0.0018387110903859138,2.1600862964987755e-06,0.0016559043433517218,0.0016563067911192775,4.0244776755571365e-07,0.0022662882693111897,0.002272697165608406,6.408896297216415e-06,0.02921295166015625,,0.015409408137202263
trainfit128,1002_0.73_1.47.png,a2,0.015563338994979858,0.015804348513484,0.00024100951850414276,0.0018234137678518891,0.0018396415980532765,1.6227830201387405e-05,0.001836551004089415,0.0018425389425829053,5.987938493490219e-06,0.0016559043433517218,0.0016583018004894257,2.3974571377038956e-06,0.0022662882693111897,0.0022802811581641436,1.399288885295391e-05,-0.17618179321289062,,0.015409408137202263
trainfit128,1002_0.73_1.47.png,a3,0.015563338994979858,0.015816470608115196,0.00025313161313533783,0.0018234137678518891,0.0018342050025239587,1.079123467206955e-05,0.001836551004089415,0.0018396679079160094,3.1169038265943527e-06,0.0016559043433517218,0.0016565448604524136,6.405171006917953e-07,0.0022662882693111897,0.0022749919444322586,8.703675121068954e-06,-0.08089828491210938,0.066070556640625,0.015409408137202263
trainfit128,1003_0.9_1.06.png,a1,0.009054428897798061,0.009474094025790691,0.00041966512799263,0.0017003865214064717,0.0017097385134547949,9.351992048323154e-06,0.0017140874406322837,0.0017162399599328637,2.1525193005800247e-06,0.001510525937192142,0.0015110729727894068,5.470355972647667e-07,0.002170027233660221,0.0021763457916677,6.318558007478714e-06,-0.35443878173828125,,0.015409408137202263
trainfit128,1003_0.9_1.06.png,a2,0.009054428897798061,0.009123372845351696,6.894394755363464e-05,0.0017003865214064717,0.001702341833151877,1.955311745405197e-06,0.0017140874406322837,0.0017148746410384774,7.872004061937332e-07,0.001510525937192142,0.001510162022896111,-3.6391429603099823e-07,0.002170027233660221,0.002173304557800293,3.277324140071869e-06,-0.08617401123046875,,0.015409408137202263
trainfit128,1003_0.9_1.06.png,a3,0.009054428897798061,0.00942577701061964,0.000371348112821579,0.0017003865214064717,0.0017099730903282762,9.586568921804428e-06,0.0017140874406322837,0.0017163640586659312,2.2766180336475372e-06,0.001510525937192142,0.0015105681959539652,4.225876182317734e-08,0.002170027233660221,0.0021778394002467394,7.812166586518288e-06,-0.3271598815917969,0.11345291137695312,0.015409408137202263
trainfit128,1004_0.91_1.17.png,a1,0.0109021021053195,0.011353503912687302,0.00045140180736780167,0.0018092617392539978,0.001818655407987535,9.393668733537197e-06,0.00182418804615736,0.001826446852646768,2.258806489408016e-06,0.001608569989912212,0.0016089346027001739,3.6461278796195984e-07,0.0023146120365709066,0.00232166750356555,7.055466994643211e-06,-0.3084449768066406,,0.015409408137202263
