fold,epoch,train_count,loss,train_mean_dPSNR_vs_A0,train_p05_dPSNR_vs_A0,train_CVaR5_dPSNR_vs_A0,train_severe_rate,mean_unsafe_probability,mean_action_rms_proxy
1,1,384,0.05503476314091434,0.023497374411006928,-0.2731533805959842,-0.39903243314350795,0.09895833333333333,0.18143320875242352,0.03812512338239079
1,2,384,0.05488211459305603,0.03321940977597367,-0.4336980279488227,-0.548956686699453,0.1796875,0.18110250557462373,0.04772757958077515
