label,split,name,fold,bucket,selected_alpha,delta_psnr,delta_ssim,a0_psnr
oof,train_inner,1255_0.65_1.08.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,42.12042999267578
oof,train_inner,1259_0.98_0.87.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.395334243774414
oof,train_inner,1279_0.87_0.95.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,40.799713134765625
oof,train_inner,1289_1.0_1.69.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.31848907470703
oof,train_inner,1297_0.99_0.69.png,0,easy_top25_by_a0_fulltrain,1.0,0.2620086669921875,-0.0004227161407470703,44.68973159790039
oof,train_inner,129_0.95_1.3.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.98476791381836
oof,train_inner,1302_0.53_1.14.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.289798736572266
oof,train_inner,1309_0.83_1.35.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.80064392089844
oof,train_inner,1310_0.53_1.28.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,39.25178909301758
oof,train_inner,1323_0.89_0.88.png,0,mid_by_a0_fulltrain,1.0,1.1247329711914062,0.0004665851593017578,37.644222259521484
oof,train_inner,1339_0.65_1.47.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,38.49654769897461
oof,train_inner,1340_0.84_1.32.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.72518539428711
oof,train_inner,1342_0.9_1.88.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,24.972545623779297
oof,train_inner,1343_0.89_0.89.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.55014419555664
oof,train_inner,1352_0.7_1.62.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.2318992614746094,0.002068817615509033,30.43440055847168
oof,train_inner,135_0.95_0.78.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.058815002441406
oof,train_inner,1362_0.72_0.84.png,0,mid_by_a0_fulltrain,1.0,1.5590744018554688,0.00047791004180908203,36.40625
oof,train_inner,1373_0.73_0.81.png,0,mid_by_a0_fulltrain,1.0,2.360107421875,-5.608797073364258e-05,42.389427185058594
oof,train_inner,1379_0.58_2.0.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.65532684326172
oof,train_inner,1385_0.67_0.95.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,42.66352844238281
oof,train_inner,1388_0.67_1.18.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,41.02565002441406
oof,train_inner,1396_0.92_1.33.png,0,hard_bottom25_by_a0_fulltrain,1.0,0.24550247192382812,-6.4373016357421875e-06,35.3432731628418
oof,train_inner,1439_0.92_1.24.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.04749298095703
oof,train_inner,1440_0.65_1.26.png,0,hard_bottom25_by_a0_fulltrain,1.0,2.2122879028320312,0.0012288093566894531,31.822486877441406
oof,train_inner,1466_0.85_1.61.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,36.90998840332031
oof,train_inner,1473_0.95_0.96.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.111684799194336,0.00028336048126220703,30.18012046813965
oof,train_inner,1476_0.87_1.12.png,0,hard_bottom25_by_a0_fulltrain,1.0,2.079385757446289,0.0007338523864746094,30.123212814331055
oof,train_inner,1481_0.7_0.89.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,40.58544158935547
oof,train_inner,1487_0.99_1.08.png,0,mid_by_a0_fulltrain,1.0,0.27321624755859375,-0.0003666877746582031,36.67726516723633
oof,train_inner,1498_0.73_1.3.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.62665939331055
oof,train_inner,149_0.51_1.05.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,38.70954895019531
oof,train_inner,1501_0.82_1.27.png,0,mid_by_a0_fulltrain,1.0,3.5829010009765625,0.0005055665969848633,38.958251953125
oof,train_inner,1504_0.64_0.94.png,0,mid_by_a0_fulltrain,1.0,3.898448944091797,0.0002244710922241211,42.45112991333008
oof,train_inner,1508_0.6_1.12.png,0,mid_by_a0_fulltrain,1.0,2.483917236328125,0.0005315542221069336,41.85597229003906
oof,train_inner,1518_0.62_1.44.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,44.05002212524414
oof,train_inner,1521_0.71_1.89.png,0,mid_by_a0_fulltrain,1.0,1.0521240234375,0.0015031099319458008,36.33356475830078
oof,train_inner,1527_0.79_1.5.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.435028076171875
