step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.011254005832220432,,0.0
50,0.01103211360150133,0.0386412663009161,0.0073310136795043945
100,0.01100248251446731,0.017748742397928324,0.009285807609558105
150,0.011006839659342607,0.013664418509086737,0.012612342834472656
200,0.010980040093234306,0.060171838849782944,0.011626362800598145
250,0.011004416512742613,0.06154894957748743,0.014706134796142578
300,0.01099812387862966,0.060111499534776576,0.014817774295806885
350,0.011077764460594067,0.05315354892697472,0.017192363739013672
400,0.010967075004314892,0.0860107998148753,0.012921631336212158
450,0.010972119600748117,0.11928164968804385,0.01728689670562744
500,0.010965396990387443,0.1172309536845065,0.015977025032043457
550,0.010982680461781366,0.096960707495992,0.010797083377838135
600,0.010964073589670529,0.08750893863347861,0.014631330966949463
650,0.010971475292766814,0.07888107059093621,0.01265174150466919
700,0.010974402526138526,0.12080867044054545,0.012358784675598145
750,0.010955080801778556,0.11607189845437041,0.017160415649414062
800,0.011016049066507938,0.007240081994006267,0.015648186206817627
