image_id,hazy_file,gt_file,width,height,shard_index,shard_count,input_PSNR,input_SSIM,A0_PSNR,A0_SSIM,WDMamba_PSNR,WDMamba_SSIM,WDMamba_dPSNR,WDMamba_dSSIM,A0_time_sec,WDMamba_time_sec,image_time_sec,input_mean,input_std,input_grad_mean,dark_channel_mean,airlight_proxy_p99,sky_highlight_proxy,a0_mean,a0_std,wdmamba_mean,wdmamba_std,wdmamba_residual_signed_mean,wdmamba_residual_abs_mean,wdmamba_residual_abs_p90,wdmamba_residual_grad_mean,a0_wdmamba_psnr,alpha_a0_PSNR,alpha_a0_SSIM,alpha_a0_dPSNR,alpha_a0_dSSIM,alpha_a0p125_PSNR,alpha_a0p125_SSIM,alpha_a0p125_dPSNR,alpha_a0p125_dSSIM,alpha_a0p25_PSNR,alpha_a0p25_SSIM,alpha_a0p25_dPSNR,alpha_a0p25_dSSIM,alpha_a0p375_PSNR,alpha_a0p375_SSIM,alpha_a0p375_dPSNR,alpha_a0p375_dSSIM,alpha_a0p5_PSNR,alpha_a0p5_SSIM,alpha_a0p5_dPSNR,alpha_a0p5_dSSIM,alpha_a0p75_PSNR,alpha_a0p75_SSIM,alpha_a0p75_dPSNR,alpha_a0p75_dSSIM,alpha_a1_PSNR,alpha_a1_SSIM,alpha_a1_dPSNR,alpha_a1_dSSIM
03,03_hazy.png,03_GT.png,1600,1200,2,3,8.851949691772461,0.42019233107566833,9.825841903686523,0.47561246156692505,10.121356964111328,0.4700445830821991,0.2955150604248047,-0.005567878484725952,0.4287588596343994,0.45039963722229004,1.0551002025604248,0.635598361492157,0.15903115272521973,0.01294868253171444,0.565034031867981,0.8535947799682617,0.17967240512371063,0.5720783472061157,0.18186965584754944,0.5334778428077698,0.18792901933193207,-0.03860051557421684,0.04373246431350708,0.09144476056098938,0.0020157722756266594,24.942733764648438,9.825841903686523,0.47561246156692505,0.0,0.0,9.876468658447266,0.47605013847351074,0.05062675476074219,0.00043767690658569336,9.923417091369629,0.4761899411678314,0.09757518768310547,0.0005774796009063721,9.966562271118164,0.4760194420814514,0.14072036743164062,0.0004069805145263672,10.005783081054688,0.47552546858787537,0.17994117736816406,-8.699297904968262e-05,10.072019577026367,0.4735140800476074,0.24617767333984375,-0.002098381519317627,10.121356964111328,0.4700445830821991,0.2955150604248047,-0.005567878484725952
06,06_hazy.png,06_GT.png,1600,1200,2,3,12.889902114868164,0.45831626653671265,12.815289497375488,0.5589767694473267,13.11479377746582,0.5579645037651062,0.29950428009033203,-0.001012265682220459,0.22590327262878418,0.23460936546325684,0.5824770927429199,0.43143659830093384,0.09703236818313599,0.007988860830664635,0.3993077874183655,0.5607843399047852,0.0,0.3714548945426941,0.14679472148418427,0.4285404086112976,0.14235037565231323,0.05708552151918411,0.057815518230199814,0.0929034948348999,0.002705481369048357,23.91397476196289,12.815289497375488,0.5589767694473267,0.0,0.0,12.888971328735352,0.5611056685447693,0.07368183135986328,0.002128899097442627,12.953033447265625,0.5625088810920715,0.13774394989013672,0.003532111644744873,13.007026672363281,0.563227117061615,0.19173717498779297,0.00425034761428833,13.050559997558594,0.5633017420768738,0.23527050018310547,0.004324972629547119,13.105030059814453,0.561682403087616,0.28974056243896484,0.0027056336402893066,13.11479377746582,0.5579645037651062,0.29950428009033203,-0.001012265682220459
09,09_hazy.png,09_GT.png,1600,1200,2,3,11.958256721496582,0.46443045139312744,12.42480182647705,0.496102511882782,13.442482948303223,0.5097087621688843,1.0176811218261719,0.013606250286102295,0.2270212173461914,0.23464703559875488,0.58660888671875,0.506106436252594,0.10987652093172073,0.004993889946490526,0.48134198784828186,0.66143798828125,0.0,0.4384365975856781,0.13814009726047516,0.5004816055297852,0.1720028966665268,0.062045007944107056,0.06264051795005798,0.14741545915603638,0.0017695503775030375,21.85519790649414,12.42480182647705,0.496102511882782,0.0,0.0,12.595683097839355,0.49937963485717773,0.1708812713623047,0.003277122974395752,12.756828308105469,0.5021891593933105,0.33202648162841797,0.0060866475105285645,12.9068603515625,0.5045377016067505,0.4820585250854492,0.008435189723968506,13.044376373291016,0.5064331293106079,0.6195745468139648,0.010330617427825928,13.276359558105469,0.5089063048362732,0.851557731628418,0.012803792953491211,13.442482948303223,0.5097087621688843,1.0176811218261719,0.013606250286102295
12,12_hazy.png,12_GT.png,1600,1200,2,3,11.180572509765625,0.4402481019496918,11.709356307983398,0.5192055702209473,11.395622253417969,0.5177256464958191,-0.3137340545654297,-0.0014799237251281738,0.22672796249389648,0.23515605926513672,0.5820691585540771,0.5203648209571838,0.1570974737405777,0.010243367403745651,0.4514743685722351,0.7424837350845337,0.0013203124981373549,0.4785238206386566,0.18813763558864594,0.47480079531669617,0.19753091037273407,-0.003723053028807044,0.025898834690451622,0.05848813056945801,0.0033087891060858965,29.13735580444336,11.709356307983398,0.5192055702209473,0.0,0.0,11.67739486694336,0.5206382870674133,-0.03196144104003906,0.0014327168464660645,11.643248558044434,0.5216072201728821,-0.06610774993896484,0.0024016499519348145,11.606971740722656,0.522110104560852,-0.10238456726074219,0.002904534339904785,11.568620681762695,0.5221472978591919,-0.14073562622070312,0.002941727638244629,11.485918045043945,0.5208373069763184,-0.22343826293945312,0.0016317367553710938,11.395622253417969,0.5177256464958191,-0.3137340545654297,-0.0014799237251281738
15,15_hazy.png,15_GT.png,1600,1200,2,3,11.64488410949707,0.561581015586853,11.712358474731445,0.603615403175354,10.856646537780762,0.5883005261421204,-0.8557119369506836,-0.015314877033233643,0.2268683910369873,0.23442721366882324,0.5787250995635986,0.502616286277771,0.155038982629776,0.012062500230967999,0.4556522071361542,0.7986928224563599,0.02866354212164879,0.4867616891860962,0.19474594295024872,0.5018991231918335,0.2227579653263092,0.01513741910457611,0.04357829689979553,0.10201364755630493,0.003011353313922882,24.68181610107422,11.712358474731445,0.603615403175354,0.0,0.0,11.619111061096191,0.6046538352966309,-0.0932474136352539,0.0010384321212768555,11.521265029907227,0.6049789786338806,-0.19109344482421875,0.0013635754585266113,11.419167518615723,0.6045349836349487,-0.29319095611572266,0.0009195804595947266,11.313161849975586,0.6032577157020569,-0.3991966247558594,-0.00035768747329711914,11.090764999389648,0.5979079008102417,-0.6215934753417969,-0.005707502365112305,10.856646537780762,0.5883005261421204,-0.8557119369506836,-0.015314877033233643
18,18_hazy.png,18_GT.png,1600,1200,2,3,13.500459671020508,0.5469485521316528,14.247079849243164,0.6117194294929504,14.164041519165039,0.63189697265625,-0.083038330078125,0.02017754316329956,0.2269430160522461,0.23447656631469727,0.6060757637023926,0.5176612138748169,0.1343599110841751,0.01058631669729948,0.474322646856308,0.7934640645980835,0.0180526040494442,0.48417970538139343,0.1700107604265213,0.44917362928390503,0.19845403730869293,-0.035006098449230194,0.04604528099298477,0.09356629848480225,0.0038928277790546417,24.81774139404297,14.247079849243164,0.6117194294929504,0.0,0.0,14.278365135192871,0.6170350909233093,0.03128528594970703,0.005315661430358887,14.297819137573242,0.6215555667877197,0.050739288330078125,0.009836137294769287,14.305282592773438,0.6252791285514832,0.05820274353027344,0.013559699058532715,14.300695419311523,0.6282047033309937,0.053615570068359375,0.016485273838043213,14.255613327026367,0.6316561698913574,0.008533477783203125,0.019936740398406982,14.164041519165039,0.63189697265625,-0.083038330078125,0.02017754316329956
21,21_hazy.png,21_GT.png,1600,1200,2,3,9.9738130569458,0.5111531019210815,10.657251358032227,0.5621476173400879,9.868570327758789,0.5665961503982544,-0.7886810302734375,0.004448533058166504,0.2269883155822754,0.23459625244140625,0.5691378116607666,0.5305836200714111,0.16216732561588287,0.014926305040717125,0.4924721419811249,0.8078431487083435,0.03666875138878822,0.47415468096733093,0.18691720068454742,0.4937494099140167,0.21258069574832916,0.019594671204686165,0.0319974347949028,0.06933075189590454,0.003123018890619278,27.604372024536133,10.657251358032227,0.5621476173400879,0.0,0.0,10.55984115600586,0.5635623931884766,-0.09741020202636719,0.0014147758483886719,10.46194839477539,0.5647228360176086,-0.19530296325683594,0.002575218677520752,10.3636474609375,0.5656329989433289,-0.29360389709472656,0.003485381603240967,10.265022277832031,0.5662969946861267,-0.3922290802001953,0.004149377346038818,10.067056655883789,0.5669071078300476,-0.5901947021484375,0.004759490489959717,9.868570327758789,0.5665961503982544,-0.7886810302734375,0.004448533058166504
24,24_hazy.png,24_GT.png,1600,1200,2,3,10.198811531066895,0.5017114877700806,11.343884468078613,0.5810728669166565,11.059041023254395,0.568352222442627,-0.28484344482421875,-0.012720644474029541,0.22693133354187012,0.23433804512023926,0.5945227146148682,0.5485766530036926,0.22541405260562897,0.013198254629969597,0.5247020721435547,0.9084967374801636,0.20833593606948853,0.4793597161769867,0.250853568315506,0.4717758595943451,0.26262184977531433,-0.007583811413496733,0.02875492163002491,0.05974544584751129,0.002592529635876417,28.61593246459961,11.343884468078613,0.5810728669166565,0.0,0.0,11.316078186035156,0.5810068845748901,-0.02780628204345703,-6.598234176635742e-05,11.285935401916504,0.5805081129074097,-0.057949066162109375,-0.0005647540092468262,11.253510475158691,0.5795749425888062,-0.09037399291992188,-0.0014979243278503418,11.218853950500488,0.578206479549408,-0.125030517578125,-0.002866387367248535,11.143065452575684,0.5741589069366455,-0.2008190155029297,-0.006913959980010986,11.059041023254395,0.568352222442627,-0.28484344482421875,-0.012720644474029541
27,27_hazy.png,27_GT.png,1600,1200,2,3,13.201858520507812,0.38633835315704346,13.552008628845215,0.44842714071273804,13.035229682922363,0.4947673976421356,-0.5167789459228516,0.04634025692939758,0.22695636749267578,0.23466157913208008,0.5670835971832275,0.46096372604370117,0.09021548926830292,0.009671472944319248,0.4213907718658447,0.6183006763458252,0.00016041667549870908,0.38281822204589844,0.11999984830617905,0.4183542728424072,0.14202500879764557,0.03553607314825058,0.04322512447834015,0.08243590593338013,0.004813328385353088,25.579261779785156,13.552008628845215,0.44842714071273804,0.0,0.0,13.513365745544434,0.4557393491268158,-0.03864288330078125,0.007312208414077759,13.466712951660156,0.4626207947731018,-0.0852956771850586,0.01419365406036377,13.412308692932129,0.46906742453575134,-0.13969993591308594,0.020640283823013306,13.350444793701172,0.4750770032405853,-0.20156383514404297,0.02664986252784729,13.205665588378906,0.48578616976737976,-0.3463430404663086,0.037359029054641724,13.035229682922363,0.4947673976421356,-0.5167789459228516,0.04634025692939758
30,30_hazy.png,30_GT.png,1600,1200,2,3,10.089107513427734,0.4054827094078064,10.16223430633545,0.4525059461593628,9.190879821777344,0.5060887336730957,-0.9713544845581055,0.05358278751373291,0.22695612907409668,0.23412060737609863,0.5721189975738525,0.5689346194267273,0.0954507365822792,0.0075947074219584465,0.5301287174224854,0.7281045913696289,3.1250001484295353e-06,0.4847196340560913,0.12310244143009186,0.5574385523796082,0.1741652935743332,0.07271890342235565,0.08386223018169403,0.13673794269561768,0.007423232309520245,20.321237564086914,10.16223430633545,0.4525059461593628,0.0,0.0,10.072883605957031,0.467842698097229,-0.08935070037841797,0.015336751937866211,9.972789764404297,0.4802260398864746,-0.18944454193115234,0.027720093727111816,9.862724304199219,0.489859402179718,-0.29951000213623047,0.037353456020355225,9.743480682373047,0.4969980716705322,-0.41875362396240234,0.044492125511169434,9.480706214904785,0.504903256893158,-0.6815280914306641,0.052397310733795166,9.190879821777344,0.5060887336730957,-0.9713544845581055,0.05358278751373291
