threshold_db,eligible_fraction,flip_fraction_vs_0_005,flip_rows_vs_0_005
0.0,0.59161376953125,0.29925537109375,14709
0.001,0.3053792317708333,0.013020833333333334,640
0.004,0.2952067057291667,0.0028483072916666665,140
0.005,0.2923583984375,0.0,0
0.006,0.28997802734375,0.00238037109375,117
0.009,0.2835489908854167,0.008809407552083334,433
0.01,0.2816162109375,0.0107421875,528
