exact_action_fraction,exact_active_fraction,fold,global_D_ref,global_D_rep,hard,name,negative,noop,oracle_D_ref,oracle_D_rep,positive,primary_D_ref,primary_D_rep,selected_actual_worst_mean,selected_negative_harm_tiles,selected_negative_utility_tiles,selected_positive_harm_tiles,selected_predicted_worst_mean,wrong_sign_active_tiles
0.15625,0.1590909090909091,0,0.89215849736471,0.899506685932598,1,1819_0.84_1.22.png,30,20,0.9735774624422566,0.9736149530621387,14,-0.6942940843308327,-0.6912142569431861,-0.5067620186071674,15,29,14,0.1842594317329878,20
0.25,0.2727272727272727,0,0.3317028233278784,0.33962589368400964,0,2018_0.79_1.89.png,34,9,0.45506819225535167,0.45791398296172336,21,-0.3853091281415958,-0.38744917387634215,-0.3941063506782732,21,38,17,0.0679960886863145,32
0.234375,0.15789473684210525,0,0.0,0.0,0,2222_0.73_1.79.png,22,26,0.40560308621280095,0.4057622596825473,16,-0.3174751962109952,-0.3191255969416548,-0.4320044609029489,13,27,14,0.19661852629169038,15
0.359375,0.20588235294117646,0,0.5517441588111229,0.5616040090323651,1,2354_0.59_1.78.png,25,30,0.6252531733046993,0.6260292333617085,9,-0.5823772716513118,-0.5777572148025055,-0.32244398187407675,5,14,9,0.16088497567483606,13
0.28125,0.1111111111111111,0,0.18631850074368744,0.19199211728237997,0,2356_0.82_1.97.png,17,28,0.37250874711653403,0.3705371393995998,19,-0.36951120857892816,-0.3707541573736145,-0.34919977386178086,9,22,13,0.22507142883518505,18
0.3125,0.3673469387755102,0,0.34006781265854225,0.3442746458140183,0,2672_0.53_1.63.png,28,15,0.4008844191331036,0.4006696059560682,21,-0.2291314773998471,-0.2292206455754597,-0.10145229288395874,15,25,10,0.030323586027537073,18
0.3125,0.38,0,0.3043131626590099,0.3101776890539902,0,2999_0.57_1.33.png,40,14,0.4001594327616734,0.4020876911296145,10,-0.20279358798741834,-0.19997331564970913,-0.19940724624786527,18,28,10,0.023366424180567266,18
0.1875,0.15,1,0.4635972756453619,0.46555931736943584,0,1574_0.67_1.97.png,30,24,0.541387802378689,0.5418406662170108,10,-0.21052529153305688,-0.2098077997605877,-0.20719306787941605,12,22,10,0.14265258791856467,16
0.265625,0.2916666666666667,1,-9.643274665532873e-16,-9.643274665532873e-16,0,451_0.68_1.78.png,27,16,0.39724470155007213,0.3967194010902761,21,-0.26290674376059625,-0.2583349390276026,-0.3935976688711283,16,32,16,0.3094013951874028,21
