action,actual_worst_mean,actual_worst_median,correct_oracle_action_fraction,hard_utility_tiles,negative_utility_tiles,predicted_worst_mean,selected_tiles,severe_utility_tiles
state_positive_full,0.2288547938100673,0.08318626135587692,0.572832689122032,865,2074,0.23558651259706898,9055,1306
state_negative_full,0.019809450236761866,0.0,0.36331138287864534,315,1875,0.01886985394420314,5315,749
