tile,row,column,selected,positive,negative,harm,severe,hard,harm_fraction,severe_fraction,hard_fraction,actual_worst_mean
0,0,0,232,153,79,73,42,31,0.3146551724137931,0.1810344827586207,0.1336206896551724,0.03741435182621052
1,0,1,218,146,72,49,32,24,0.22477064220183487,0.14678899082568808,0.11009174311926606,0.13949882616011272
2,0,2,217,161,56,42,29,23,0.1935483870967742,0.1336405529953917,0.10599078341013825,0.14575494274951092
3,0,3,216,150,66,61,39,22,0.2824074074074074,0.18055555555555555,0.10185185185185185,0.0804317774945073
4,0,4,213,148,65,53,37,30,0.24882629107981222,0.17370892018779344,0.14084507042253522,0.06415536167824798
5,0,5,217,149,68,45,29,19,0.2073732718894009,0.1336405529953917,0.08755760368663594,0.15173269509528828
6,0,6,226,158,68,54,32,21,0.23893805309734514,0.1415929203539823,0.09292035398230089,0.14560764362475118
7,0,7,205,132,73,63,32,24,0.3073170731707317,0.15609756097560976,0.11707317073170732,0.1320571730492946
8,1,0,248,167,81,67,37,21,0.2701612903225806,0.14919354838709678,0.0846774193548387,0.08408667176967531
9,1,1,217,162,55,59,37,25,0.271889400921659,0.17050691244239632,0.1152073732718894,0.15031058111438347
10,1,2,217,159,58,54,28,20,0.2488479262672811,0.12903225806451613,0.09216589861751152,0.17855547730379615
11,1,3,221,151,70,50,29,20,0.22624434389140272,0.13122171945701358,0.09049773755656108,0.17642570726733603
12,1,4,238,166,72,62,35,23,0.2605042016806723,0.14705882352941177,0.09663865546218488,0.10621910312610675
13,1,5,240,173,67,52,29,18,0.21666666666666667,0.12083333333333333,0.075,0.1850416389228485
14,1,6,234,166,68,47,24,11,0.20085470085470086,0.10256410256410256,0.04700854700854701,0.1909936302780317
15,1,7,225,143,82,68,41,20,0.3022222222222222,0.18222222222222223,0.08888888888888889,0.12996477639496637
16,2,0,205,148,57,47,26,22,0.22926829268292684,0.12682926829268293,0.1073170731707317,0.1905982399506994
17,2,1,217,158,59,53,33,24,0.24423963133640553,0.15207373271889402,0.11059907834101383,0.2130740918460504
18,2,2,218,172,46,60,34,18,0.27522935779816515,0.1559633027522936,0.08256880733944955,0.2862190913492835
19,2,3,222,161,61,51,32,23,0.22972972972972974,0.14414414414414414,0.1036036036036036,0.2459160631086241
20,2,4,216,154,62,62,45,26,0.28703703703703703,0.20833333333333334,0.12037037037037036,0.1369372954790446
21,2,5,229,167,62,66,44,21,0.28820960698689957,0.19213973799126638,0.09170305676855896,0.1791997126641167
22,2,6,232,171,61,50,26,16,0.21551724137931033,0.11206896551724138,0.06896551724137931,0.24723163136513904
23,2,7,208,139,69,63,44,22,0.30288461538461536,0.21153846153846154,0.10576923076923077,0.09858827237090176
24,3,0,202,137,65,66,47,29,0.32673267326732675,0.23267326732673269,0.14356435643564355,0.1331178956785548
25,3,1,226,168,58,58,36,27,0.25663716814159293,0.1592920353982301,0.11946902654867257,0.22250619733889496
26,3,2,223,171,52,65,45,27,0.2914798206278027,0.20179372197309417,0.1210762331838565,0.2355534020955403
27,3,3,217,168,49,52,32,21,0.23963133640552994,0.14746543778801843,0.0967741935483871,0.35173809198203415
28,3,4,227,168,59,62,46,28,0.27312775330396477,0.2026431718061674,0.12334801762114538,0.2595163836228017
29,3,5,230,161,69,61,33,21,0.26521739130434785,0.14347826086956522,0.09130434782608696,0.2987665148787567
30,3,6,229,167,62,63,35,22,0.27510917030567683,0.15283842794759825,0.09606986899563319,0.18959493494407562
31,3,7,220,142,78,68,42,30,0.3090909090909091,0.19090909090909092,0.13636363636363635,0.04449285964431262
32,4,0,211,133,78,58,36,23,0.27488151658767773,0.17061611374407584,0.10900473933649289,0.18690544693675323
33,4,1,212,153,59,66,36,23,0.3113207547169811,0.16981132075471697,0.10849056603773585,0.23461290879887836
34,4,2,215,156,59,63,36,24,0.2930232558139535,0.16744186046511628,0.11162790697674418,0.2836992215997334
35,4,3,234,160,74,76,42,29,0.3247863247863248,0.1794871794871795,0.12393162393162394,0.26774749206130305
36,4,4,228,156,72,83,54,33,0.36403508771929827,0.23684210526315788,0.14473684210526316,0.22292720115275874
37,4,5,224,149,75,83,44,31,0.3705357142857143,0.19642857142857142,0.13839285714285715,0.20046599007634672
38,4,6,222,152,70,68,34,20,0.3063063063063063,0.15315315315315314,0.09009009009009009,0.2120897929763069
39,4,7,233,149,84,66,43,29,0.2832618025751073,0.18454935622317598,0.12446351931330472,0.09939841062700888
40,5,0,206,115,91,50,19,11,0.24271844660194175,0.09223300970873786,0.05339805825242718,0.18673237623280656
41,5,1,225,135,90,72,39,21,0.32,0.17333333333333334,0.09333333333333334,0.14617835482595384
42,5,2,235,158,77,65,43,22,0.2765957446808511,0.1829787234042553,0.09361702127659574,0.18299086073988138
43,5,3,241,148,93,74,35,21,0.3070539419087137,0.14522821576763487,0.08713692946058091,0.204298646034213
44,5,4,240,140,100,70,38,19,0.2916666666666667,0.15833333333333333,0.07916666666666666,0.21913324861986136
45,5,5,223,141,82,69,39,21,0.3094170403587444,0.17488789237668162,0.09417040358744394,0.14442194213217852
46,5,6,227,142,85,69,36,20,0.3039647577092511,0.15859030837004406,0.0881057268722467,0.14421747945182925
47,5,7,220,128,92,53,25,13,0.2409090909090909,0.11363636363636363,0.05909090909090909,0.15617496124680408
48,6,0,209,114,95,59,21,10,0.2822966507177033,0.10047846889952153,0.04784688995215311,0.09179496244345257
49,6,1,236,135,101,45,15,9,0.1906779661016949,0.0635593220338983,0.038135593220338986,0.11424872968755308
50,6,2,235,132,103,59,23,8,0.251063829787234,0.09787234042553192,0.03404255319148936,0.1333756104790348
51,6,3,234,127,107,57,16,2,0.24358974358974358,0.06837606837606838,0.008547008547008548,0.17645093153817307
52,6,4,244,125,119,65,17,3,0.26639344262295084,0.06967213114754098,0.012295081967213115,0.1736213893111467
53,6,5,232,127,105,38,15,3,0.16379310344827586,0.06465517241379311,0.01293103448275862,0.16647532963656103
54,6,6,237,147,90,67,28,11,0.28270042194092826,0.11814345991561181,0.046413502109704644,0.06016605713980406
55,6,7,240,104,136,70,24,6,0.2916666666666667,0.1,0.025,0.07835018132752794
56,7,0,223,88,135,85,24,4,0.3811659192825112,0.10762331838565023,0.017937219730941704,0.013374979862256284
57,7,1,220,85,135,76,20,5,0.34545454545454546,0.09090909090909091,0.022727272727272728,0.016688517266662862
58,7,2,213,87,126,60,22,4,0.28169014084507044,0.10328638497652583,0.018779342723004695,0.029762171851602237
59,7,3,228,95,133,65,23,3,0.2850877192982456,0.10087719298245613,0.013157894736842105,0.04258023469191629
60,7,4,223,78,145,66,21,4,0.29596412556053814,0.09417040358744394,0.017937219730941704,0.024142615719763102
61,7,5,235,93,142,72,22,8,0.30638297872340425,0.09361702127659574,0.03404255319148936,0.018594573020125106
62,7,6,224,94,130,57,12,5,0.2544642857142857,0.05357142857142857,0.022321428571428572,0.03857901850378604
63,7,7,236,73,163,77,21,6,0.326271186440678,0.08898305084745763,0.025423728813559324,0.009383567094118916
