fold,eval_count,partial_load_loaded_count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,p05_dPSNR,CVaR5_dPSNR,severe_rate,strong_reference_count,strong_reference_regression_rate,mean_mid_unsafe_prob,mean_final_unsafe_prob,mean_mid_delta_rms,mean_final_delta_rms,locked_test_touched,train_count,checkpoint
0,160,602,0.03824335425304839,0.03533689495170798,0.0387325951586698,0.6125,-0.21496286663447323,-0.3028428346678602,0.0625,160,0.21875,0.182704399805516,0.1825635228306055,0.0011958775481616612,0.0002113516354256717,False,384,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-v2-23-nopost-oof-gated-lowband-train/experience_docx/experiment_logs/haze4k_v2_23_nopost_oof_gated_lowband_train_20260704/fold0/v223_fold0_adapter_only_Final.pkl
1,160,602,0.017620208891814128,-0.0009406983419067317,-0.011903515336434722,0.525,-0.3487616085824797,-0.46330067236500216,0.1625,160,0.3875,0.18154508201405406,0.18137636892497538,0.0009318761116446694,0.0002914020893513225,False,384,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-v2-23-nopost-oof-gated-lowband-train/experience_docx/experiment_logs/haze4k_v2_23_nopost_oof_gated_lowband_train_20260704/fold1/v223_fold1_adapter_only_Final.pkl
2,160,602,0.054266854598009485,0.026315653129174343,0.05807617153866875,0.55,-0.45542044626681955,-0.5664014952674652,0.21875,160,0.35625,0.18265917263925074,0.18235695119947196,0.0011981415096670388,0.00043837665289174764,False,384,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-v2-23-nopost-oof-gated-lowband-train/experience_docx/experiment_logs/haze4k_v2_23_nopost_oof_gated_lowband_train_20260704/fold2/v223_fold2_adapter_only_Final.pkl
