seed,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,screen_gate_pass,strict_gate_pass,score
3407,600,506,0.8433333333333334,0.330518700281779,0.2594064458211263,0.47850341796875,0.00023778408765792847,0.6816666666666666,0.8383333333333334,38,38.0,80,80.0,0.808300395256917,0.808300395256917,38,True,True,0.40257770849034413
3411,600,494,0.8233333333333334,0.32784297307332355,0.25282432556152346,0.4620073445638021,0.00023290465275446575,0.6683333333333333,0.845,35,35.0,76,76.0,0.8117408906882592,0.8117408906882592,35,True,True,0.40327431269348385
2026,600,512,0.8533333333333334,0.33330516815185546,0.2569350179036458,0.47850341796875,0.000239202876885732,0.69,0.8366666666666667,38,38.0,81,81.0,0.80859375,0.80859375,38,True,True,0.4051076644897461
