feature,d8_mean,d8_std,d9_mean,d9_std,mean_delta_d9_minus_d8,std_units_vs_d8
A0_PSNR,39.55495010534922,4.462905346013833,34.14550157737732,6.106242369403076,-5.409448527971904,-1.2120912519024187
dPSNR,0.07829696575800578,0.2206132718625949,0.020946037769317628,0.2822771562623939,-0.057350927988688155,-0.25996136816468673
dSSIM,1.9039933880170185e-05,9.205328170893455e-05,4.350191354751587e-05,0.0005886554172749693,2.4461979667345685e-05,0.26573718191484574
input_brightness_mean,0.5609310317412018,0.10028661450680876,0.5630380615741014,0.10538726080032104,0.002107029832899565,0.021010080390703713
input_texture_mean,0.014552975562983192,0.0063509171488489915,0.015223475452745333,0.0070416279284302155,0.0006704998897621404,0.10557528527728606
airlight_fallback_mean,0.9905740893383821,0.01801218157379141,0.9914810625910759,0.015279563989217787,0.0009069732526938434,0.05035332610756785
depth_mean,1.9395422970006864,0.5853668204129161,1.9313918608427048,0.6322326525205392,-0.008150436157981611,-0.01392363877445653
depth_std,1.6545854074756305,0.44407223444942834,1.7166499364376069,0.44421124444260046,0.06206452896197634,0.13976223719306718
zero_delta_psnr,-0.0053226478894551595,0.12899958631421185,0.011242400169372559,0.2598337368180533,0.01656504805882772,0.12841163706121708
shuffle_delta_psnr,0.013964896202087402,0.14074064283265753,0.008444426536560058,0.2615121348680502,-0.005520469665527343,-0.039224417015710625
normal_delta_psnr,0.009442853132883707,0.13645351370514133,0.005776289939880371,0.26063495694545474,-0.003666563193003336,-0.026870419774798267
od_action_res_abs_mean,0.0005177003430662807,0.0002911117702636982,0.00043401706381882834,0.0006281200102417325,-8.36832792474524e-05,-0.28746099538211545
od_action_luma_abs_mean,0.0005290554128434148,0.00030046472600738476,0.00044216024335764814,0.0006257917376824645,-8.689516948576665e-05,-0.28920256510786213
od_action_edge_mean,3.067778517674924e-05,1.7924516078991326e-05,2.8853143725314114e-05,9.377191098836225e-05,-1.824641451435125e-06,-0.10179585565346007
od_sky_ratio,0.10484037234459394,0.12318724877330675,0.11174693467881944,0.1377233033981321,0.0069065623342254995,0.056065562004190744
od_highbright_ratio,0.13002776722849152,0.132060645424029,0.13988697193287036,0.14595190806865166,0.009859204704378843,0.07465664485223633
od_lowtex_ratio,0.5991813395935812,0.12892864656633782,0.581637430826823,0.12170892202885454,-0.017543908766758265,-0.13607455933178803
outq_luma_mean,0.45580047568927207,0.09655211838445632,0.4562428834438324,0.10033915347789553,0.00044240775456033665,0.0045820616053055836
outq_edge_mean,0.03171822145969296,0.0115101728196425,0.032727444432443006,0.010930800296343897,0.0010092229727500443,0.08768095740732676
outq_sat_mean,0.2821430977790927,0.1437163030132445,0.2788788947630674,0.14428000247597347,-0.0032642030160253133,-0.022712823441641782
pred_gain,0.0896397140216981,0.08696820089198148,0.016877038204123767,0.21353033252022255,-0.07276267581757433,-0.836658400096708
pred_pos_prob,0.6897100881781149,0.18487997839663303,0.579813575191507,0.19370332609073837,-0.10989651298660785,-0.5944208450243375
pred_strong_prob,0.19240114926391633,0.1382114461533409,0.0683087744107064,0.09477068114941337,-0.12409237485320992,-0.8978444138087786
pred_severe_prob,0.07593940356858288,0.09022722220901201,0.17316011777346513,0.1371895397521994,0.09722071420488225,1.077509778364558
policy_score,0.0896397140216981,0.08696820089198148,0.016877038204123767,0.21353033252022255,-0.07276267581757433,-0.836658400096708
