feature,target,auc_raw,auc_best_orientation,direction
input_mean,target_positive,0.5261995336851147,0.5261995336851147,higher
input_mean,target_high_gain_ge_0.20,0.5247669387573041,0.5247669387573041,higher
input_mean,target_severe_loss_le_-0.20,0.475576205207822,0.5244237947921779,lower
input_mean,target_loss_lt_0,0.47380046631488526,0.5261995336851147,lower
input_std,target_positive,0.4772476265911043,0.5227523734088957,lower
input_std,target_high_gain_ge_0.20,0.46342388152906017,0.5365761184709399,lower
input_std,target_severe_loss_le_-0.20,0.5144693432573432,0.5144693432573432,higher
input_std,target_loss_lt_0,0.5227523734088957,0.5227523734088957,higher
input_grad_mean,target_positive,0.5392965115630474,0.5392965115630474,higher
input_grad_mean,target_high_gain_ge_0.20,0.5576519916142557,0.5576519916142557,higher
input_grad_mean,target_severe_loss_le_-0.20,0.455130766332949,0.544869233667051,lower
input_grad_mean,target_loss_lt_0,0.4607034884369527,0.5392965115630473,lower
input_dark_mean,target_positive,0.5238791151173039,0.5238791151173039,higher
input_dark_mean,target_high_gain_ge_0.20,0.5234845443596949,0.5234845443596949,higher
input_dark_mean,target_severe_loss_le_-0.20,0.4784072877544264,0.5215927122455736,lower
input_dark_mean,target_loss_lt_0,0.47612088488269616,0.5238791151173039,lower
depth_mean,target_positive,0.4675866531308917,0.5324133468691084,lower
depth_mean,target_high_gain_ge_0.20,0.4753668763102725,0.5246331236897275,lower
depth_mean,target_severe_loss_le_-0.20,0.5426888434799484,0.5426888434799484,higher
depth_mean,target_loss_lt_0,0.5324133468691084,0.5324133468691084,higher
depth_std,target_positive,0.5078927698881067,0.5078927698881067,higher
depth_std,target_high_gain_ge_0.20,0.5055421740487979,0.5055421740487979,higher
depth_std,target_severe_loss_le_-0.20,0.5073345586136828,0.5073345586136828,higher
depth_std,target_loss_lt_0,0.4921072301118933,0.5078927698881067,lower
depth_grad_mean,target_positive,0.4684679659523199,0.5315320340476801,lower
depth_grad_mean,target_high_gain_ge_0.20,0.48362995673312814,0.5163700432668719,lower
depth_grad_mean,target_severe_loss_le_-0.20,0.5242297286498704,0.5242297286498704,higher
depth_grad_mean,target_loss_lt_0,0.5315320340476801,0.5315320340476801,higher
a0_mean,target_positive,0.5505081493546335,0.5505081493546335,higher
a0_mean,target_high_gain_ge_0.20,0.5491881885900353,0.5491881885900353,higher
a0_mean,target_severe_loss_le_-0.20,0.46632952430963825,0.5336704756903617,lower
a0_mean,target_loss_lt_0,0.4494918506453664,0.5505081493546335,lower
a0_std,target_positive,0.4456430794631801,0.55435692053682,lower
a0_std,target_high_gain_ge_0.20,0.4277175609973683,0.5722824390026318,lower
a0_std,target_severe_loss_le_-0.20,0.5454628477494036,0.5454628477494036,higher
a0_std,target_loss_lt_0,0.55435692053682,0.55435692053682,higher
a0_grad_mean,target_positive,0.5210120594830375,0.5210120594830375,higher
a0_grad_mean,target_high_gain_ge_0.20,0.5389513359204247,0.5389513359204247,higher
a0_grad_mean,target_severe_loss_le_-0.20,0.46435461592027305,0.535645384079727,lower
a0_grad_mean,target_loss_lt_0,0.4789879405169625,0.5210120594830375,lower
a0_saturation_high,target_positive,0.45007195528731914,0.5499280447126809,lower
a0_saturation_high,target_high_gain_ge_0.20,0.44213613452874795,0.557863865471252,lower
a0_saturation_high,target_severe_loss_le_-0.20,0.5436934211577757,0.5436934211577757,higher
a0_saturation_high,target_loss_lt_0,0.5499280447126809,0.5499280447126809,higher
a0_saturation_low,target_positive,0.4721438213277703,0.5278561786722298,lower
a0_saturation_low,target_high_gain_ge_0.20,0.4830445158124805,0.5169554841875195,lower
a0_saturation_low,target_severe_loss_le_-0.20,0.5241212799232868,0.5241212799232868,higher
a0_saturation_low,target_loss_lt_0,0.5278561786722297,0.5278561786722297,higher
udp_mean,target_positive,0.5428663862827564,0.5428663862827564,higher
udp_mean,target_high_gain_ge_0.20,0.5405459654757125,0.5405459654757125,higher
udp_mean,target_severe_loss_le_-0.20,0.4740122604139317,0.5259877395860684,lower
udp_mean,target_loss_lt_0,0.4571336137172436,0.5428663862827564,lower
udp_std,target_positive,0.44897868115440825,0.5510213188455917,lower
udp_std,target_high_gain_ge_0.20,0.43160934921272137,0.5683906507872787,lower
udp_std,target_severe_loss_le_-0.20,0.5422892955399035,0.5422892955399035,higher
udp_std,target_loss_lt_0,0.5510213188455918,0.5510213188455918,higher
udp_grad_mean,target_positive,0.5223172949274312,0.5223172949274312,higher
udp_grad_mean,target_high_gain_ge_0.20,0.5406351755207637,0.5406351755207637,higher
udp_grad_mean,target_severe_loss_le_-0.20,0.46301898423497984,0.5369810157650201,lower
udp_grad_mean,target_loss_lt_0,0.4776827050725689,0.5223172949274311,lower
diff_signed_mean,target_positive,0.33477615769921576,0.6652238423007842,lower
diff_signed_mean,target_high_gain_ge_0.20,0.32194790133369017,0.6780520986663099,lower
diff_signed_mean,target_severe_loss_le_-0.20,0.6710350574778251,0.6710350574778251,higher
diff_signed_mean,target_loss_lt_0,0.6652238423007842,0.6652238423007842,higher
