seed,fold,train_policy_id,train_threshold,train_strict_gate_pass,train_count,heldout_count,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,screen_gate_pass,strict_gate_pass,score
3407,0,alpha_a0p25__diff_signed_mean_le_0.0022295762,0.0022295762319117785,True,486,114,114,93,0.8157894736842105,0.3034146124856514,0.3293989045279367,0.45956080300467356,0.00023300030775237501,0.6140350877192983,0.7982456140350878,8,42.10526315789473,17,89.47368421052632,0.7526881720430108,0.7526881720430108,8,False,False,0.3507822168498872
3407,1,alpha_a0p25__diff_signed_mean_le_0.0029799419,0.0029799418756738306,True,468,132,132,116,0.8787878787878788,0.3683225747310754,0.25120740948301373,0.5634647716175426,0.00023165841897328696,0.7727272727272727,0.8939393939393939,5,22.727272727272727,11,50.0,0.8793103448275862,0.8793103448275862,5,True,True,0.5213860446208447
3407,2,alpha_a0p25__diff_signed_mean_le_0.002651756,0.002651755989063531,True,476,124,124,99,0.7983870967741935,0.3089636833437027,0.33658673686365925,0.4657100554435484,0.0002470367377804172,0.5967741935483871,0.7983870967741935,7,33.87096774193548,22,106.45161290322581,0.7474747474747475,0.7474747474747475,7,False,False,0.3723037934388739
3407,3,alpha_a0p25__diff_signed_mean_le_0.002847538,0.002847537957131862,True,488,112,112,96,0.8571428571428571,0.33053864751543316,0.2027737753731864,0.40788391658238005,0.00020695158413478306,0.7142857142857143,0.8571428571428571,8,42.857142857142854,13,69.64285714285714,0.8333333333333334,0.8333333333333334,8,True,True,0.38217658360799156
3407,4,alpha_a0p25__diff_signed_mean_le_0.0028756753,0.0028756753192283177,True,482,118,118,102,0.864406779661017,0.33704702732926706,0.18316032146585398,0.5122784581677667,0.00026879977371733067,0.7033898305084746,0.8389830508474576,10,50.847457627118644,17,86.4406779661017,0.8137254901960784,0.8137254901960784,10,False,False,0.37282111636772164
3411,0,alpha_a0p25__diff_signed_mean_le_0.0030030464,0.0030030463822185993,True,476,124,124,110,0.8870967741935484,0.31633218642204036,0.18556096476893272,0.5012498671008695,0.00021856879034349994,0.6774193548387096,0.7903225806451613,10,48.387096774193544,22,106.45161290322581,0.7636363636363637,0.7636363636363637,10,False,False,0.3288776496148879
3411,1,alpha_a0p25__diff_signed_mean_le_0.0026834323,0.0026834323420189313,True,458,142,142,115,0.8098591549295775,0.35471822174502093,0.23911492483956473,0.5716642107282366,0.00021267482932184784,0.6690140845070423,0.8591549295774648,8,33.80281690140845,18,76.05633802816901,0.8260869565217391,0.8260869565217391,8,True,True,0.4531859599468787
3411,2,alpha_a0p25__diff_signed_mean_le_0.0021470748,0.0021470747888088252,True,475,125,125,99,0.792,0.3200668792724609,0.2606232550836379,0.4454712406281502,0.0002891244888305664,0.664,0.872,7,33.6,13,62.4,0.8383838383838383,0.8383838383838383,7,True,True,0.41179449024870396
3411,3,alpha_a0p25__diff_signed_mean_le_0.0022082922,0.002208292204886676,True,489,111,111,90,0.8108108108108109,0.3261353260761983,0.3089016808403863,0.47853173149956596,0.00020417866406140028,0.6576576576576577,0.8468468468468469,4,21.62162162162162,12,64.86486486486487,0.8111111111111111,0.8111111111111111,4,True,True,0.44422459009531373
3411,4,alpha_a0p25__diff_signed_mean_le_0.0027400178,0.0027400178136304013,True,502,98,98,80,0.8163265306122449,0.3153186136362504,0.276528278986613,0.48752578099568683,0.00024118411297700842,0.673469387755102,0.8571428571428571,6,36.73469387755102,11,67.34693877551021,0.825,0.825,6,True,True,0.40418669338939955
2026,0,alpha_a0p25__diff_signed_mean_le_0.0030541495,0.0030541494837962066,True,490,110,110,99,0.9,0.25107588334517045,0.2214366771556713,0.20855062979239006,0.00022355372255498712,0.6363636363636364,0.7363636363636363,13,70.9090909090909,24,130.9090909090909,0.7070707070707071,0.7070707070707071,13,False,False,0.15278835417365386
2026,1,alpha_a0p25__diff_signed_mean_le_0.0027912248,0.0027912247693166145,True,474,126,126,107,0.8492063492063492,0.3628428777058919,0.21218792084724672,0.49072954731602825,0.0002459585666656494,0.6904761904761905,0.8412698412698413,5,23.809523809523807,16,76.19047619047619,0.8130841121495327,0.8130841121495327,5,True,True,0.4560606310624302
2026,2,alpha_a0p25__diff_signed_mean_le_0.0030621614,0.003062161430716512,True,485,115,115,103,0.8956521739130435,0.43658618097719937,0.4081951550074986,0.684635843549456,0.00032222374625827957,0.7913043478260869,0.8956521739130435,4,20.869565217391305,9,46.95652173913044,0.883495145631068,0.883495145631068,4,True,True,0.6534265894020579
2026,3,alpha_a0p25__diff_signed_mean_le_0.0027201664,0.002720166416838765,True,473,127,127,103,0.8110236220472441,0.34013634028397205,0.23079915200510331,0.5776614527548513,0.0002976421296127199,0.6771653543307087,0.8661417322834646,8,37.79527559055118,14,66.14173228346456,0.8349514563106796,0.8349514563106796,8,True,True,0.43433856842919194
2026,4,alpha_a0p25__diff_signed_mean_le_0.0027327708,0.002732770820148289,True,478,122,122,100,0.819672131147541,0.27247397626032593,0.24791221618652343,0.4371423085530599,0.00010724390139345263,0.6557377049180327,0.8360655737704918,8,39.34426229508197,18,88.52459016393442,0.8,0.8,8,True,True,0.32772829462270264
