===== v20_c2d_alpha_router_start 2026-06-15T01:16:55+08:00 =====
val_regular 50/300 rows=50 endpoint_mean_delta=0.1458
val_regular 100/300 rows=100 endpoint_mean_delta=-0.0483
val_regular 150/300 rows=150 endpoint_mean_delta=-0.2562
val_regular 200/300 rows=200 endpoint_mean_delta=-0.2583
val_regular 250/300 rows=250 endpoint_mean_delta=-0.2927
val_regular 300/300 rows=300 endpoint_mean_delta=-0.3014
val_hard 50/300 rows=350 endpoint_mean_delta=-0.2233
val_hard 100/300 rows=400 endpoint_mean_delta=-0.1611
val_hard 150/300 rows=450 endpoint_mean_delta=-0.0584
val_hard 200/300 rows=500 endpoint_mean_delta=0.0012
val_hard 250/300 rows=550 endpoint_mean_delta=0.0362
val_hard 300/300 rows=600 endpoint_mean_delta=0.0620
V20_C2D_ALPHA_ROUTER_OK decision=C2D_ALPHA_STRICT_SCREEN_PASS_START_C3_SHIFTED rows=600 out=/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-v20-strongexpert-gainmix-c1/experience_docx/experiment_logs/haze4k_v2_0_strongexpert_gainmix_20260614
