dimension,heldout_bin,heldout_count,train_count,train_policy_id,train_threshold,train_strict_gate_pass,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,score,bin_safety_pass
split,val_hard,300,300,alpha_a0p25__diff_signed_mean_le_0.0024068936,0.002406893612351269,True,300,238,0.7933333333333333,0.28733370463053387,0.2382744852701823,0.3738326009114583,0.000243301788965861,0.6333333333333333,0.84,19,38.0,41,82.0,0.7983193277310925,0.7983193277310925,19,False,0.3319195130035657,True
split,val_regular,300,300,alpha_a0p25__diff_signed_mean_le_0.0033619218,0.003361921769101173,True,300,270,0.9,0.37665128072102866,0.2909765116373698,0.5364051310221354,0.00022735595703125,0.7366666666666667,0.8366666666666667,19,38.0,39,78.0,0.8185185185185185,0.8185185185185185,19,True,0.4720413634688766,True
airlight_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0021450728,0.0021450727712363027,True,150,119,0.7933333333333333,0.26485763549804686,0.19921390430347338,0.4294740831529772,8.433183034261067e-05,0.5666666666666667,0.7733333333333333,17,68.0,29,116.0,0.7142857142857143,0.7142857142857143,17,False,0.20180603357067128,True
airlight_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.0026181633,0.0026181633467786,True,150,120,0.8,0.3326419194539388,0.34211622702108846,0.4840176556561444,0.00022439440091451008,0.6666666666666666,0.8666666666666667,8,32.0,17,68.0,0.8333333333333334,0.8333333333333334,8,True,0.45110695789096594,True
airlight_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0032431388,0.0032431387575343235,True,150,137,0.9133333333333333,0.37770313262939453,0.2868565224312447,0.5301363145982897,0.0003162860870361328,0.7733333333333333,0.86,4,16.0,16,64.0,0.8467153284671532,0.8467153284671532,4,True,0.5308978077505501,True
airlight_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0027363943,0.002736394316889345,True,150,124,0.8266666666666667,0.3532260767618815,0.21394466709446264,0.4966695630872572,0.00034337520599365235,0.72,0.8933333333333333,6,24.0,13,52.0,0.8709677419354839,0.8709677419354839,6,True,0.47877826939643514,True
beta_haze_q4,q1,150,450,alpha_a0p25__diff_signed_mean_le_0.0033935654,0.003393565374426544,True,150,144,0.96,0.43846121470133465,0.3007536707697688,0.5676998447727513,0.00016870776812235515,0.7933333333333333,0.8333333333333334,10,40.0,24,96.0,0.8263888888888888,0.8263888888888888,10,True,0.5425184979985784,True
beta_haze_q4,q2,150,450,alpha_a0p25__diff_signed_mean_le_0.0029452227,0.0029452226823195797,True,150,130,0.8666666666666667,0.31958728790283203,0.35655238177325277,0.3667691204998944,0.00022295077641805013,0.7266666666666667,0.86,9,36.0,15,60.0,0.8384615384615385,0.8384615384615385,9,True,0.42022793090830884,True
beta_haze_q4,q3,150,450,alpha_a0p25__diff_signed_mean_le_0.0027828551,0.0027828550664708014,True,150,127,0.8466666666666667,0.3378799565633138,0.24007606506347656,0.4524186624063028,0.00031607548395792644,0.6866666666666666,0.84,10,40.0,20,80.0,0.8110236220472441,0.8110236220472441,10,True,0.398758097649446,True
beta_haze_q4,q4,150,450,alpha_a0p25__diff_signed_mean_le_0.0032867874,0.0032867874484509233,True,150,117,0.78,0.23790440877278646,0.16637915533942146,0.3634446633828653,0.00025365193684895836,0.58,0.8,11,44.0,24,96.0,0.7435897435897436,0.7435897435897436,11,False,0.22059025608943056,True
