policy_id,complexity,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
udp_grad_mean_ge_0.012657589_AND_diff_signed_mean_le_-0.0031482906,2,600,121,0.20166666666666666,0.2903993892669678,0.4990957514444987,-0.0007663472493489584,0.0009586901466051737,0.16,0.9583333333333334,22,22.0,23,23.0,0.7933884297520661,0.7933884297520661,22,False,True,0.36145534473765983
a0_grad_mean_ge_0.012581695_AND_diff_signed_mean_le_-0.0031482906,2,600,120,0.2,0.2893946552276611,0.49507681528727215,-0.0007663472493489584,0.0009398181239763895,0.15833333333333333,0.9583333333333334,22,22.0,23,23.0,0.7916666666666666,0.7916666666666666,22,False,True,0.3584655736287435
a0_grad_mean_ge_0.011212653_AND_diff_signed_mean_le_-0.0031482906,2,600,131,0.21833333333333332,0.29445354143778485,0.5052953974405925,0.0006913503011067708,0.0011250779032707214,0.17,0.9516666666666667,26,26.0,27,27.0,0.7786259541984732,0.7786259541984732,26,False,True,0.35149203481892594
udp_grad_mean_ge_0.011107964_AND_diff_signed_mean_le_-0.0031482906,2,600,130,0.21666666666666667,0.2915836556752523,0.4938158543904622,0.0006913503011067708,0.0011248643199602763,0.16833333333333333,0.9516666666666667,26,26.0,27,27.0,0.7769230769230769,0.7769230769230769,26,False,True,0.34478234745905956
udp_grad_mean_ge_0.012657589_AND_diff_signed_mean_le_-0.0037999609,2,600,94,0.15666666666666668,0.26362441380818685,0.4746661376953125,-0.0015972137451171875,0.0005339428782463074,0.125,0.9683333333333334,17,17.0,18,18.0,0.7978723404255319,0.7978723404255319,17,False,True,0.3400144867376233
input_grad_mean_ge_0.0093034212_AND_diff_signed_mean_le_-0.0031482906,2,600,112,0.18666666666666668,0.2754779148101807,0.4695964177449544,0.013325220743815104,0.0009393795331319174,0.14666666666666667,0.96,21,21.000000000000004,22,22.0,0.7857142857142857,0.7857142857142857,21,False,True,0.338751992834182
a0_grad_mean_ge_0.012581695_AND_diff_signed_mean_le_-0.0037999609,2,600,93,0.155,0.26261967976888023,0.4706472015380859,-0.0015972137451171875,0.0005150708556175232,0.12333333333333334,0.9683333333333334,17,17.0,18,18.0,0.7956989247311828,0.7956989247311828,17,False,True,0.3367763066937846
a0_grad_mean_ge_0.011212653_AND_diff_signed_mean_le_-0.0037999609,2,600,104,0.17333333333333334,0.2676785659790039,0.48086578369140626,-0.00013951619466145832,0.0007003306349118551,0.135,0.9616666666666667,21,21.000000000000004,22,22.0,0.7788461538461539,0.7788461538461539,21,False,True,0.32770613575470753
input_grad_mean_ge_0.0093034212_AND_diff_signed_mean_le_-0.0037999609,2,600,87,0.145,0.25324212392171225,0.45372210184733075,0.022095794677734374,0.0005713294943173726,0.115,0.97,16,16.0,17,17.0,0.7931034482758621,0.7931034482758621,16,False,True,0.32709391513692926
a0_saturation_high_le_0.034908333_AND_diff_signed_mean_le_-0.0031482906,2,600,96,0.16,0.24566102981567384,0.5134738922119141,-0.0008432261149088541,0.00011475245157877604,0.125,0.965,18,18.0,19,19.0,0.78125,0.78125,18,False,True,0.3207905189514159
udp_grad_mean_ge_0.011107964_AND_diff_signed_mean_le_-0.0037999609,2,600,103,0.17166666666666666,0.26480868021647136,0.46938624064127604,-0.00013951619466145832,0.0007001170516014099,0.13333333333333333,0.9616666666666667,21,21.000000000000004,22,22.0,0.7766990291262136,0.7766990291262136,21,False,True,0.32075211230034195
udp_grad_mean_ge_0.012657589_AND_diff_signed_mean_le_-0.0045283467,2,600,69,0.115,0.21822233517964681,0.4106490707397461,0.006432469685872396,0.00026845157146453857,0.09666666666666666,0.9816666666666667,11,11.0,11,11.0,0.8405797101449275,0.8405797101449275,11,False,True,0.3144683138971743
a0_grad_mean_ge_0.013612788_AND_diff_signed_mean_le_-0.0037999609,2,600,87,0.145,0.2468011728922526,0.4310968526204427,-0.0015972137451171875,0.0004916343092918396,0.115,0.97,16,16.0,17,17.0,0.7931034482758621,0.7931034482758621,16,False,True,0.31144270053731987
udp_grad_mean_ge_0.013542664_AND_diff_signed_mean_le_-0.0037999609,2,600,87,0.145,0.2468011728922526,0.4310968526204427,-0.0015972137451171875,0.0004916343092918396,0.115,0.97,16,16.0,17,17.0,0.7931034482758621,0.7931034482758621,16,False,True,0.31144270053731987
a0_grad_mean_ge_0.012581695_AND_diff_signed_mean_le_-0.0045283467,2,600,68,0.11333333333333333,0.21721760114034017,0.4066301345825195,0.006432469685872396,0.0002495795488357544,0.095,0.9816666666666667,11,11.0,11,11.0,0.8382352941176471,0.8382352941176471,11,False,True,0.31113608367022344
input_grad_mean_ge_0.010141619_AND_diff_signed_mean_le_-0.0031482906,2,600,104,0.17333333333333334,0.25403595288594566,0.4517244084676107,0.013325220743815104,0.0007964536547660827,0.135,0.9616666666666667,20,20.0,21,21.000000000000004,0.7788461538461539,0.7788461538461539,20,False,True,0.3107978893964719
a0_saturation_high_le_0.034908333_AND_diff_signed_mean_le_-0.0045283467,2,600,64,0.10666666666666667,0.21047667821248373,0.45087130228678385,0.006432469685872396,9.301235278447468e-05,0.08833333333333333,0.9816666666666667,11,11.0,11,11.0,0.828125,0.828125,11,False,True,0.3097614575703938
a0_grad_mean_ge_0.011212653_AND_diff_signed_mean_le_-0.0045283467,2,600,77,0.12833333333333333,0.226171662012736,0.4101941045125326,0.030125478108723958,0.00040231366952260333,0.105,0.9766666666666667,14,14.0,14,14.0,0.8181818181818182,0.8181818181818182,14,False,True,0.30780567652384433
input_grad_mean_ge_0.0093034212_AND_diff_signed_mean_le_-0.0045283467,2,600,63,0.105,0.2092208703358968,0.38970503489176433,0.030125478108723958,0.00030554582675298053,0.08833333333333333,0.9833333333333333,10,10.0,10,10.0,0.8412698412698413,0.8412698412698413,10,False,True,0.30596436347355915
a0_saturation_high_le_0.034908333_AND_diff_signed_mean_le_-0.0037999609,2,600,81,0.135,0.23421657244364422,0.48904427846272785,-0.0008432261149088541,0.00010236809651056925,0.105,0.97,16,16.0,17,17.0,0.7777777777777778,0.7777777777777778,16,False,True,0.3048289359198676
