candidate,scope,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_per_600,worst_count_le_-0.20,worst_per_600,intervention_rate
fulludp_official_endpoint,all,600,0.06200496355692545,0.6855227915445964,-0.6864959208170572,-0.0003103939692179362,0.53,0.53,40.0092191696167,90,90.0,252,252.0,1.0
fulludp_official_endpoint,val_hard,300,0.42602890650431313,0.6211632537841797,0.2674918619791667,-0.00027603129545847576,0.61,0.61,36.437724113464355,33,66.0,104,208.0,1.0
fulludp_official_endpoint,val_regular,300,-0.30201897939046224,0.5355801900227865,-0.7968525695800781,-0.00034475664297739663,0.45,0.45,42.45430278778076,46,92.0,148,296.0,1.0
oracle_a0_fulludp_endpoint,all,600,0.7416947523752848,1.1109101994832358,0.39711181640625,0.00022958377997080485,0.53,1.0,40.0092191696167,0,0.0,0,0.0,0.53
oracle_a0_fulludp_endpoint,val_hard,300,0.9228224754333496,1.0703271230061848,0.8672982279459636,0.0003388172388076782,0.61,1.0,36.437724113464355,0,0.0,0,0.0,0.61
oracle_a0_fulludp_endpoint,val_regular,300,0.56056702931722,0.9372602844238281,0.3242756652832031,0.00012035032113393148,0.45,1.0,42.45430278778076,0,0.0,0,0.0,0.45
dta_v37_d8_fixed_train_derived_policy,source_aggregate,2400,0.07829696575800578,0.08528067588806153,0.0626927630106608,1.9039933880170185e-05,0.65875,,42.80718994140625,164,120.75,186,46.5,1.0
dta_v37_d9_locked_policy,source_aggregate,4000,0.020946037769317628,0.021358879089355468,0.002934497833251953,4.350191354751587e-05,0.53175,,39.07731628417969,254,110.4,238,35.7,1.0
