fold,train_policy_id,train_complexity,train_strict_gate_pass,train_abstention_gate_pass,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
0,a0_grad_mean_ge_0.01097869_AND_diff_signed_mean_le_-0.0031482906,2,False,True,136,31,0.22794117647058823,0.2291998442481546,0.5095870635088753,-0.004842982572667739,0.001441018984598272,0.17647058823529413,0.9485294117647058,7,30.882352941176467,7,30.882352941176467,0.7741935483870968,0.7741935483870968,7,False,True,0.2744707319994353
1,a0_grad_mean_ge_0.012458124_AND_diff_signed_mean_le_-0.0032601217,2,False,True,115,20,0.17391304347826086,0.24962544648543647,0.564032758985247,-0.19286469050816127,0.000690572158150051,0.12173913043478261,0.9478260869565217,5,26.08695652173913,5,26.08695652173913,0.7,0.7,5,False,False,-0.09772110053471167
2,input_grad_mean_ge_0.0088611029_AND_diff_signed_mean_le_-0.0044290172,2,False,True,116,12,0.10344827586206896,0.27942456870243465,0.49543788515288256,0.21532334952518858,0.0007714202691768778,0.08620689655172414,0.9827586206896551,2,10.344827586206897,2,10.344827586206897,0.8333333333333334,0.8333333333333334,2,False,True,0.4252951860975946
3,input_grad_mean_ge_0.0088712178_AND_diff_signed_mean_le_-0.0038720593,2,False,True,111,12,0.10810810810810811,0.1921895860551714,0.6417610027171947,0.0,0.0004729778916986139,0.09009009009009009,0.9819819819819819,2,10.81081081081081,2,10.81081081081081,0.8333333333333334,0.8333333333333334,2,False,True,0.34150371060834395
4,input_grad_mean_ge_0.0099931532_AND_diff_signed_mean_le_-0.0036983369,2,False,True,122,24,0.19672131147540983,0.22005550196913423,0.17231737772623698,-0.039121754964192706,0.0002991503379384025,0.13114754098360656,0.9344262295081968,7,34.42622950819672,8,39.34426229508197,0.6666666666666666,0.6666666666666666,7,False,False,0.0707717071074605
