policy_id,alpha,complexity,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
alpha_a0p25__diff_signed_mean_le_0.0021860948,0.25,1,600,480,0.8,0.323956979115804,0.2553900400797526,0.4575859832763672,0.00022891839345296223,0.655,0.855,32,32.0,72,72.0,0.81875,0.81875,32,True,False,0.4087548866271972
alpha_a0p25__diff_signed_mean_le_0.0027975643,0.25,1,600,510,0.85,0.3331667455037435,0.2568773905436198,0.47850341796875,0.00023794124523798625,0.6866666666666666,0.8366666666666667,38,38.0,81,81.0,0.807843137254902,0.807843137254902,38,True,False,0.404475331325157
alpha_a0p25__diff_signed_mean_le_0.0038882691,0.25,1,600,540,0.9,0.3349118614196777,0.25538243611653644,0.47696179707845054,0.00024548908074696857,0.715,0.815,44,44.0,92,92.0,0.7944444444444444,0.7944444444444444,44,True,False,0.3872461844550239
alpha_a0p25__udp_grad_mean_ge_0.012657589,0.25,1,600,510,0.85,0.29684690793355306,0.2431484095255534,0.40086283365885417,0.00022038519382476806,0.6683333333333333,0.8183333333333334,48,48.0,90,90.0,0.7862745098039216,0.7862745098039216,48,True,False,0.32121441575592635
alpha_a0p25__a0_grad_mean_ge_0.012581695,0.25,1,600,510,0.85,0.29632555961608886,0.23760720570882163,0.3998154703776042,0.00022056281566619872,0.6666666666666666,0.8166666666666667,48,48.0,91,91.0,0.7843137254901961,0.7843137254901961,48,True,False,0.3180722306195428
alpha_a0p5__a0_mean_le_0.5610461_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,304,0.5066666666666667,0.38931594530741376,0.39807058970133463,0.40065577189127605,0.00025174806515375776,0.4266666666666667,0.92,35,35.0,44,44.0,0.8421052631578947,0.8421052631578947,35,False,True,0.5022231865866142
alpha_a0p5__depth_grad_mean_ge_0.0015138017_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,328,0.5466666666666666,0.4013675785064697,0.4245426305135091,0.4096931966145833,0.00025373578071594236,0.45166666666666666,0.905,42,42.00000000000001,51,51.00000000000001,0.8262195121951219,0.8262195121951219,42,False,True,0.5003112806676848
alpha_a0p5__udp_mean_le_0.56097753_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,307,0.5116666666666667,0.38634109814961753,0.396499392191569,0.3903275807698568,0.00025223602851231895,0.4266666666666667,0.915,38,38.0,47,47.0,0.8338762214983714,0.8338762214983714,38,False,True,0.4868803384704259
alpha_a0p5__a0_saturation_low_ge_1.6666667e-05_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,305,0.5083333333333333,0.38195885022481285,0.41725223541259765,0.3889535013834635,0.0002312229077021281,0.42333333333333334,0.915,39,39.0,48,48.0,0.8327868852459016,0.8327868852459016,39,False,True,0.4848143878373944
alpha_a0p5__a0_saturation_low_ge_1.0416667e-05_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,319,0.5316666666666666,0.3901884396870931,0.4177255503336589,0.3889535013834635,0.00024301270643870037,0.43833333333333335,0.9066666666666666,43,43.0,52,52.0,0.8244514106583072,0.8244514106583072,43,False,True,0.4810444616734297
alpha_a0p5__a0_mean_le_0.57996473_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,326,0.5433333333333333,0.39315709431966145,0.40657246907552086,0.3823592631022135,0.0002579531073570251,0.44666666666666666,0.9033333333333333,44,44.0,53,53.0,0.8220858895705522,0.8220858895705522,44,False,True,0.47716800698434403
alpha_a0p5__udp_mean_le_0.54332907_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,287,0.47833333333333333,0.36821612358093264,0.39758686065673826,0.3738995361328125,0.00024026026328404746,0.40166666666666667,0.9233333333333333,34,34.0,43,43.0,0.8397212543554007,0.8397212543554007,34,False,True,0.477111125727176
alpha_a0p5__a0_mean_le_0.5451718_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,284,0.47333333333333333,0.3629478359222412,0.4022514724731445,0.3738995361328125,0.00023810197909673056,0.3983333333333333,0.925,33,33.0,42,42.00000000000001,0.8415492957746479,0.8415492957746479,33,False,True,0.47591441380317223
alpha_a0p5__input_grad_mean_ge_0.0077444417_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,330,0.55,0.3921204471588135,0.38328393300374347,0.4271831512451172,0.00025390287240346275,0.45,0.9,44,44.0,54,54.0,0.8181818181818182,0.8181818181818182,44,False,True,0.47501890309651695
alpha_a0p5__udp_mean_le_0.57696567_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,327,0.545,0.3916360950469971,0.404410285949707,0.37452593485514324,0.00025941669940948486,0.44666666666666666,0.9016666666666666,45,45.0,54,54.0,0.8195718654434251,0.8195718654434251,45,False,True,0.4705820827565791
alpha_a0p5__depth_grad_mean_ge_0.0016556635_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,306,0.51,0.37627296765645346,0.3473495610555013,0.4088108062744141,0.00023760586977005004,0.425,0.915,37,37.0,45,45.0,0.8333333333333334,0.8333333333333334,37,False,True,0.4689653121948242
alpha_a0p5__a0_mean_le_0.5451718_AND_diff_signed_mean_le_0.000756993,0.5,2,600,321,0.535,0.37745638847351076,0.40858015696207683,0.3996904500325521,0.0002292133371035258,0.43833333333333335,0.9033333333333333,42,42.00000000000001,52,52.0,0.8193146417445483,0.8193146417445483,42,False,True,0.46687804817841433
alpha_a0p5__udp_mean_le_0.54332907_AND_diff_signed_mean_le_0.000756993,0.5,2,600,323,0.5383333333333333,0.3817448965708415,0.4039155451456706,0.3957713317871094,0.00023089696963628133,0.44,0.9016666666666666,43,43.0,53,53.0,0.8173374613003096,0.8173374613003096,43,False,True,0.4663917530071625
alpha_a0p5__udp_grad_mean_ge_0.012657589_AND_diff_signed_mean_le_0.0001681959,0.5,2,600,312,0.52,0.37902236938476563,0.38020311991373695,0.3991815948486328,0.0002483964959780375,0.4266666666666667,0.9066666666666666,40,40.0,50,50.0,0.8205128205128205,0.8205128205128205,40,False,True,0.46563243987254604
