policy_id,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
diff_signed_mean_le_-0.00314829,600,150,0.25,0.2698115921020508,0.5726757303873697,-0.17408274332682291,0.0018323313196500143,0.18666666666666668,0.9366666666666666,35,35.0,36,36.0,0.7466666666666667,0.7466666666666667,35,False,False,0.38031385803222656
diff_signed_mean_le_-0.00379996,600,120,0.2,0.24466127077738445,0.5586216608683269,-0.17879053751627605,0.0013068867723147074,0.14833333333333334,0.9483333333333334,29,29.0,30,30.0,0.7416666666666667,0.7416666666666667,29,False,False,0.36340001932779953
diff_signed_mean_le_-0.00241057,600,198,0.33,0.2719454511006673,0.6438257598876953,-0.23022364298502604,0.0026405181487401327,0.23166666666666666,0.9016666666666666,54,54.0,57,57.0,0.702020202020202,0.702020202020202,54,False,False,0.36000290117360123
diff_signed_mean_le_-0.0015222,600,240,0.4,0.27699317296346027,0.6839173380533854,-0.23892107645670574,0.0031352073947588602,0.27,0.87,71,71.0,75,75.0,0.675,0.675,71,False,False,0.3397225074768066
diff_signed_mean_le_-0.00452835,600,90,0.15,0.21358929951985678,0.48794998168945314,-0.10919568379720052,0.0008773107330004374,0.11833333333333333,0.9683333333333334,19,19.0,19,19.0,0.7888888888888889,0.7888888888888889,19,False,False,0.3370212393866645
diff_signed_mean_le_-0.000519705,600,300,0.5,0.2815749359130859,0.6932032267252605,-0.2624706013997396,0.00398466557264328,0.31666666666666665,0.8166666666666667,91,91.0,102,102.00000000000001,0.6333333333333333,0.6333333333333333,91,False,False,0.3045424092610677
diff_signed_mean_le_-0.00538036,600,60,0.1,0.17442827860514323,0.4266675059000651,-0.05620765686035156,0.0004775510231653849,0.07833333333333334,0.9783333333333334,13,13.0,13,13.0,0.7833333333333333,0.7833333333333333,13,False,False,0.29426182174682614
diff_signed_mean_le_0.000168196,600,360,0.6,0.2886611048380534,0.7219602711995443,-0.2642402140299479,0.0052761673927307125,0.375,0.775,113,113.0,126,126.0,0.625,0.625,113,False,False,0.2744011726379395
diff_signed_mean_le_-0.00686657,600,30,0.05,0.11378916422526042,0.3502042897542318,-0.039528757731119794,0.00025029589732487997,0.041666666666666664,0.9916666666666667,5,5.0,5,5.0,0.8333333333333334,0.8333333333333334,5,False,False,0.23300690333048502
diff_signed_mean_le_0.000756993,600,402,0.67,0.26678293228149413,0.7369065856933594,-0.3436522928873698,0.006002658804257711,0.4083333333333333,0.7383333333333333,134,134.0,148,148.0,0.6094527363184079,0.6094527363184079,134,False,False,0.21348221552075436
