source,bank_name,choice,count,ratio
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,l2_fdf_lite_s002_g025_bm2,727,0.08077777777777778
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,l3_fdf_lite_s004_g015_bm2,427,0.04744444444444444
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_shrink,A0,3103,0.3447777777777778
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_shrink,l1_fdf_lite_s004_g025_bm2,4687,0.5207777777777778
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_shrink,l2_fdf_lite_s002_g025_bm2,786,0.08733333333333333
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_shrink,l3_fdf_lite_s004_g015_bm2,424,0.04711111111111111
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_micro_shrink,A0,2875,0.3194444444444444
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_micro_shrink,l1_fdf_lite_s004_g025_bm2,4829,0.5365555555555556
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_micro_shrink,l2_fdf_lite_s002_g025_bm2,840,0.09333333333333334
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_micro_shrink,l3_fdf_lite_s004_g015_bm2,456,0.050666666666666665
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l1_fdf_lite_s004_g025_bm2,5655,0.6283333333333333
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l2_fdf_lite_s002_g025_bm2,2800,0.3111111111111111
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l3_fdf_lite_s004_g015_bm2,545,0.06055555555555556
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l1_fdf_lite_s004_g025_bm2,5608,0.6231111111111111
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l2_fdf_lite_s002_g025_bm2,2831,0.31455555555555553
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l3_fdf_lite_s004_g015_bm2,561,0.06233333333333333
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l1_fdf_lite_s004_g025_bm2,5566,0.6184444444444445
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l2_fdf_lite_s002_g025_bm2,2838,0.31533333333333335
v37_real_blend_oracle_grid.csv,forced_L2_L3_L1_shrink_no_A0,l3_fdf_lite_s004_g015_bm2,596,0.06622222222222222
v37_real_blend_oracle_grid.csv,A0_L3_shrink,A0,3026,0.3362222222222222
v37_real_blend_oracle_grid.csv,A0_L3_shrink,l3_fdf_lite_s004_g015_bm2,5974,0.6637777777777778
v37_real_blend_oracle_grid.csv,A0_L3_shrink,A0,3058,0.3397777777777778
v37_real_blend_oracle_grid.csv,A0_L3_shrink,l3_fdf_lite_s004_g015_bm2,5942,0.6602222222222223
v37_real_blend_oracle_grid.csv,A0_L3_full,A0,3274,0.36377777777777776
v37_real_blend_oracle_grid.csv,A0_L3_full,l3_fdf_lite_s004_g015_bm2,5726,0.6362222222222222
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,A0,3607,0.4007777777777778
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,l1_fdf_lite_s004_g025_bm2,4401,0.489
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,l2_fdf_lite_s002_g025_bm2,614,0.06822222222222223
v37_real_blend_oracle_grid.csv,A0_L2_L3_L1_full,l3_fdf_lite_s004_g015_bm2,378,0.042
v37_real_blend_oracle_grid.csv,A0_L3_full,A0,3334,0.37044444444444447
v37_real_blend_oracle_grid.csv,A0_L3_full,l3_fdf_lite_s004_g015_bm2,5666,0.6295555555555555
v37_real_blend_oracle_grid.csv,A0_L3_full,A0,3886,0.43177777777777776
v37_real_blend_oracle_grid.csv,A0_L3_full,l3_fdf_lite_s004_g015_bm2,5114,0.5682222222222222
v37_real_blend_oracle_grid.csv,A0_L3_shrink,A0,3373,0.37477777777777777
v37_real_blend_oracle_grid.csv,A0_L3_shrink,l3_fdf_lite_s004_g015_bm2,5627,0.6252222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,A0,2718,0.302
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u1_tau_l1_s004_g025_a006,5054,0.5615555555555556
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u2_tau_l3_s004_g015_a006,323,0.03588888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u3_tau_l2_s002_g025_a006,905,0.10055555555555555
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,A0,2771,0.3078888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u1_tau_l1_s004_g025_a006,5021,0.5578888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u2_tau_l3_s004_g015_a006,321,0.035666666666666666
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u3_tau_l2_s002_g025_a006,887,0.09855555555555555
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,A0,2756,0.30622222222222223
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u1_tau_l1_s004_g025_a006,4997,0.5552222222222222
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u2_tau_l3_s004_g015_a006,330,0.03666666666666667
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_micro_shrink,u3_tau_l2_s002_g025_a006,917,0.10188888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,A0,2833,0.31477777777777777
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u1_tau_l1_s004_g025_a006,4949,0.5498888888888889
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u2_tau_l3_s004_g015_a006,327,0.036333333333333336
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u3_tau_l2_s002_g025_a006,891,0.099
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,A0,2773,0.3081111111111111
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u1_tau_l1_s004_g025_a006,4971,0.5523333333333333
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u2_tau_l3_s004_g015_a006,339,0.03766666666666667
v37_tau_real_blend_oracle_grid.csv,A0_U3_U2_U1_shrink,u3_tau_l2_s002_g025_a006,917,0.10188888888888889
