source,feature,bucket,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_count_le_-0.20,worst_per_600,strong_count_le_-0.05,strong_per_600
D9_locked,variant,u1_tau_l1_s004_g025_a006,1942,0.029320776769478953,0.03690772302371939,0.0012990263319507087,5.231836060662471e-05,0.57826982492276,233,71.98764160659114,190,58.70236869207003
D9_locked,variant,u2_tau_l3_s004_g015_a006,524,0.03335208747223133,0.022695686980968213,0.003000448678286021,5.5687004373273774e-05,0.5076335877862596,2,2.2900763358778624,13,14.885496183206106
D9_locked,variant,u3_tau_l2_s002_g025_a006,1534,0.006106068289108973,0.013428431578155597,0.0043938539669345624,2.8178231812518142e-05,0.4810951760104302,3,1.1734028683181226,23,8.996088657105606
D9_locked,action,U1_TAU_high_gain@0.1,54,-0.0011083814832899305,-0.0018873948317307692,0.00401159433218149,-8.554370314986617e-07,0.46296296296296297,0,0.0,0,0.0
D9_locked,action,U1_TAU_high_gain@0.25,5,-0.0067535400390625,-0.008464813232421875,-0.037082672119140625,1.2993812561035157e-06,0.4,0,0.0,0,0.0
D9_locked,action,U1_TAU_high_gain@0.5,19,0.0034464785927220396,0.0010967254638671875,-0.0016069412231445312,8.639536405864515e-06,0.5263157894736842,1,31.57894736842105,1,31.57894736842105
D9_locked,action,U1_TAU_high_gain@0.75,63,-0.06239966740683904,0.001998138427734375,-0.10564346313476562,1.2601178789895678e-05,0.31746031746031744,8,76.19047619047619,10,95.23809523809523
D9_locked,action,U1_TAU_high_gain@1,1801,0.03381469446973361,0.04017020331488715,0.006331727769639757,5.590445726596932e-05,0.5918933925596891,224,74.62520821765686,173,57.63464741810105
D9_locked,action,U2_TAU_balanced@0.1,318,-0.0011937243383635515,-0.00035532214973546284,-0.0024910456017602847,-2.610046158796586e-06,0.46855345911949686,0,0.0,1,1.8867924528301887
D9_locked,action,U2_TAU_balanced@0.25,14,-0.006222316196986607,0.0031064351399739585,0.017308553059895832,5.185604095458984e-06,0.5,0,0.0,0,0.0
D9_locked,action,U2_TAU_balanced@0.5,16,-0.013945221900939941,-0.005014896392822266,-0.04647541046142578,3.334134817123413e-06,0.5,0,0.0,1,37.5
D9_locked,action,U2_TAU_balanced@0.75,21,0.0092292967296782,0.020168304443359375,0.058727264404296875,3.541935057867141e-05,0.5238095238095238,0,0.0,0,0.0
