policy_id,count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,screen_gate_pass,score
val_hard_and_name_param_2_le_1.39,600,0.20666666666666667,0.18447762489318847,0.34585412343343097,0.0,1.1609892050425212e-05,0.15,0.9433333333333334,32,32.0,32,32.0,True,0.2069411557515462
A0_PSNR_le_34.8134,600,0.33,0.21562142690022787,0.6855227915445964,0.0,-4.695942004521688e-05,0.21833333333333332,0.8883333333333333,61,61.0,63,63.0,False,0.26500212478637697
A0_PSNR_le_33.7228,600,0.25,0.1713806978861491,0.6855227915445964,0.0,-5.0618847211201986e-05,0.165,0.915,46,46.0,48,48.0,False,0.25076139577229817
val_hard_and_name_param_2_le_1.6,600,0.31166666666666665,0.24269345919291177,0.39585638682047525,0.0,2.5831957658131917e-05,0.22166666666666668,0.91,52,52.0,52,52.0,False,0.2376575558980306
A0_PSNR_le_36.3094,600,0.5,0.2593379847208659,0.6855227915445964,0.0,-6.692637999852499e-05,0.315,0.815,97,96.99999999999999,103,103.0,False,0.23671868260701498
val_hard_and_name_param_2_le_1.72,600,0.36666666666666664,0.24312238693237304,0.46844807942708333,0.0,3.1048258145650226e-05,0.24666666666666667,0.88,65,65.0,68,68.0,False,0.23023440678914386
A0_PSNR_le_33.1278,600,0.2,0.1478109868367513,0.5912439473470052,0.0,-1.675039529800415e-05,0.13333333333333333,0.9333333333333333,35,35.0,37,37.0,False,0.22562197367350262
val_hard_and_name_param_2_le_1.76,600,0.395,0.2447131888071696,0.4883897272745768,0.0,-9.607672691345215e-06,0.26166666666666666,0.8666666666666667,72,72.0,76,76.0,False,0.2228106206258138
val_hard_and_A0_PSNR_le_34.8134,600,0.24166666666666667,0.15822721481323243,0.4876686350504557,0.0,-2.641985813776652e-05,0.16166666666666665,0.92,44,44.0,45,45.0,False,0.19214437357584638
val_hard_and_name_param_2_le_1.88,600,0.44,0.23377880096435547,0.5154874165852864,0.0,-3.23641300201416e-05,0.2783333333333333,0.8383333333333334,86,86.0,92,92.0,False,0.19065065511067705
val_hard_and_name_param_1_ge_0.64,600,0.39,0.1973417091369629,0.5297908147176107,0.0,-4.217267036437988e-05,0.25166666666666665,0.8616666666666667,70,70.0,76,76.0,False,0.18978941281636552
val_hard_and_name_param_1_ge_0.6,600,0.42,0.20131385485331219,0.525759531656901,0.0,-5.946954091389974e-05,0.2683333333333333,0.8483333333333334,78,78.0,84,84.00000000000001,False,0.17675373776753747
val_hard_and_A0_PSNR_le_36.3094,600,0.36666666666666664,0.19452788670857749,0.4876686350504557,0.0,-3.8960476716359455e-05,0.23333333333333334,0.8666666666666667,70,70.0,74,74.0,False,0.1764450454711914
bucket_eq_hard_bottom25_by_a0,600,0.25,0.14459293047587077,0.5084357833862305,0.0,-3.459403912226359e-05,0.15666666666666668,0.9066666666666666,48,48.0,51,51.00000000000001,False,0.17570187632242837
val_hard_and_A0_PSNR_le_33.7228,600,0.19,0.12191715876261393,0.4876686350504557,0.0,-4.260122776031494e-05,0.12333333333333334,0.9333333333333333,36,36.0,37,37.0,False,0.17183431752522785
A0_PSNR_le_37.5046,600,0.67,0.2774685255686442,0.6855227915445964,0.0,-0.00018166850010553997,0.4033333333333333,0.7333333333333333,141,141.0,150,150.0,False,0.16684922345479325
val_hard_and_name_param_1_le_0.951,600,0.445,0.21717148462931316,0.48156139373779294,0.0,-0.00012205948432286581,0.27666666666666667,0.8316666666666667,90,90.0,95,95.0,False,0.15756183306376143
val_hard_and_name_param_1_ge_0.56,600,0.4666666666666667,0.20938278198242188,0.49775646209716795,0.0,-0.0001310110092163086,0.29333333333333333,0.8266666666666667,91,91.0,97,96.99999999999999,False,0.15182189750671388
val_hard_and_A0_PSNR_le_33.1278,600,0.15333333333333332,0.09772753715515137,0.39091014862060547,0.0,-1.8027623494466145e-05,0.09833333333333333,0.945,29,29.0,30,30.0,False,0.13745507431030274
val_hard_and_A0_PSNR_le_37.5046,600,0.49166666666666664,0.21619125684102378,0.4876686350504557,0.0,-0.00013910104831059775,0.3016666666666667,0.81,101,101.0,107,107.0,False,0.13610841560363768
val_hard_and_name_param_1_ge_0.69,600,0.35833333333333334,0.16111294746398927,0.4023629760742187,0.0,-6.835490465164185e-05,0.23333333333333334,0.875,64,64.0,69,69.0,False,0.13370369148254396
split_eq_val_hard,600,0.5,0.21301445325215657,0.4876686350504557,0.0,-0.00013801564772923788,0.305,0.805,104,104.0,110,109.99999999999999,False,0.1269316120147705
val_hard_and_A0_PSNR_le_40.0092,600,0.5,0.21301445325215657,0.4876686350504557,0.0,-0.00013801564772923788,0.305,0.805,104,104.0,110,109.99999999999999,False,0.1269316120147705
val_hard_and_A0_PSNR_le_40.9714,600,0.5,0.21301445325215657,0.4876686350504557,0.0,-0.00013801564772923788,0.305,0.805,104,104.0,110,109.99999999999999,False,0.1269316120147705
val_hard_and_A0_PSNR_le_43.2131,600,0.5,0.21301445325215657,0.4876686350504557,0.0,-0.00013801564772923788,0.305,0.805,104,104.0,110,109.99999999999999,False,0.1269316120147705
val_hard_and_name_param_2_le_1.17,600,0.13333333333333333,0.1171673043568929,0.20848270416259765,0.0,1.1039773623148601e-06,0.095,0.9616666666666667,22,22.0,22,22.0,False,0.1252879803975423
val_hard_and_name_param_1_le_0.89,600,0.38166666666666665,0.18478816350301105,0.3790505345662435,0.0,-0.00010886698961257934,0.235,0.8533333333333334,78,78.0,83,83.0,False,0.12355079714457193
A0_PSNR_le_31.298,600,0.1,0.07475920995076497,0.2990368398030599,0.0,3.5229325294494626e-05,0.07,0.97,15,15.0,16,16.0,False,0.11951841990152995
val_hard_and_name_param_1_le_0.91,600,0.4,0.1824677276611328,0.4075962193806966,0.0,-0.00012494176626205445,0.24166666666666667,0.8416666666666667,85,85.0,90,90.0,False,0.11436678250630697
val_hard_and_name_param_2_ge_0.72,600,0.4766666666666667,0.17809563636779785,0.4427256520589193,0.0,-0.00014228075742721557,0.2866666666666667,0.81,101,101.0,107,107.0,False,0.08677704938252767
val_hard_and_name_param_1_le_0.85,600,0.315,0.14660332043965657,0.29372408548990886,0.0,-0.0001137867569923401,0.19666666666666666,0.8816666666666667,67,67.0,68,68.0,False,0.08603434181213376
val_hard_and_name_param_1_ge_0.77,600,0.27666666666666667,0.10639297167460124,0.30678145090738934,0.0,-5.186369021733602e-05,0.175,0.8983333333333333,51,51.00000000000001,56,56.0,False,0.08108833440144854
val_hard_and_name_param_2_ge_1.0375,600,0.4066666666666667,0.1458812363942464,0.38384719848632814,0.0,-0.00015031039714813232,0.24,0.8333333333333334,87,87.0,93,93.0,False,0.06784303601582845
A0_PSNR_le_40.0092,600,0.75,0.23362894376118978,0.6855227915445964,0.0,-0.00021182576815287273,0.43666666666666665,0.6866666666666666,169,169.0,178,178.0,False,0.06700964164733886
