fold,train_policy_id,train_strict_gate_pass,train_abstention_gate_pass,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
0,alpha_a0p25__diff_signed_mean_le_0.0029775854,True,False,136,119,0.875,0.3782012041877298,0.29208239387063417,0.6215114593505859,0.0002400546389467576,0.7132352941176471,0.8382352941176471,8,35.294117647058826,18,79.41176470588235,0.8151260504201681,0.8151260504201681,8,True,False,0.489679613994951
1,alpha_a0p25__diff_signed_mean_le_0.0030439693,True,False,115,103,0.8956521739130435,0.32672357973845106,0.24394239698137557,0.3987245559692383,0.0002028501552084218,0.7043478260869566,0.808695652173913,7,36.52173913043478,19,99.13043478260869,0.7864077669902912,0.7864077669902912,7,True,False,0.37491169944123226
2,alpha_a0p25__diff_signed_mean_le_0.0027345826,True,False,116,95,0.8189655172413793,0.36730450597302666,0.35200040093783674,0.4587843007054822,0.0002829304029201639,0.6810344827586207,0.8620689655172413,8,41.37931034482759,13,67.24137931034483,0.8315789473684211,0.8315789473684211,8,True,False,0.4651113620211121
3,alpha_a0p25__diff_signed_mean_le_0.0022425749,True,False,111,91,0.8198198198198198,0.29585513553103887,0.2865200749150029,0.5034681249547888,0.00024762937614509654,0.6666666666666666,0.8468468468468469,7,37.83783783783783,14,75.67567567567566,0.8131868131868132,0.8131868131868132,7,True,False,0.3809788409764759
4,alpha_a0p25__diff_signed_mean_le_0.0026143706,True,False,122,96,0.7868852459016393,0.28736342758428857,0.17231661478678387,0.4331836700439453,0.00021872852669387567,0.639344262295082,0.8524590163934426,7,34.42622950819672,15,73.77049180327869,0.8125,0.8125,7,False,False,0.33918037768921566
